N,K,category,factors,vfft_ns,mkl_ns,vfft_gflops,mkl_gflops,ratio_vs_mkl
8,4,small,8,10,88,48.268,5.469,8.826
8,32,small,8,41,325,93.035,11.833,7.862
8,256,small,8,298,2261,103.104,13.588,7.588
16,4,small,16,16,115,80.049,11.160,7.173
16,32,small,16,101,531,101.154,19.284,5.246
16,256,small,4x4,1045,4942,78.386,16.577,4.729
32,4,small,32,35,182,90.943,17.602,5.167
32,32,small,32,251,1040,102.117,24.626,4.147
32,256,small,4x8,2781,11184,73.650,18.311,4.022
64,4,small,64,93,305,82.220,25.186,3.265
64,32,small,64,636,2049,96.672,29.986,3.224
64,256,small,4x4x4,8467,22772,58.050,21.584,2.689
128,4,small,16x8,287,657,62.474,27.258,2.292
128,32,small,4x32,2074,5562,69.137,25.774,2.682
128,256,small,4x4x8,17598,50251,65.170,22.823,2.855
256,4,pow2,16x16,624,1198,65.632,34.177,1.920
256,32,pow2,4x8x8,4783,12165,68.506,26.937,2.543
256,256,pow2,4x4x4x4,45633,101110,57.446,25.927,2.216
512,4,pow2,16x32,1322,3267,69.727,28.207,2.472
512,32,pow2,4x4x32,12129,24430,60.788,30.179,2.014
512,256,pow2,4x4x4x8,98050,263530,60.155,22.382,2.688
1024,4,pow2,4x16x16,4219,7427,48.544,27.576,1.760
1024,32,pow2,4x4x8x8,24959,57644,65.644,28.423,2.310
1024,256,pow2,4x4x4x4x4,375890,649845,34.870,20.170,1.729
2048,4,pow2,4x16x32,9279,17168,48.556,26.244,1.850
2048,32,pow2,4x4x4x32,58700,132670,61.405,27.169,2.260
2048,256,pow2,4x4x4x4x8,812010,1627575,35.512,17.717,2.004
4096,4,pow2,4x4x4x64,23139,36223,42.485,27.139,1.565
4096,32,pow2,4x4x4x4x4x4,159305,345150,49.366,22.785,2.167
4096,256,pow2,2x4x2x4x4x4x4,2304295,3569555,27.303,17.625,1.549
8192,4,pow2,4x4x4x4x32,51497,72026,41.360,29.571,1.399
8192,32,pow2,4x4x4x4x4x2x4,545375,780005,31.243,21.845,1.430
8192,256,pow2,4x4x4x16x8,6046445,8269045,22.545,16.485,1.368
16384,4,pow2,4x4x4x4x64,130420,164757,35.175,27.844,1.263
16384,32,pow2,4x4x4x4x16x4,1032485,1767585,35.545,20.763,1.712
16384,256,pow2,16x4x16x16,15594865,22786710,18.827,12.885,1.461
32768,4,pow2,4x4x4x4x4x32,302425,370430,32.505,26.538,1.225
32768,32,pow2,4x4x4x4x4x4x4x2,2582015,3878295,30.458,20.278,1.502
32768,256,pow2,4x8x8x16x8,39402700,51481435,15.967,12.221,1.307
65536,4,pow2,4x4x4x4x4x4x16,749330,902620,27.987,23.234,1.205
65536,32,pow2,16x4x4x4x16x4,7746770,10861485,21.657,15.447,1.402
65536,256,pow2,4x4x8x16x32,79428825,122438810,16.898,10.962,1.541
131072,4,pow2,4x4x4x4x8x4x4x4,1712285,2309265,26.026,19.298,1.349
131072,32,pow2,16x4x4x4x4x4x8,20481315,30222320,17.407,11.796,1.476
131072,256,pow2,4x4x4x4x4x4x32,179417610,280458565,15.897,10.170,1.563
60,4,composite,12x5,130,561,54.371,12.645,4.300
60,32,composite,12x5,684,3532,82.862,16.057,5.160
60,256,composite,4x3x5,8195,33976,55.359,13.352,4.146
100,4,composite,20x5,237,822,56.081,16.158,3.471
100,32,composite,20x5,1461,6093,72.749,17.446,4.170
100,256,composite,5x4x5,13706,55731,62.045,15.259,4.066
