N,K,category,factors,vfft_ns,mkl_ns,vfft_gflops,mkl_gflops,ratio_vs_mkl
8,4,small,8,10,88,48.975,5.456,8.976
8,32,small,8,42,341,91.947,11.268,8.160
8,256,small,8,298,2318,103.033,13.250,7.776
16,4,small,16,16,127,80.623,10.059,8.015
16,32,small,16,100,571,102.190,17.935,5.698
16,256,small,4x4,1044,5009,78.494,16.354,4.800
32,4,small,32,36,189,89.018,16.970,5.245
32,32,small,32,251,1095,102.013,23.369,4.365
32,256,small,4x8,2775,11458,73.813,17.874,4.130
64,4,small,64,93,325,82.436,23.599,3.493
64,32,small,64,673,2064,91.258,29.764,3.066
64,256,small,4x4x4,8455,23241,58.134,21.149,2.749
128,4,small,16x8,284,678,63.009,26.415,2.385
128,32,small,4x32,2040,5606,70.283,25.571,2.749
128,256,small,4x4x8,17569,51479,65.279,22.279,2.930
256,4,pow2,16x16,643,1315,63.696,31.147,2.045
256,32,pow2,4x8x8,4775,12328,68.624,26.580,2.582
256,256,pow2,4x4x4x4,46040,106197,56.938,24.685,2.307
512,4,pow2,16x32,1374,3297,67.090,27.955,2.400
512,32,pow2,4x4x32,12142,24964,60.722,29.534,2.056
512,256,pow2,4x4x4x8,101210,277725,58.277,21.238,2.744
1024,4,pow2,4x16x16,4229,7626,48.426,26.854,1.803
1024,32,pow2,4x4x8x8,25233,58267,64.931,28.119,2.309
1024,256,pow2,4x4x4x4x4,400000,775195,32.768,16.908,1.938
2048,4,pow2,4x16x32,9367,18023,48.102,25.000,1.924
2048,32,pow2,4x4x4x32,59313,136980,60.770,26.314,2.309
2048,256,pow2,4x4x4x4x8,826080,1722615,34.907,16.740,2.085
4096,4,pow2,4x4x4x64,23458,36231,41.906,27.132,1.544
4096,32,pow2,4x4x4x4x4x4,164190,344990,47.898,22.796,2.101
4096,256,pow2,2x4x2x4x4x4x4,2395080,4301065,26.268,14.628,1.796
8192,4,pow2,4x4x4x4x32,54816,72439,38.856,29.403,1.321
