# performance corpus for the refactor, derived from BANKED data.
# target_ns = min(csv, store); a cell qualifies only when the two
# independent saved latencies corroborate within 10%.
# Method: N>=10 paced runs, take the MINIMUM, pass within 10%.
# Noise is one-sided, so the minimum is the robust estimator.
#
# N        K     target_ns    chain                dif  rt_err
8         32    33           8                    1    6.101e-15
8         256   249          8                    0    5.885e-15
16        4     14           16                   0    4.750e-15
16        256   1036         4.4                  0    2.542e-16
32        4     44           32                   0    1.121e-14
32        32    244          8.4                  0    5.817e-15
32        256   2716         4.8                  0    7.222e-15
60        32    636          5.12                 1    1.406e-14
64        4     117          64                   0    1.250e-14
64        256   8380         4.4.4                0    4.474e-16
95        4     378          5.19                 1    1.750e-14
100       4     239          10.10                1    2.254e-14
100       32    1584         20.5                 0    2.706e-14
100       256   14405        4.5.5                1    2.283e-14
119       4     376          7.17                 1    1.042e-14
126       32    2289         7.3.6                0    1.144e-14
128       256   17263        4.4.8                0    7.069e-15
169       4     584          13.13                0    1.777e-14
169       32    4324         13.13                0    2.196e-14
169       256   50720        13.13                0    2.642e-14
175       4     508          25.7                 0    2.173e-14
175       32    3352         5.7.5                0    2.367e-14
175       256   25973        7.5.5                0    2.640e-14
200       4     530          8.25                 1    2.066e-14
200       32    3516         5.8.5                0    2.275e-14
200       256   28205        8.5.5                0    2.364e-14
220       4     718          20.11                1    2.034e-14
220       32    4808         11.4.5               0    1.813e-14
220       256   44145        5.4.11               0    1.762e-14
243       32    6563         3.3.3.3.3            0    1.021e-14
250       4     1043         10.25                1    2.566e-14
250       32    5211         10.5.5               0    3.113e-14
256       4     479          16.16                0    1.081e-14
256       32    4702         4.8.8                0    1.152e-14
340       32    9807         17.4.5               0    1.749e-14
361       4     2227         19.19                1    1.026e-14
361       32    16160        19.19                1    1.172e-14
400       32    7923         16.5.5               0    2.331e-14
500       4     1982         5.10.10              1    2.990e-14
500       32    11239        10.10.5              0    4.065e-14
512       32    12251        4.4.32               1    1.183e-14
512       256   97990        4.4.4.8              0    8.076e-15
525       32    13107        7.3.5.5              0    2.562e-14
525       256   108464       5.3.5.7              0    2.716e-14
544       32    15367        8.4.17               1    1.108e-14
625       4     2680         25.25                1    2.945e-14
625       32    16068        5.5.5.5              1    3.793e-14
625       256   159367       5.5.5.5              0    4.018e-14
640       32    15621        64.10                0    2.432e-14
640       256   158125       4.4.8.5              0    1.660e-14
1000      256   291900       8.5.5.5              0    3.317e-14
1008      4     3635         12.12.7              0    1.133e-14
1008      32    22558        12.12.7              0    1.498e-14
1008      256   350130       6.8.7.3              0    1.638e-14
1024      32    24795        4.4.8.8              0    1.543e-14
1024      256   371838       4.4.4.4.4            0    7.855e-16
1225      4     5703         25.7.7               0    2.665e-14
1225      32    33578        5.7.7.5              0    2.895e-14
1225      256   370350       7.7.5.5              0    3.446e-14
1331      4     7083         11.11.11             0    1.492e-14
1331      32    49367        11.11.11             0    1.741e-14
2000      32    54585        16.5.5.5             0    3.293e-14
2000      256   755400       5.4.4.5.5            0    3.425e-14
2048      4     8652         4.64.8               1    1.911e-14
2048      256   790145       4.4.4.4.8            0    8.255e-15
2197      32    91943        13.13.13             0    2.748e-14
2205      256   838390       7.7.5.3.3            0    2.644e-14
2310      32    74845        11.7.6.5             0    2.418e-14
2310      256   931175       6.5.7.11             0    2.394e-14
2401      32    96780        7.7.7.7              1    2.184e-14
2401      256   772800       7.7.7.7              0    2.434e-14
2800      4     14248        25.7.16              1    2.647e-14
2800      32    78035        16.5.7.5             0    2.691e-14
2800      256   1075820      4.4.7.5.5            0    2.975e-14
3125      4     18087        5.25.25              1    4.375e-14
3125      32    100945       5.5.5.5.5            0    4.536e-14
3125      256   1192745      5.5.5.5.5            0    4.670e-14
