=== bench_1d_vs_fftw: VFFT (MEASURE wisdom) vs FFTW3 ===
wisdom : vfft_wisdom_tuned.txt
perf   : vfft_perf_tuned_1d_fftw.csv
acc    : vfft_acc_tuned_1d_fftw.csv
FFTW3  : single-threaded, FFTW_MEASURE planning
loaded : 198 wisdom entries

=== Phase 2: Performance ===

N        K     category     factors                 vfft_ns    fftw_ns  vfft_GF  fftw_GF   ratio
--------+-----+------------+--------------------+----------+----------+--------+--------+-------
8        4     small        8                           11        21   42.20   22.68   1.86x
8        32    small        8                           42       153   92.26   25.06   3.68x
8        256   small        8                          300      1231  102.33   24.96   4.10x
16       4     small        16                          17        57   73.49   22.40   3.28x
16       32    small        16                         101       459  101.67   22.31   4.56x
16       256   small        4x4                       1035      9009   79.13    9.09   8.70x
32       4     small        32                          46       147   69.57   21.80   3.19x
32       32    small        32                         269      1201   95.08   21.31   4.46x
32       256   small        4x8                       3000     19998   68.26   10.24   6.66x
64       4     small        64                         106       398   72.22   19.31   3.74x
64       32    small        64                         751      2991   81.86   20.54   3.98x
64       256   small        4x4x4                     8471     38212   58.02   12.86   4.51x
128      4     small        16x8                       293       979   61.17   18.31   3.34x
128      32    small        4x32                      2447     13429   58.59   10.68   5.49x
128      256   small        4x4x8                    17930    133385   63.97    8.60   7.44x
256      4     pow2         16x16                      684      1603   59.85   25.55   2.34x
256      32    pow2         4x8x8                     4776     20539   68.61   15.95   4.30x
256      256   pow2         4x4x4x4                  45350    147693   57.80   17.75   3.26x
512      4     pow2         16x32                     1598      3873   57.67   23.80   2.42x
512      32    pow2         4x4x32                   14029     39297   52.56   18.76   2.80x
512      256   pow2         4x4x4x8                 105310    370740   56.01   15.91   3.52x
1024     4     pow2         4x16x16                   5543      8997   36.95   22.76   1.62x
1024     32    pow2         4x4x8x8                  26746     81933   61.26   20.00   3.06x
1024     256   pow2         4x4x4x4x4               379415    842885   34.55   15.55   2.22x
2048     4     pow2         4x16x32                  13046     18722   34.54   24.07   1.44x
2048     32    pow2         4x4x4x32                 62057    188157   58.08   19.16   3.03x
2048     256   pow2         4x4x4x4x8               782110   2221060   36.87   12.98   2.84x
4096     4     pow2         4x4x4x64                 23593     42153   41.67   23.32   1.79x
4096     32    pow2         4x4x4x4x4x4             157620    598915   49.89   13.13   3.80x
4096     256   pow2         2x4x2x4x4x4x4          2240510   5616605   28.08   11.20   2.51x
8192     4     pow2         4x4x4x4x32               58369     88408   36.49   24.09   1.51x
8192     32    pow2         4x4x4x4x4x2x4           550500   1727920   30.95    9.86   3.14x
8192     256   pow2         4x4x4x16x8             6275555  24899510   21.72    5.47   3.97x
16384    4     pow2         4x4x4x4x64              136657    182807   33.57   25.09   1.34x
16384    32    pow2         4x4x4x4x16x4           1039370   5143765   35.31    7.13   4.95x
16384    256   pow2         16x4x16x16            16502680 112474200   17.79    2.61   6.82x
32768    4     pow2         4x4x4x4x4x32            346165    554210   28.40   17.74   1.60x
32768    32    pow2         4x4x4x4x4x4x4x2        2629460  13878510   29.91    5.67   5.28x
32768    256   pow2         4x8x8x16x8            40098620 266249565   15.69    2.36   6.64x
65536  
