N,K,path,ref_err,vfft_ns,mkl_ns,speedup
256,8,packed,1.5e-14,1248,1021,0.818
256,16,packed,1.4e-14,2038,2025,0.994
256,32,stride,1.4e-14,6202,4029,0.650
256,64,stride,2.1e-14,19139,8058,0.421
256,128,stride,2.1e-14,34903,16226,0.465
256,256,stride,1.1e-14,52533,32103,0.611
512,8,packed,1.2e-14,2168,2064,0.952
512,16,packed,1.2e-14,7550,4109,0.544
512,32,stride,1.5e-14,12012,8235,0.686
512,64,stride,2.0e-14,34180,16474,0.482
512,128,stride,1.9e-14,76210,33117,0.435
1024,8,packed,1.9e-14,5393,4306,0.798
1024,16,packed,1.4e-14,14207,8591,0.605
1024,32,stride,1.5e-14,34887,18248,0.523
1024,64,stride,2.8e-14,89840,36427,0.405
