N,K,path,ref_err,vfft_ns,mkl_ns,speedup
256,8,packed,1.5e-14,906,1018,1.124
256,16,packed,1.4e-14,1853,2027,1.094
256,32,packed,1.4e-14,5898,4096,0.694
256,64,packed,1.6e-14,12841,8061,0.628
256,128,packed,1.4e-14,25030,16708,0.668
512,8,packed,1.2e-14,2196,2060,0.938
512,16,packed,1.2e-14,7803,4352,0.558
512,32,packed,1.2e-14,17698,8557,0.483
512,64,packed,1.2e-14,34346,16411,0.478
512,128,packed,1.4e-14,70667,32910,0.466
1024,8,packed,1.9e-14,5824,4294,0.737
1024,16,packed,1.4e-14,15013,9203,0.613
1024,32,packed,1.4e-14,40243,17185,0.427
