N,K,path,order,ref_err,vfft_ns,mkl_ns,speedup
256,7,rfft,natural,5.6e-13,959,874,0.912
256,8,rfft,natural,9.2e-13,992,1015,1.023
256,15,rfft,natural,5.6e-13,2553,1958,0.767
256,16,rfft,natural,6.7e-13,2069,2177,1.053
256,17,rfft,natural,5.7e-13,2796,2224,0.795
512,7,rfft,natural,2.0e-12,2405,2302,0.957
512,8,rfft,natural,1.7e-12,2236,2515,1.125
512,15,rfft,natural,1.7e-12,5501,4812,0.875
512,16,rfft,natural,2.0e-12,6223,5293,0.850
512,17,rfft,natural,2.4e-12,6210,5413,0.872
1024,7,rfft,natural,6.3e-12,6481,5465,0.843
1024,8,rfft,natural,7.8e-12,7100,6316,0.890
1024,15,rfft,natural,6.9e-12,11811,11707,0.991
1024,16,rfft,natural,6.5e-12,14689,12572,0.856
1024,17,rfft,natural,6.0e-12,12696,13106,1.032
