N,K,path,order,ref_err,vfft_ns,mkl_ns,speedup
256,7,rfft,natural,5.6e-13,1373,893,0.651
256,8,rfft,natural,9.3e-13,911,1002,1.100
256,15,rfft,natural,5.7e-13,2751,2115,0.769
256,16,rfft,natural,6.3e-13,2107,2172,1.031
256,17,rfft,natural,5.6e-13,3055,2265,0.741
512,7,rfft,natural,1.9e-12,5627,2240,0.398
512,8,rfft,natural,1.7e-12,2045,2688,1.315
512,15,rfft,natural,1.6e-12,11713,4611,0.394
512,16,rfft,natural,2.0e-12,12595,4994,0.397
512,17,rfft,natural,2.4e-12,12856,5286,0.411
1024,7,rfft,natural,6.4e-12,8918,5434,0.609
1024,8,rfft,natural,7.8e-12,7075,6319,0.893
1024,15,rfft,natural,7.0e-12,17244,9345,0.542
1024,16,rfft,natural,6.4e-12,19534,12561,0.643
1024,17,rfft,natural,5.9e-12,19729,13092,0.664
