N,K,path,order,ref_err,vfft_ns,mkl_ns,speedup
256,7,rfft,natural,5.6e-13,949,870,0.916
256,8,rfft,natural,9.3e-13,978,1000,1.022
256,15,rfft,natural,5.6e-13,2526,1958,0.775
256,16,rfft,natural,6.7e-13,2164,2214,1.023
256,17,rfft,natural,5.7e-13,2984,2225,0.746
512,7,rfft,natural,2.0e-12,3213,2263,0.704
512,8,rfft,natural,1.7e-12,2401,2449,1.020
512,15,rfft,natural,1.6e-12,5790,4955,0.856
512,16,rfft,natural,2.0e-12,6636,5352,0.806
512,17,rfft,natural,2.4e-12,6373,5576,0.875
1024,7,rfft,natural,6.4e-12,6500,5428,0.835
1024,8,rfft,natural,7.8e-12,7503,4865,0.648
1024,15,rfft,natural,6.9e-12,12507,11705,0.936
1024,16,rfft,natural,6.6e-12,17079,12570,0.736
1024,17,rfft,natural,6.0e-12,13983,13104,0.937
