N,K,plan,path,vfft_ns,mkl_ns,vfft_gflops,ratio_vs_mkl,rt_err
8,4,8/DIT,avg2,6,98,80.000,16.250,4.503e-15
16,4,16/DIT,avg2,14,121,88.276,8.345,4.750e-15
32,4,32/DIT,avg2,44,181,72.727,4.114,1.121e-14
47,4,[override],avg2,836,1542,6.246,1.844,2.070e-14
59,4,[override],avg2,958,2501,7.250,2.612,1.710e-14
60,4,5x12/DIF,avg2,128,548,55.377,4.285,1.430e-14
64,4,64/DIT,avg2,108,318,70.783,2.931,1.250e-14
8,32,8/DIF,baked,33,443,116.364,13.424,6.101e-15
83,4,[override],avg2,1468,5305,7.211,3.615,3.453e-14
95,4,5x19/DIF,avg2,358,1296,34.917,3.625,1.750e-14
100,4,10x10/DIF,avg2,242,808,54.795,3.330,2.254e-14
107,4,[override],avg2,1928,2476,7.485,1.285,3.880e-14
119,4,7x17/DIF,avg2,393,1550,41.755,3.943,1.042e-14
126,4,3x6x7/DIF,avg2,487,970,36.104,1.993,1.000e-14
127,4,[override],avg2,1596,2556,11.122,1.602,1.900e-14
128,4,8x16/DIT,avg2,248,648,72.404,2.616,1.091e-14
16,32,16/DIF,baked,82,638,124.878,7.780,5.596e-15
167,4,[override],avg2,3394,5355,7.265,1.578,3.634e-14
169,4,13x13/DIT,avg2,587,1654,42.615,2.818,1.800e-14
175,4,25x7/DIT,avg2,515,1536,50.639,2.983,2.173e-14
179,4,[override],avg2,5417,5608,4.946,1.035,2.030e-14
200,4,8x25/DIF,avg2,535,1465,57.150,2.738,2.070e-14
220,4,20x11/DIF,avg2,716,1719,47.818,2.401,2.034e-14
243,4,3x3x3x3x3/DIF,avg2,1297,2120,29.695,1.635,9.803e-15
250,4,10x25/DIF,avg2,899,2031,44.304,2.259,2.570e-14
251,4,[override],avg2,3393,5705,11.794,1.681,5.032e-14
256,4,16x16/DIT,avg2,583,1197,70.257,2.053,1.081e-14
32,32,8x4/DIT,baked,244,1158,104.918,4.746,5.817e-15
257,4,[override],avg2,2640,8837,15.590,3.348,3.233e-14
263,4,[override],avg2,5786,8691,7.307,1.502,2.190e-14
311,4,[override],avg2,7546,10270,6.825,1.361,5.523e-14
340,4,17x20/DIT,avg2,1344,4998,42.548,3.718,2.240e-14
361,4,19x19/DIF,avg2,2572,7906,23.845,3.073,1.030e-14
47,32,[override],avg2,7044,11640,5.930,1.653,2.810e-14
400,4,25x16/DIT,avg2,1140,3722,60.632,3.264,2.010e-14
401,4,[override],avg2,5319,11644,13.039,2.189,3.330e-14
59,32,[override],avg2,9066,19208,6.125,2.119,2.210e-14
60,32,5x12/DIF,JIT,636,3677,89.161,5.781,1.406e-14
500,4,5x10x10/DIF,avg2,1995,5110,44.941,2.561,2.990e-14
512,4,8x8x8/DIF,avg2,1367,3634,67.418,2.658,1.333e-14
64,32,8x8/DIT,baked,734,2225,83.706,3.031,1.077e-14
8,256,8/DIT,JIT,249,2389,123.373,9.594,5.885e-15
525,4,7x5x3x5/DIF,avg2,2344,6041,40.486,2.578,2.204e-14
544,4,17x4x8/DIT,avg2,2135,8126,46.310,3.806,1.103e-14
625,4,25x25/DIF,avg2,2734,6978,42.456,2.552,2.950e-14
640,4,8x10x8/DIF,avg2,2052,6300,58.148,3.070,1.694e-14
641,4,[override],avg2,10602,26852,11.275,2.533,3.491e-14
83,32,[override],avg2,13652,41840,6.201,3.065,3.184e-14
95,32,5x19/DIF,baked,2900,9805,34.435,3.381,1.545e-14
100,32,20x5/DIT,JIT,1625,6212,65.416,3.823,2.706e-14
107,32,[override],avg2,14343,20518,8.047,1.431,2.911e-14
119,32,17x7/DIT,baked,2589,13366,50.706,5.163,1.406e-14
1000,4,10x5x20/DIF,avg2,4355,10818,45.767,2.484,3.261e-14
1008,4,12x12x7/DIT,avg2,3796,9994,52.995,2.633,1.150e-14
126,32,7x3x6/DIT,JIT,2371,9192,59.326,3.877,1.144e-14
1009,4,[override],avg2,17524,27610,11.491,1.576,2.180e-14
127,32,[override],avg2,8899,21436,15.958,2.409,2.123e-14
1024,4,64x16/DIT,avg2,3796,8289,53.959,2.184,1.610e-14
128,32,4x32/DIF,baked,2072,6753,69.189,3.259,1.176e-14
16,256,4x4/DIT,JIT,1036,4543,79.073,4.385,2.542e-16
1225,4,25x7x7/DIT,avg2,5576,16338,45.078,2.930,2.670e-14
1331,4,11x11x11/DIT,avg2,8237,17198,33.540,2.088,1.492e-14
167,32,[override],avg2,27694,45242,7.124,1.634,3.280e-14
169,32,13x13/DIT,baked,4324,16212,46.281,3.749,2.196e-14
175,32,5x7x5/DIT,baked,3352,13566,62.242,4.047,2.367e-14
179,32,[override],avg2,40350,44962,5.312,1.114,2.190e-14
200,32,5x8x5/DIT,JIT,3516,15848,69.569,4.507,2.275e-14
220,32,11x4x5/DIT,JIT,4839,17928,56.603,3.705,1.813e-14
243,32,3x3x3x3x3/DIT,baked,6563,20898,46.948,3.184,1.021e-14
2000,4,25x8x10/DIT,avg2,10022,22098,43.767,2.205,3.051e-14
250,32,10x5x5/DIT,JIT,5211,20360,61.146,3.907,3.113e-14
251,32,[override],avg2,20086,46954,15.938,2.338,6.420e-14
2048,4,4x64x8/DIF,avg2,8406,19337,53.600,2.300,1.911e-14
256,32,4x8x8/DIT,baked,4702,14294,69.689,3.040,1.152e-14
32,256,4x8/DIT,JIT,2802,11986,73.091,4.278,7.222e-15
257,32,[override],avg2,18178,70784,18.109,3.894,2.400e-14
263,32,[override],avg2,45351,71620,7.459,1.579,1.870e-14
2197,4,13x13x13/DIT,avg2,13000,33496,37.524,2.577,2.492e-14
2205,4,7x3x7x5x3/DIF,avg2,12804,34806,38.255,2.718,1.980e-14
2310,4,11x6x5x7/DIT,avg2,12762,29042,40.448,2.276,2.070e-14
2401,4,7x7x7x7/DIF,avg2,16561,35165,32.561,2.123,1.970e-14
311,32,[override],avg2,47410,83238,8.691,1.756,6.520e-14
340,32,17x4x5/DIT,JIT,10177,37663,44.951,3.701,1.749e-14
2800,4,25x7x16/DIF,avg2,14227,31806,45.074,2.236,2.650e-14
2801,4,[override],avg2,55725,133836,11.512,2.402,4.443e-14
361,32,19x19/DIF,baked,16628,61084,29.512,3.674,1.172e-14
47,256,[override],avg2,58824,96453,5.681,1.640,2.800e-14
3125,4,5x25x25/DIF,avg2,18480,42950,39.265,2.324,4.375e-14
400,32,16x5x5/DIT,JIT,7997,30449,69.177,3.808,2.331e-14
401,32,[override],avg2,31206,89528,17.780,2.869,3.984e-14
59,256,[override],avg2,77149,163277,5.758,2.116,2.472e-14
60,256,12x5/DIT,JIT,8902,36633,50.960,4.115,1.839e-14
4000,4,8x10x10x5/DIF,avg2,19568,51021,48.921,2.607,3.210e-14
500,32,10x10x5/DIT,JIT,11239,38739,63.819,3.447,4.065e-14
4001,4,[override],avg2,79452,119226,12.052,1.501,6.403e-14
4096,4,4x4x8x32/DIF,avg2,22038,36786,44.607,1.669,1.602e-14
512,32,4x4x32/DIF,baked,12412,24619,59.401,1.983,1.183e-14
64,256,4x4x4/DIT,JIT,8399,23143,58.521,2.755,4.474e-16
525,32,7x3x5x5/DIT,baked,13461,49250,56.388,3.659,2.562e-14
544,32,8x4x17/DIF,JIT,16463,67493,48.045,4.100,1.108e-14
4620,4,5x11x12x7/DIF,avg2,31976,65293,35.177,2.042,2.131e-14
5000,4,25x20x10/DIT,avg2,29479,65781,41.683,2.231,4.170e-14
625,32,5x5x5x5/DIF,baked,16068,55592,57.803,3.460,3.793e-14
640,32,64x10/DIT,JIT,15863,51130,60.176,3.223,2.432e-14
641,32,[override],avg2,55428,218376,17.253,3.940,3.630e-14
83,256,[override],avg2,149770,342202,4.522,2.285,3.672e-14
95,256,5x19/DIT,JIT,23932,89232,33.382,3.729,1.720e-14
100,256,4x5x5/DIF,JIT,14572,56837,58.359,3.900,2.283e-14
6615,4,5x7x7x3x3x3/DIF,avg2,47679,115277,35.217,2.418,2.101e-14
107,256,[override],avg2,138998,163176,6.643,1.174,2.423e-14
6930,4,6x3x5x11x7/DIF,avg2,47884,97977,36.930,2.046,2.123e-14
119,256,17x7/DIT,JIT,30725,108122,34.181,3.519,1.361e-14
1000,32,5x8x5x5/DIT,JIT,31298,79111,50.947,2.528,2.929e-14
1008,32,12x12x7/DIT,JIT,22558,79303,71.333,3.516,1.498e-14
126,256,6x3x7/DIT,JIT,22690,72319,49.594,3.187,1.379e-14
1009,32,[override],avg2,90534,218271,17.794,2.411,2.613e-14
127,256,[override],avg2,69573,172570,16.329,2.480,2.390e-14
