N,K,path,threads,ours_mt_ns,ours_st_ns,mkl_mt_ns,mkl_st_ns,ratio_vs_mkl_best,ratio_vs_mkl_mt,scale_ours,scale_mkl,ctl_spread,xerr,mt_ne_st
256,4,ilmt,8,607,614,3573,673,1.109,5.886,1.011,0.188,0.0077,3.571e-16,0
512,4,ilmt,8,1146,2271,6626,1419,1.238,5.781,1.981,0.214,0.1386,3.439e-16,0
1024,4,ilmt,8,1667,4036,8378,3415,2.048,5.026,2.421,0.408,0.0222,4.162e-16,0
4096,4,ilmt,8,4973,16199,31433,15266,3.070,6.321,3.257,0.486,0.0015,5.049e-16,0
16384,4,ilmt,8,20013,80390,114647,89490,4.472,5.729,4.017,0.781,0.0075,5.855e-16,0
65536,4,ilmt,8,137438,494375,568275,581750,4.135,4.135,3.597,1.024,0.2109,7.098e-16,0
256,8,ilmt,8,1012,1170,19933,1268,1.253,19.699,1.157,0.064,0.1554,3.906e-16,0
512,8,ilmt,8,1080,4879,23064,2911,2.694,21.349,4.517,0.126,0.0154,4.105e-16,0
1024,8,ilmt,8,2457,8339,25125,6713,2.732,10.226,3.394,0.267,0.0043,4.337e-16,0
4096,8,ilmt,8,5138,33352,60036,31823,6.194,11.685,6.492,0.530,0.0172,4.978e-16,0
16384,8,ilmt,8,20593,173900,223613,203280,9.871,10.859,8.444,0.909,0.0036,6.947e-16,0
65536,8,ilmt,8,113550,919550,1127175,1042487,9.181,9.927,8.098,0.925,0.1514,7.806e-16,0
256,32,ilmt,8,1673,4704,25034,4991,2.984,14.964,2.812,0.199,0.2701,3.007e-16,0
512,32,ilmt,8,2758,17056,32020,11190,4.057,11.609,6.184,0.349,0.0056,3.921e-16,0
1024,32,ilmt,8,6449,33274,46897,27995,4.341,7.272,5.159,0.597,0.0239,4.368e-16,0
4096,32,ilmt,8,18240,153947,188880,170467,9.346,10.355,8.440,0.903,0.0163,6.655e-16,0
16384,32,ilmt,8,85187,757650,869825,875550,10.211,10.211,8.894,1.007,0.0059,6.996e-16,0
65536,32,ilmt,8,1182062,4126425,7977025,8091300,6.748,6.748,3.491,1.014,0.1176,7.872e-16,0
