N,K,plan,path,vfft_ns,mkl_ns,vfft_gflops,ratio_vs_mkl,rt_err
1024,128,4x4x4x4x4/DIT,generic,218213,323613,30.033,1.483,6.709e-16
8,32,8/DIF,generic,277,6970,13.880,25.194,6.101e-15
16,32,16/DIF,generic,287,6959,35.620,24.205,5.596e-15
32,32,8x4/DIT,generic,796,7865,32.148,9.876,5.817e-15
64,32,8x8/DIT,generic,2018,9545,30.444,4.730,1.077e-14
128,32,4x32/DIF,generic,2578,13392,55.603,5.194,1.176e-14
256,32,4x8x8/DIT,generic,8715,19634,37.599,2.253,1.152e-14
512,32,4x4x32/DIF,generic,17411,33481,42.346,1.923,1.183e-14
1024,32,4x4x8x8/DIT,generic,50375,66834,32.524,1.327,1.543e-14
2048,32,8x4x8x8/DIT,generic,99930,155093,36.070,1.552,1.756e-14
4096,32,4x4x4x8x8/DIT,generic,233233,405020,33.719,1.737,1.347e-14
8192,32,4x4x4x4x32/DIT,generic,433525,849300,39.304,1.959,1.408e-14
16384,32,4x4x4x4x64/DIT,generic,814537,2030212,45.056,2.492,1.996e-14
32768,32,4x4x4x4x2x16x4/DIT,generic,2067400,5452725,38.040,2.637,8.663e-15
65536,32,4x4x4x4x4x4x16/DIT,generic,5629338,15813863,29.803,2.809,8.843e-15
131072,32,16x4x4x4x4x32/DIT,generic,16260813,38317475,21.925,2.356,1.808e-14
95,32,5x19/DIF,generic,2286,20658,43.690,9.038,1.545e-14
119,32,17x7/DIT,generic,1719,23443,76.349,13.634,1.406e-14
169,32,13x13/DIT,generic,2384,24797,83.952,10.402,2.196e-14
175,32,5x7x5/DIT,generic,5849,22690,35.672,3.879,2.367e-14
243,32,3x3x3x3x3/DIT,generic,14796,26708,20.824,1.805,1.021e-14
361,32,19x19/DIF,generic,9217,94528,53.242,10.256,1.172e-14
525,32,7x3x5x5/DIT,generic,24809,60544,30.595,2.440,2.562e-14
625,32,5x5x5x5/DIF,generic,33032,68460,28.117,2.073,3.793e-14
1225,32,5x7x7x5/DIT,generic,73235,142863,27.455,1.951,2.895e-14
1331,32,11x11x11/DIT,generic,59041,168146,37.434,2.848,1.741e-14
2197,32,13x13x13/DIT,generic,113625,302954,34.344,2.666,2.748e-14
2205,32,7x3x7x3x5/DIT,generic,161261,290871,24.299,1.804,2.228e-14
2401,32,7x7x7x7/DIF,generic,154462,305277,27.929,1.976,2.184e-14
3125,32,5x5x5x5x5/DIT,generic,207616,392484,27.959,1.890,4.536e-14
6615,32,7x3x7x3x3x5/DIT,generic,472556,1127067,28.426,2.385,2.517e-14
11025,32,7x7x3x25x3/DIT,generic,627575,1962450,37.745,3.127,3.297e-14
14641,32,11x11x11x11/DIT,generic,638100,2673963,50.800,4.191,2.247e-14
15625,32,25x25x25/DIT,generic,590275,2654587,59.005,4.497,5.037e-14
16807,32,7x7x7x7x7/DIT,generic,846025,3155025,44.616,3.729,2.593e-14
28561,32,13x13x13x13/DIT,generic,1227163,6432412,55.119,5.242,3.559e-14
78125,32,25x25x5x25/DIT,generic,5187113,26972587,39.168,5.200,6.179e-14
117649,32,7x7x7x7x7x7/DIT,generic,18457962,45601650,17.178,2.471,3.466e-14
161051,32,11x11x11x11x11/DIT,generic,18813287,71779713,23.692,3.815,2.668e-14
390625,32,25x25x25x25/DIT,generic,36326538,196348713,31.959,5.405,6.825e-14
60,32,5x12/DIF,generic,1748,11694,32.447,6.691,1.406e-14
8,256,8/DIT,generic,571,23906,53.839,41.897,5.885e-15
100,32,20x5/DIT,generic,1868,14967,56.903,8.012,2.706e-14
126,32,7x3x6/DIT,generic,4448,16674,31.622,3.748,1.136e-14
16,256,4x4/DIT,generic,1207,28256,67.850,23.402,2.542e-16
200,32,5x8x5/DIT,generic,6798,22530,35.980,3.314,2.258e-14
220,32,11x4x5/DIT,generic,6351,26392,43.130,4.156,1.811e-14
250,32,10x5x5/DIT,generic,9037,26382,35.260,2.919,3.125e-14
32,256,4x8/DIT,generic,1829,35327,111.968,19.314,7.222e-15
340,32,17x4x5/DIT,generic,9345,53408,48.952,5.715,1.749e-14
400,32,16x5x5/DIT,generic,11727,39858,47.174,3.399,2.331e-14
60,256,12x5/DIT,generic,4258,63478,106.529,14.906,1.839e-14
500,32,10x10x5/DIT,generic,18417,50804,38.946,2.759,4.044e-14
64,256,4x4x4/DIT,generic,8140,46266,60.382,5.684,4.337e-16
544,32,8x4x17/DIF,generic,21436,89279,36.899,4.165,1.105e-14
640,32,64x10/DIT,generic,21802,62802,43.783,2.881,2.428e-14
95,256,5x19/DIT,generic,17346,134284,46.056,7.741,1.724e-14
100,256,4x5x5/DIF,generic,27122,86471,31.355,3.188,2.281e-14
119,256,17x7/DIT,generic,20203,155971,51.983,7.720,1.364e-14
1000,32,5x8x5x5/DIT,generic,56665,99663,28.140,1.759,2.937e-14
1008,32,12x12x7/DIT,generic,45244,106939,35.566,2.364,1.507e-14
126,256,6x3x7/DIT,generic,33006,100703,34.093,3.051,1.360e-14
128,256,4x4x8/DIT,generic,29803,74443,38.482,2.498,7.136e-15
544,64,32x17/DIF,generic,27542,190670,57.437,6.923,1.543e-14
625,64,5x5x5x5/DIT,generic,75280,144033,24.675,1.913,3.853e-14
169,256,13x13/DIT,generic,25802,168500,62.047,6.530,2.643e-14
340,128,4x5x17/DIF,generic,55320,215031,33.078,3.887,1.842e-14
175,256,7x5x5/DIT,generic,50709,150845,32.915,2.975,2.670e-14
361,128,19x19/DIT,generic,45651,373291,42.997,8.177,1.303e-14
200,256,8x5x5/DIT,generic,56646,148249,34.545,2.617,2.380e-14
220,256,5x4x11/DIT,generic,56251,175414,38.954,3.118,1.767e-14
243,256,3x3x3x3x3/DIT,generic,90006,183919,27.386,2.043,1.177e-14
2000,32,16x5x5x5/DIT,generic,110329,208103,31.805,1.886,3.297e-14
250,256,10x5x5/DIT,generic,63594,183500,40.083,2.886,3.350e-14
256,256,4x4x16/DIT,generic,45560,128653,57.538,2.824,7.730e-15
2310,32,11x7x6x5/DIT,generic,135604,255974,30.455,1.888,2.442e-14
2800,32,16x5x7x5/DIT,generic,153882,311368,33.338,2.023,2.685e-14
400,256,16x5x5/DIT,generic,78711,295632,56.227,3.756,2.482e-14
4000,32,8x5x20x5/DIT,generic,221593,457027,34.559,2.062,3.976e-14
500,256,5x4x5x5/DIT,generic,143607,404307,39.957,2.815,3.307e-14
512,256,4x4x4x8/DIT,generic,108387,300340,54.419,2.771,8.016e-15
525,256,5x3x5x7/DIT,generic,147064,524657,41.290,3.568,2.706e-14
4620,32,11x7x12x5/DIT,generic,259792,676746,34.638,2.605,2.455e-14
5000,32,5x10x10x10/DIT,generic,245142,671508,40.100,2.739,5.081e-14
625,256,5x5x5x5/DIT,generic,203433,593283,36.524,2.916,4.018e-14
640,256,4x4x8x5/DIT,generic,124583,568558,61.297,4.564,1.662e-14
6930,32,11x7x5x3x6/DIT,generic,410789,1010467,34.438,2.460,2.366e-14
1000,256,8x5x5x5/DIT,generic,209150,916125,60.991,4.380,3.314e-14
1008,256,6x8x7x3/DIT,generic,220250,980150,58.448,4.450,1.641e-14
1024,256,4x4x4x4x4/DIT,generic,224288,694963,58.439,3.099,6.712e-16
1225,256,7x7x5x5/DIT,generic,225000,1332937,71.491,5.924,3.452e-14
10000,32,16x5x25x5/DIT,generic,475400,1460037,44.721,3.071,3.815e-14
1331,256,11x11x11/DIT,generic,216113,1627288,81.815,7.530,1.836e-14
13860,32,11x7x12x3x5/DIT,generic,661750,2366425,46.107,3.576,2.353e-14
2000,256,5x4x4x5x5/DIT,generic,381700,1962050,73.546,5.140,3.430e-14
2048,256,4x4x4x4x8/DIT,generic,376525,1562087,76.584,4.149,8.276e-15
2197,256,13x13x13/DIT,generic,407038,2685763,76.697,6.598,3.407e-14
2205,256,7x7x5x3x3/DIT,generic,429500,2662675,72.985,6.199,2.612e-14
2310,256,6x5x7x11/DIT,generic,393200,2317037,84.024,5.893,2.387e-14
