N,K,Kp,pad_ns,tight_ns,mkl_ns,mkl_over_pad,mkl_over_tight,uplift,rt_err
256,7,8,868,4468,6883,7.928,1.541,5.146,1.2e-14
256,11,12,6265,5714,4854,0.775,0.850,0.912,5.8e-15
256,15,16,2661,4163,15088,5.669,3.624,1.564,7.7e-15
256,19,20,12949,11333,19854,1.533,1.752,0.875,1.2e-14
256,23,24,3447,11134,23529,6.826,2.113,3.230,1.2e-14
512,7,8,4024,5961,5575,1.386,0.935,1.481,6.4e-15
512,11,12,5074,8491,10516,2.072,1.239,1.673,1.1e-14
512,15,16,27326,21285,32660,1.195,1.534,0.779,7.6e-15
512,19,20,9331,13156,17853,1.913,1.357,1.410,1.8e-14
512,23,24,35749,29075,50616,1.416,1.741,0.813,1.7e-14
1024,7,8,25465,10574,20467,0.804,1.936,0.415,1.3e-14
1024,11,12,36428,61215,59503,1.633,0.972,1.680,1.2e-14
1024,15,16,27773,20483,31534,1.135,1.540,0.738,1.5e-14
1024,19,20,99751,56104,111236,1.115,1.983,0.562,1.3e-14
1024,23,24,86362,65975,109514,1.268,1.660,0.764,1.3e-14
