N,K,Kp,pad_ns,tight_ns,mkl_ns,mkl_over_pad,mkl_over_tight,uplift,match
256,7,8,832,1153,876,1.053,0.760,1.386,1.3e-13
256,11,12,1301,1740,1427,1.096,0.820,1.337,2.0e-15
256,15,16,1802,2196,1939,1.076,0.883,1.218,5.3e-15
256,19,20,2145,2758,2524,1.177,0.915,1.286,3.6e-15
256,23,24,2591,3291,2998,1.157,0.911,1.270,3.6e-15
512,7,8,2076,4591,2105,1.014,0.459,2.212,1.7e-13
512,11,12,6239,6472,3385,0.543,0.523,1.037,7.1e-15
512,15,16,10756,8418,4163,0.387,0.495,0.783,3.6e-15
512,19,20,10119,10330,5978,0.591,0.579,1.021,3.6e-15
512,23,24,36814,30932,20953,0.569,0.677,0.840,2.7e-15
1024,7,8,7364,7801,13496,1.833,1.730,1.059,3.1e-13
1024,11,12,10733,10990,6759,0.630,0.615,1.024,7.1e-15
1024,15,16,18793,13785,29337,1.561,2.128,0.734,7.1e-15
1024,19,20,18138,46745,11454,0.631,0.245,2.577,9.8e-15
1024,23,24,66172,50399,41675,0.630,0.827,0.762,7.1e-15
