N,K,path,order,ref_err,vfft_ns,mkl_ns,speedup
256,8,rfft,natural,9.3e-13,953,1021,1.070
256,16,rfft,natural,6.3e-13,1823,2089,1.146
256,32,stride,natural,5.5e-13,4667,4195,0.899
256,64,stride,natural,7.8e-13,12263,8851,0.722
256,128,stride,natural,9.9e-13,24128,17366,0.720
256,256,stride,natural,6.5e-13,33020,34453,1.043
512,8,rfft,natural,1.7e-12,2269,2648,1.167
512,16,rfft,natural,2.0e-12,10730,4905,0.457
512,32,stride,natural,2.0e-12,9684,10442,1.078
512,64,stride,natural,2.5e-12,24448,20933,0.856
512,128,stride,natural,2.8e-12,53133,41200,0.775
512,256,stride,natural,2.3e-12,125153,87227,0.697
1024,8,rfft,natural,7.8e-12,7631,4845,0.635
1024,16,rfft,natural,6.4e-12,17568,12508,0.712
1024,32,stride,natural,6.2e-12,23211,25056,1.079
1024,64,stride,natural,5.1e-12,57127,39270,0.687
1024,128,stride,natural,5.5e-12,133420,105580,0.791
1024,256,stride,natural,6.8e-12,231775,184237,0.795
