N,K,path,order,ref_err,vfft_ns,mkl_ns,speedup
256,8,rfft,natural,9.3e-13,966,20625,21.342
256,16,rfft,natural,6.3e-13,1878,23411,12.467
256,32,stride,natural,5.5e-13,3148,25777,8.189
256,64,stride,natural,7.8e-13,3304,30452,9.217
256,128,stride,natural,9.9e-13,7210,41456,5.750
256,256,stride,natural,6.6e-13,11803,62437,5.290
512,8,rfft,natural,1.7e-12,2800,25046,8.945
512,16,rfft,natural,2.0e-12,10261,26183,2.552
512,32,stride,natural,1.9e-12,6165,30927,5.017
512,64,stride,natural,2.5e-12,9103,44636,4.903
512,128,stride,natural,2.8e-12,16270,62587,3.847
512,256,stride,natural,2.3e-12,25113,115293,4.591
1024,8,rfft,natural,7.8e-12,7212,27863,3.863
1024,16,rfft,natural,6.4e-12,16443,33051,2.010
1024,32,stride,natural,6.1e-12,14298,43393,3.035
1024,64,stride,natural,5.1e-12,19720,65033,3.298
1024,128,stride,natural,5.5e-12,33380,116080,3.478
1024,256,stride,natural,6.9e-12,60762,226100,3.721
