N,K,path,order,ref_err,vfft_ns,mkl_ns,speedup
256,5,rfft,natural,6.5e-13,740,631,0.852
256,7,rfft,natural,5.6e-13,1368,876,0.641
256,8,rfft,natural,9.3e-13,913,1008,1.103
256,13,rfft,natural,7.3e-13,2253,1726,0.766
256,15,rfft,natural,5.7e-13,2466,2064,0.837
256,16,rfft,natural,6.3e-13,2022,2112,1.044
256,17,rfft,natural,5.6e-13,2908,2209,0.760
256,31,rfft,natural,7.9e-13,4718,4091,0.867
256,33,rfft,natural,5.5e-13,5812,4559,0.784
512,5,rfft,natural,2.1e-12,4562,1411,0.309
512,7,rfft,natural,1.9e-12,6008,2096,0.349
512,8,rfft,natural,1.7e-12,3175,2264,0.713
512,13,rfft,natural,2.2e-12,9781,3629,0.371
512,15,rfft,natural,1.6e-12,11680,4593,0.393
512,16,rfft,natural,2.0e-12,12327,4865,0.395
512,17,rfft,natural,2.4e-12,11588,5190,0.448
512,31,rfft,natural,1.6e-12,23917,9644,0.403
512,33,rfft,natural,1.7e-12,24981,10598,0.424
1024,5,rfft,natural,7.0e-12,6791,3703,0.545
1024,7,rfft,natural,6.4e-12,8958,5457,0.609
1024,8,rfft,natural,7.8e-12,7669,6293,0.821
1024,13,rfft,natural,7.6e-12,14519,9947,0.685
1024,15,rfft,natural,7.0e-12,16985,11773,0.693
1024,16,rfft,natural,6.4e-12,19195,12557,0.654
1024,17,rfft,natural,5.9e-12,17060,10316,0.605
1024,31,rfft,natural,5.5e-12,36284,24217,0.667
1024,33,rfft,natural,6.2e-12,37608,25742,0.684
