N,K,path,order,ref_err,vfft_ns,mkl_ns,speedup
256,5,rfft,natural,6.5e-13,762,618,0.811
256,7,rfft,natural,5.6e-13,1340,876,0.653
256,8,rfft,natural,9.3e-13,960,1015,1.057
256,13,rfft,natural,7.3e-13,2296,1689,0.736
256,15,rfft,natural,5.7e-13,2778,2093,0.754
256,16,rfft,natural,6.3e-13,1968,2142,1.088
256,17,rfft,natural,5.6e-13,2556,2352,0.920
256,31,rfft,natural,7.9e-13,5507,4285,0.778
256,33,rfft,natural,5.5e-13,5725,4369,0.763
512,5,rfft,natural,2.1e-12,4409,1347,0.305
512,7,rfft,natural,1.9e-12,6009,2080,0.346
512,8,rfft,natural,1.7e-12,2447,2237,0.914
512,13,rfft,natural,2.2e-12,9837,4060,0.413
512,15,rfft,natural,1.6e-12,11409,4753,0.417
512,16,rfft,natural,2.0e-12,12470,5203,0.417
512,17,rfft,natural,2.4e-12,12965,5475,0.422
512,31,rfft,natural,1.6e-12,23808,9633,0.405
512,33,rfft,natural,1.7e-12,25128,10571,0.421
1024,5,rfft,natural,7.0e-12,6492,3704,0.571
1024,7,rfft,natural,6.4e-12,9041,5445,0.602
1024,8,rfft,natural,7.8e-12,7553,6271,0.830
1024,13,rfft,natural,7.6e-12,14829,10019,0.676
1024,15,rfft,natural,7.0e-12,17212,11688,0.679
1024,16,rfft,natural,6.4e-12,19311,12523,0.648
1024,17,rfft,natural,5.9e-12,19276,13094,0.679
1024,31,rfft,natural,5.5e-12,35541,24329,0.685
1024,33,rfft,natural,6.2e-12,32853,25669,0.781
