N1,N2,row,col,palin,scrambled_ns,natural_ns,tax,err
128,16,16,8·16,0,2492,3047,1.223,1.6e-14
128,16,16,16·8,0,1977,2450,1.240,1.6e-14
128,16,16,4·32,0,2180,2733,1.254,1.5e-14
128,16,16,4·8·4,1,2144,2347,1.095,1.5e-14
128,16,16,8·2·8,1,2192,2383,1.087,1.6e-14
128,16,16,4·4·8,0,2560,3033,1.185,1.6e-14
512,16,16,8·64,0,19621,22219,1.132,1.1e-13
512,16,16,16·32,0,18000,19833,1.102,1.1e-13
512,16,16,32·16,0,16011,17901,1.118,1.1e-13
512,16,16,8·8·8,1,18754,20642,1.101,1.1e-13
512,16,16,4·16·8,0,11750,13702,1.166,1.1e-13
