N,K,plan,path,vfft_ns,mkl_ns,vfft_gflops,ratio_vs_mkl,rt_err,route,flip
4096,1,z:ilp,nat-oop,3698,3774,66.458,1.021,3.902e-16,ztt,0
4096,1,z:ilp,nat-oop,3557,3778,69.097,1.062,3.902e-16,ztt,1
4096,1,z:ilp,nat-oop,3554,3823,69.152,1.076,3.902e-16,ztt,0
4096,1,z:ilp,nat-oop,5938,3766,41.390,0.634,3.902e-16,ztt,1
4096,1,z:ilp,nat-oop,3567,3763,68.890,1.055,3.902e-16,ztt,0
4096,1,z:ilp,nat-oop,3689,3763,66.628,1.020,3.902e-16,ztt,1
4096,1,z:ilp,nat-oop,6305,8567,38.982,1.359,3.902e-16,ztt,0
4096,1,z:ilp,nat-oop,3827,6586,64.210,1.721,3.902e-16,ztt,1
4096,1,z:ilp,nat-oop,3693,3791,66.543,1.026,3.902e-16,ztt,0
4096,1,z:ilp,nat-oop,3691,3827,66.584,1.037,3.902e-16,ztt,1
4096,1,z:ilp,nat-oop,3552,3829,69.188,1.078,3.902e-16,ztt,0
4096,1,z:ilp,nat-oop,3551,3823,69.212,1.077,3.902e-16,ztt,1
4096,1,z:ilp,nat-oop,3574,3766,68.772,1.054,3.902e-16,ztt,0
4096,1,z:ilp,nat-oop,3547,3876,69.288,1.093,3.902e-16,ztt,1
4096,1,z:ilp,nat-oop,3561,3762,69.013,1.057,3.902e-16,ztt,0
4096,1,z:ilp,nat-oop,3685,3824,66.699,1.038,3.902e-16,ztt,1
4096,1,z:ilp,nat-oop,3558,3764,69.069,1.058,3.902e-16,ztt,0
4096,1,z:ilp,nat-oop,3710,3817,66.242,1.029,3.902e-16,ztt,1
4096,1,z:ilp,nat-oop,3569,3765,68.851,1.055,3.902e-16,ztt,0
4096,1,z:ilp,nat-oop,3544,3764,69.344,1.062,3.902e-16,ztt,1
4096,1,z:ilp,nat-oop,3556,3763,69.112,1.058,3.902e-16,ztt,0
4096,1,z:ilp,nat-oop,3688,3833,66.639,1.039,3.902e-16,ztt,1
4096,1,z:ilp,nat-oop,3715,3761,66.161,1.012,3.902e-16,ztt,0
4096,1,z:ilp,nat-oop,3713,3847,66.183,1.036,3.902e-16,ztt,1
4096,1,z:ilp,nat-oop,3573,3766,68.791,1.054,3.902e-16,ztt,0
4096,1,z:ilp,nat-oop,3707,3857,66.297,1.041,3.902e-16,ztt,1
4096,1,z:ilp,nat-oop,3694,3768,66.521,1.020,3.902e-16,ztt,0
4096,1,z:ilp,nat-oop,3701,3857,66.407,1.042,3.902e-16,ztt,1
4096,1,z:ilp,nat-oop,3634,3758,67.635,1.034,3.902e-16,ztt,0
4096,1,z:ilp,nat-oop,3699,3833,66.440,1.036,3.902e-16,ztt,1
4096,1,z:ilp,nat-oop,3684,3764,66.710,1.022,3.902e-16,ztt,0
4096,1,z:ilp,nat-oop,3695,3757,66.510,1.017,3.902e-16,ztt,1
4096,1,z:ilp,nat-oop,3559,3763,69.045,1.057,3.902e-16,ztt,0
4096,1,z:ilp,nat-oop,3695,3771,66.517,1.021,3.902e-16,ztt,1
4096,1,z:ilp,nat-oop,3558,3764,69.069,1.058,3.902e-16,ztt,0
4096,1,z:ilp,nat-oop,3691,3767,66.591,1.021,3.902e-16,ztt,1
4096,1,z:ilp,nat-oop,3555,3773,69.124,1.061,3.902e-16,ztt,0
4096,1,z:ilp,nat-oop,3703,3778,66.366,1.020,3.902e-16,ztt,1
4096,1,z:ilp,nat-oop,3699,3781,66.447,1.022,3.902e-16,ztt,0
4096,1,z:ilp,nat-oop,3704,3829,66.355,1.034,3.902e-16,ztt,1
4096,1,z:ilp,nat-oop,3689,3760,66.621,1.019,3.902e-16,ztt,0
4096,1,z:ilp,nat-oop,3691,3832,66.584,1.038,3.902e-16,ztt,1
4096,1,z:ilp,nat-oop,3562,3764,69.001,1.057,3.902e-16,ztt,0
4096,1,z:ilp,nat-oop,3701,3848,66.400,1.040,3.902e-16,ztt,1
