N,K,plan,path,vfft_ns,mkl_ns,vfft_gflops,ratio_vs_mkl,rt_err,route,flip,engaged
4096,1,z:ilp,nat-oop,3553,3858,69.176,1.086,3.902e-16,ztt,1,0
4096,1,z:ilp,nat-oop,3557,3761,69.089,1.057,3.902e-16,ztt,1,0
4096,1,z:ilp,nat-oop,3552,3757,69.180,1.058,3.902e-16,ztt,1,0
4096,1,z:ilp,nat-oop,3686,3825,66.665,1.038,3.902e-16,ztt,1,0
4096,1,z:ilp,nat-oop,3686,3755,66.673,1.019,3.902e-16,ztt,1,0
4096,1,z:ilp,nat-oop,3682,3752,66.747,1.019,3.902e-16,ztt,1,0
4096,1,z:ilp,nat-oop,3728,3826,65.925,1.026,3.902e-16,ztt,1,0
4096,1,z:ilp,nat-oop,4867,3796,50.491,0.780,3.902e-16,ztt,1,0
4096,1,z:ilp,nat-oop,3712,3898,66.202,1.050,3.902e-16,ztt,1,0
4096,1,z:ilp,nat-oop,3684,3830,66.714,1.040,3.902e-16,ztt,1,0
4096,1,z:ilp,nat-oop,3647,3764,67.396,1.032,3.902e-16,ztt,1,0
4096,1,z:ilp,nat-oop,3727,3847,65.936,1.032,3.902e-16,ztt,1,0
4096,1,z:ilp,nat-oop,3725,3754,65.979,1.008,3.902e-16,ztt,1,0
4096,1,z:ilp,nat-oop,3735,3758,65.802,1.006,3.902e-16,ztt,1,0
4096,1,z:ilp,nat-oop,3561,3851,69.005,1.081,3.902e-16,ztt,1,0
4096,1,z:ilp,nat-oop,3734,3825,65.817,1.024,3.902e-16,ztt,1,0
