N,K,plan,path,vfft_ns,mkl_ns,vfft_gflops,ratio_vs_mkl,rt_err,route,flip
1023,1,z:ilp,nat-oop,3326,4600,15.378,1.383,1.793e-15,chain3,1
2,1,z:ilp,nat-oop,4,11,2.633,2.828,0.000e+00,mono,0
2,1,z:ilp,nat-oop,4,11,2.642,2.834,0.000e+00,mono,1
3,1,z:ilp,nat-oop,4,11,5.343,2.446,1.485e-16,mono,0
3,1,z:ilp,nat-oop,4,11,5.334,2.411,1.485e-16,mono,1
4,1,z:ilp,nat-oop,5,11,8.494,2.354,0.000e+00,mono,0
4,1,z:ilp,nat-oop,5,11,8.567,2.344,0.000e+00,mono,1
5,1,z:ilp,nat-oop,6,12,9.282,1.883,7.549e-17,mono,0
5,1,z:ilp,nat-oop,6,12,9.300,1.888,7.549e-17,mono,1
6,1,z:ilp,nat-oop,7,12,11.670,1.769,1.865e-16,mono,0
6,1,z:ilp,nat-oop,7,12,11.716,1.780,1.865e-16,mono,1
7,1,z:ilp,nat-oop,7,12,13.148,1.613,2.584e-16,mono,0
7,1,z:ilp,nat-oop,7,12,13.185,1.625,2.584e-16,mono,1
8,1,z:ilp,nat-oop,7,12,16.570,1.590,7.430e-17,mono,0
8,1,z:ilp,nat-oop,7,12,16.662,1.606,7.430e-17,mono,1
9,1,z:ilp,nat-oop,9,13,15.876,1.411,7.314e-16,mono,0
9,1,z:ilp,nat-oop,9,13,15.634,1.391,7.314e-16,mono,1
10,1,z:ilp,nat-oop,9,12,17.894,1.343,1.836e-16,mono,0
10,1,z:ilp,nat-oop,9,12,18.151,1.360,1.836e-16,mono,1
11,1,z:ilp,nat-oop,12,14,16.285,1.165,3.556e-16,mono,0
11,1,z:ilp,nat-oop,12,14,16.257,1.161,3.556e-16,mono,1
12,1,z:ilp,nat-oop,11,13,19.946,1.183,2.826e-16,2p,0
12,1,z:ilp,nat-oop,11,13,19.963,1.185,2.826e-16,2p,1
13,1,z:ilp,nat-oop,15,15,16.404,0.996,1.095e-15,mono,0
13,1,z:ilp,nat-oop,15,15,16.324,0.987,1.095e-15,mono,1
14,1,z:ilp,nat-oop,13,14,20.582,1.056,2.036e-16,mono,0
14,1,z:ilp,nat-oop,13,14,20.430,1.042,2.036e-16,mono,1
15,1,z:ilp,nat-oop,16,14,18.494,0.899,3.324e-16,2p,0
15,1,z:ilp,nat-oop,16,14,18.464,0.895,3.324e-16,2p,1
16,1,z:ilp,nat-oop,10,12,31.911,1.222,7.549e-17,ztt,0
16,1,z:ilp,nat-oop,10,12,32.006,1.234,7.549e-17,ztt,1
17,1,z:ilp,nat-oop,24,40,14.645,1.684,6.516e-16,mono,0
17,1,z:ilp,nat-oop,23,40,14.870,1.705,6.516e-16,mono,1
18,1,z:ilp,nat-oop,15,23,24.996,1.530,3.826e-16,2p,0
18,1,z:ilp,nat-oop,16,23,24.191,1.480,3.826e-16,2p,1
19,1,z:ilp,nat-oop,30,45,13.651,1.516,9.263e-16,mono,0
19,1,z:ilp,nat-oop,29,45,13.790,1.532,9.263e-16,mono,1
20,1,z:ilp,nat-oop,14,22,30.183,1.568,2.176e-16,2p,0
20,1,z:ilp,nat-oop,14,22,30.315,1.568,2.176e-16,2p,1
21,1,z:ilp,nat-oop,18,25,25.961,1.394,3.308e-16,2p,0
21,1,z:ilp,nat-oop,18,25,25.945,1.397,3.308e-16,2p,1
22,1,z:ilp,nat-oop,25,30,19.986,1.239,4.757e-16,mono,0
22,1,z:ilp,nat-oop,25,31,19.910,1.238,4.757e-16,mono,1
23,1,z:ilp,nat-oop,41,67,12.788,1.649,1.169e-15,mono,0
23,1,z:ilp,nat-oop,42,66,12.510,1.591,1.169e-15,mono,1
24,1,z:ilp,nat-oop,18,29,30.628,1.588,2.480e-16,2p,0
24,1,z:ilp,nat-oop,18,29,30.923,1.618,2.480e-16,2p,1
25,1,z:ilp,nat-oop,20,26,29.301,1.321,2.710e-16,2p,0
25,1,z:ilp,nat-oop,20,27,29.067,1.328,2.710e-16,2p,1
26,1,z:ilp,nat-oop,30,36,20.153,1.173,7.348e-16,mono,0
26,1,z:ilp,nat-oop,30,36,20.157,1.176,7.348e-16,mono,1
27,1,z:ilp,nat-oop,29,33,22.276,1.138,6.381e-16,flat,0
27,1,z:ilp,nat-oop,29,32,22.242,1.099,6.381e-16,flat,1
28,1,z:ilp,nat-oop,19,30,35.622,1.569,2.091e-16,2p,0
28,1,z:ilp,nat-oop,19,30,35.627,1.570,2.091e-16,2p,1
29,1,z:ilp,nat-oop,60,107,11.741,1.780,9.829e-16,mono,0
29,1,z:ilp,nat-oop,60,107,11.745,1.780,9.829e-16,mono,1
30,1,z:ilp,nat-oop,20,31,36.218,1.536,3.019e-16,2p,0
30,1,z:ilp,nat-oop,20,31,36.418,1.546,3.019e-16,2p,1
31,1,z:ilp,nat-oop,68,121,11.336,1.792,2.138e-15,mono,0
31,1,z:ilp,nat-oop,69,121,11.198,1.770,2.138e-15,mono,1
32,1,z:ilp,nat-oop,16,16,48.724,0.985,1.738e-16,2p,0
32,1,z:ilp,nat-oop,17,16,48.485,0.983,1.738e-16,2p,1
33,1,z:ilp,nat-oop,26,36,31.581,1.365,6.591e-16,2p,0
33,1,z:ilp,nat-oop,26,36,31.561,1.378,6.591e-16,2p,1
34,1,z:ilp,nat-oop,50,75,17.252,1.494,8.373e-16,flat,0
34,1,z:ilp,nat-oop,50,75,17.315,1.501,8.373e-16,flat,1
35,1,z:ilp,nat-oop,25,36,35.827,1.429,3.914e-16,2p,0
35,1,z:ilp,nat-oop,25,36,35.842,1.421,3.914e-16,2p,1
36,1,z:ilp,nat-oop,21,42,43.529,1.950,3.939e-16,2p,0
36,1,z:ilp,nat-oop,21,42,43.289,1.956,3.939e-16,2p,1
37,1,z:ilp,nat-oop,99,185,9.779,1.879,1.802e-15,mono,0
37,1,z:ilp,nat-oop,99,185,9.734,1.870,1.802e-15,mono,1
38,1,z:ilp,nat-oop,59,88,16.834,1.492,7.867e-16,flat,0
38,1,z:ilp,nat-oop,64,88,15.631,1.376,7.867e-16,flat,1
39,1,z:ilp,nat-oop,34,45,30.696,1.327,9.559e-16,2p,0
39,1,z:ilp,nat-oop,37,44,27.727,1.197,9.559e-16,2p,1
40,1,z:ilp,nat-oop,23,42,46.835,1.834,1.440e-16,2p,0
40,1,z:ilp,nat-oop,23,41,46.532,1.814,1.440e-16,2p,1
41,1,z:ilp,nat-oop,121,242,9.048,1.992,1.828e-15,mono,0
41,1,z:ilp,nat-oop,120,242,9.134,2.013,1.828e-15,mono,1
