N,K,plan,path,vfft_ns,mkl_ns,vfft_gflops,ratio_vs_mkl,rt_err,route,flip
2,1,z:ilp,nat-ip,6,11,1.752,1.966,0.000e+00,mono,0
2,1,z:ilp,nat-ip,6,11,1.785,1.973,0.000e+00,mono,1
3,1,z:ilp,nat-ip,7,11,3.620,1.702,1.485e-16,mono,0
3,1,z:ilp,nat-ip,7,11,3.596,1.671,1.485e-16,mono,1
4,1,z:ilp,nat-ip,7,11,6.079,1.733,0.000e+00,mono,0
4,1,z:ilp,nat-ip,7,11,6.098,1.738,0.000e+00,mono,1
5,1,z:ilp,nat-ip,9,11,6.817,1.323,7.549e-17,mono,0
5,1,z:ilp,nat-ip,9,12,6.751,1.387,7.549e-17,mono,1
6,1,z:ilp,nat-ip,9,12,8.602,1.323,1.865e-16,mono,0
6,1,z:ilp,nat-ip,9,12,8.791,1.348,1.865e-16,mono,1
7,1,z:ilp,nat-ip,10,12,9.662,1.177,2.584e-16,mono,0
7,1,z:ilp,nat-ip,10,12,9.726,1.182,2.584e-16,mono,1
8,1,z:ilp,nat-ip,10,12,12.311,1.206,7.430e-17,mono,0
8,1,z:ilp,nat-ip,10,12,12.288,1.203,7.430e-17,mono,1
9,1,z:ilp,nat-ip,12,13,12.256,1.085,7.314e-16,mono,0
9,1,z:ilp,nat-ip,12,13,12.126,1.088,7.314e-16,mono,1
10,1,z:ilp,nat-ip,12,13,14.125,1.071,1.836e-16,mono,0
10,1,z:ilp,nat-ip,12,13,14.108,1.088,1.836e-16,mono,1
11,1,z:ilp,nat-ip,14,13,13.333,0.934,3.556e-16,mono,0
11,1,z:ilp,nat-ip,14,13,13.327,0.935,3.556e-16,mono,1
12,1,z:ilp,nat-ip,13,13,16.202,0.965,2.826e-16,mono,0
12,1,z:ilp,nat-ip,13,13,16.288,0.980,2.826e-16,mono,1
13,1,z:ilp,nat-ip,17,14,14.011,0.831,1.095e-15,mono,0
13,1,z:ilp,nat-ip,17,14,13.954,0.821,1.095e-15,mono,1
14,1,z:ilp,nat-ip,22,13,12.006,0.595,3.257e-16,flat,0
14,1,z:ilp,nat-ip,22,14,12.080,0.612,3.257e-16,flat,1
15,1,z:ilp,nat-ip,20,13,14.398,0.655,1.329e-15,mono,0
15,1,z:ilp,nat-ip,20,14,14.424,0.685,1.329e-15,mono,1
16,1,z:ilp,nat-ip,12,12,25.961,1.010,7.549e-17,2p,0
16,1,z:ilp,nat-ip,13,12,25.431,0.971,7.549e-17,2p,1
17,1,z:ilp,nat-ip,27,41,13.069,1.536,6.516e-16,mono,0
17,1,z:ilp,nat-ip,27,41,12.850,1.498,6.516e-16,mono,1
18,1,z:ilp,nat-ip,24,23,15.467,0.952,3.826e-16,2p,0
18,1,z:ilp,nat-ip,18,23,20.534,1.238,3.826e-16,2p,1
19,1,z:ilp,nat-ip,33,45,12.223,1.355,9.263e-16,mono,0
19,1,z:ilp,nat-ip,33,45,12.249,1.375,9.263e-16,mono,1
20,1,z:ilp,nat-ip,17,22,25.232,1.310,2.176e-16,2p,0
20,1,z:ilp,nat-ip,17,22,25.457,1.313,2.176e-16,2p,1
21,1,z:ilp,nat-ip,20,24,22.850,1.203,3.308e-16,2p,0
21,1,z:ilp,nat-ip,20,24,22.499,1.170,3.308e-16,2p,1
22,1,z:ilp,nat-ip,33,30,14.819,0.920,5.317e-16,flat,0
22,1,z:ilp,nat-ip,33,30,14.928,0.922,5.317e-16,flat,1
23,1,z:ilp,nat-ip,45,67,11.493,1.477,1.169e-15,mono,0
23,1,z:ilp,nat-ip,45,64,11.501,1.417,1.169e-15,mono,1
24,1,z:ilp,nat-ip,17,29,33.177,1.721,2.204e-16,2p,0
24,1,z:ilp,nat-ip,17,28,33.057,1.683,2.204e-16,2p,1
25,1,z:ilp,nat-ip,23,26,25.757,1.150,2.710e-16,2p,0
25,1,z:ilp,nat-ip,22,26,25.809,1.153,2.710e-16,2p,1
26,1,z:ilp,nat-ip,39,35,15.613,0.905,8.879e-16,flat,0
26,1,z:ilp,nat-ip,40,35,15.432,0.894,8.879e-16,flat,1
27,1,z:ilp,nat-ip,24,31,27.221,1.309,6.381e-16,2p,0
27,1,z:ilp,nat-ip,23,31,27.339,1.325,6.381e-16,2p,1
28,1,z:ilp,nat-ip,20,29,33.620,1.452,2.641e-16,2p,0
28,1,z:ilp,nat-ip,20,29,33.559,1.463,2.641e-16,2p,1
29,1,z:ilp,nat-ip,75,106,9.338,1.404,7.372e-16,prime,0
29,1,z:ilp,nat-ip,75,106,9.382,1.409,7.372e-16,prime,1
30,1,z:ilp,nat-ip,24,30,30.612,1.249,3.666e-16,2p,0
30,1,z:ilp,nat-ip,26,30,28.860,1.186,3.666e-16,2p,1
