N,K,plan,path,vfft_ns,mkl_ns,vfft_gflops,ratio_vs_mkl,rt_err,route,flip
2,1,z:ilp,nat-ip,6,11,1.800,1.992,0.000e+00,mono,0
2,1,z:ilp,nat-ip,6,11,1.803,1.995,0.000e+00,mono,1
3,1,z:ilp,nat-ip,7,10,3.481,1.515,1.485e-16,mono,0
3,1,z:ilp,nat-ip,7,11,3.599,1.702,1.485e-16,mono,1
4,1,z:ilp,nat-ip,7,11,6.040,1.676,0.000e+00,mono,0
4,1,z:ilp,nat-ip,7,11,5.907,1.686,0.000e+00,mono,1
5,1,z:ilp,nat-ip,9,12,6.730,1.363,7.549e-17,mono,0
5,1,z:ilp,nat-ip,9,12,6.696,1.379,7.549e-17,mono,1
6,1,z:ilp,nat-ip,9,12,8.872,1.364,1.865e-16,mono,0
6,1,z:ilp,nat-ip,9,12,8.837,1.339,1.865e-16,mono,1
7,1,z:ilp,nat-ip,10,12,9.601,1.185,2.584e-16,mono,0
7,1,z:ilp,nat-ip,10,12,9.702,1.143,2.584e-16,mono,1
8,1,z:ilp,nat-ip,10,12,12.462,1.220,7.430e-17,mono,0
8,1,z:ilp,nat-ip,10,11,12.367,1.175,7.430e-17,mono,1
9,1,z:ilp,nat-ip,12,13,12.246,1.085,7.314e-16,mono,0
9,1,z:ilp,nat-ip,12,13,12.153,1.076,7.314e-16,mono,1
10,1,z:ilp,nat-ip,12,12,14.078,1.044,1.836e-16,mono,0
10,1,z:ilp,nat-ip,12,13,14.184,1.072,1.836e-16,mono,1
11,1,z:ilp,nat-ip,14,13,13.385,0.921,3.556e-16,mono,0
11,1,z:ilp,nat-ip,14,13,13.412,0.941,3.556e-16,mono,1
12,1,z:ilp,nat-ip,13,12,16.301,0.918,2.826e-16,2p,0
12,1,z:ilp,nat-ip,13,13,16.368,0.976,2.826e-16,2p,1
13,1,z:ilp,nat-ip,17,14,13.979,0.791,1.095e-15,mono,0
13,1,z:ilp,nat-ip,17,14,14.049,0.830,1.095e-15,mono,1
14,1,z:ilp,nat-ip,22,13,11.959,0.598,3.257e-16,flat,0
14,1,z:ilp,nat-ip,22,14,12.067,0.614,3.257e-16,flat,1
15,1,z:ilp,nat-ip,18,14,15.960,0.764,3.324e-16,2p,0
15,1,z:ilp,nat-ip,18,14,15.935,0.773,3.324e-16,2p,1
16,1,z:ilp,nat-ip,13,12,24.634,0.929,7.549e-17,ztt,0
16,1,z:ilp,nat-ip,13,12,24.040,0.904,7.549e-17,ztt,1
17,1,z:ilp,nat-ip,27,41,12.863,1.502,6.516e-16,mono,0
17,1,z:ilp,nat-ip,27,41,12.835,1.525,6.516e-16,mono,1
18,1,z:ilp,nat-ip,18,23,21.210,1.316,3.826e-16,2p,0
18,1,z:ilp,nat-ip,18,23,21.347,1.299,3.826e-16,2p,1
19,1,z:ilp,nat-ip,33,45,12.236,1.357,9.263e-16,mono,0
19,1,z:ilp,nat-ip,33,45,12.378,1.372,9.263e-16,mono,1
20,1,z:ilp,nat-ip,18,22,24.224,1.239,2.176e-16,2p,0
20,1,z:ilp,nat-ip,23,23,18.568,0.967,2.176e-16,2p,1
21,1,z:ilp,nat-ip,20,24,22.724,1.164,3.308e-16,2p,0
21,1,z:ilp,nat-ip,20,24,22.796,1.195,3.308e-16,2p,1
22,1,z:ilp,nat-ip,33,30,14.943,0.919,5.317e-16,flat,0
22,1,z:ilp,nat-ip,33,30,14.690,0.911,5.317e-16,flat,1
23,1,z:ilp,nat-ip,45,64,11.495,1.416,1.169e-15,mono,0
23,1,z:ilp,nat-ip,45,64,11.510,1.417,1.169e-15,mono,1
24,1,z:ilp,nat-ip,20,28,27.058,1.375,2.480e-16,2p,0
24,1,z:ilp,nat-ip,20,28,27.179,1.404,2.480e-16,2p,1
25,1,z:ilp,nat-ip,23,26,25.787,1.133,2.710e-16,2p,0
25,1,z:ilp,nat-ip,23,26,25.507,1.136,2.710e-16,2p,1
26,1,z:ilp,nat-ip,39,35,15.471,0.896,8.879e-16,flat,0
26,1,z:ilp,nat-ip,39,35,15.589,0.901,8.879e-16,flat,1
27,1,z:ilp,nat-ip,31,31,20.833,1.001,6.381e-16,flat,0
27,1,z:ilp,nat-ip,31,31,20.781,1.002,6.381e-16,flat,1
28,1,z:ilp,nat-ip,22,29,30.641,1.334,2.091e-16,2p,0
28,1,z:ilp,nat-ip,22,29,30.002,1.295,2.091e-16,2p,1
29,1,z:ilp,nat-ip,76,106,9.294,1.396,7.372e-16,prime,0
29,1,z:ilp,nat-ip,75,106,9.346,1.405,7.372e-16,prime,1
30,1,z:ilp,nat-ip,24,30,30.620,1.255,3.019e-16,2p,0
30,1,z:ilp,nat-ip,24,30,30.223,1.240,3.019e-16,2p,1
31,1,z:ilp,nat-ip,78,120,9.809,1.536,6.577e-16,prime,0
31,1,z:ilp,nat-ip,78,120,9.789,1.531,6.577e-16,prime,1
32,1,z:ilp,nat-ip,19,15,41.920,0.800,1.738e-16,2p,0
32,1,z:ilp,nat-ip,20,16,40.726,0.820,1.738e-16,2p,1
33,1,z:ilp,nat-ip,30,35,28.167,1.179,6.591e-16,2p,0
33,1,z:ilp,nat-ip,30,35,27.923,1.165,6.591e-16,2p,1
34,1,z:ilp,nat-ip,55,75,15.776,1.367,8.373e-16,flat,0
34,1,z:ilp,nat-ip,52,75,16.675,1.444,8.373e-16,flat,1
