N,K,plan,path,vfft_ns,mkl_ns,vfft_gflops,ratio_vs_mkl,rt_err,route,flip
4096,1,z:ilp,nat-oop,3564,3859,68.954,1.083,3.902e-16,ztt,0
4096,1,z:ilp,nat-oop,3567,3833,68.898,1.075,3.902e-16,ztt,1
4096,1,z:ilp,nat-oop,3596,3856,68.337,1.072,3.902e-16,ztt,0
4096,1,z:ilp,nat-oop,3558,3837,69.081,1.079,3.902e-16,ztt,1
4096,1,z:ilp,nat-oop,3572,3835,68.807,1.074,3.902e-16,ztt,0
4096,1,z:ilp,nat-oop,3563,3829,68.969,1.074,3.902e-16,ztt,1
4096,1,z:ilp,nat-oop,3559,3844,69.045,1.080,3.902e-16,ztt,0
4096,1,z:ilp,nat-oop,3561,3838,69.009,1.078,3.902e-16,ztt,1
4096,1,z:ilp,nat-oop,3593,3825,68.403,1.065,3.902e-16,ztt,0
4096,1,z:ilp,nat-oop,3588,3842,68.493,1.071,3.902e-16,ztt,1
4096,1,z:ilp,nat-oop,3555,3856,69.136,1.085,3.902e-16,ztt,0
4096,1,z:ilp,nat-oop,3564,3834,68.954,1.076,3.902e-16,ztt,1
4096,1,z:ilp,nat-oop,3579,3845,68.665,1.074,3.902e-16,ztt,0
4096,1,z:ilp,nat-oop,3552,3827,69.184,1.077,3.902e-16,ztt,1
4096,1,z:ilp,nat-oop,5898,3854,41.670,0.654,3.902e-16,ztt,0
4096,1,z:ilp,nat-oop,3552,3845,69.184,1.082,3.902e-16,ztt,1
4096,1,z:ilp,nat-oop,3564,3837,68.957,1.077,3.902e-16,ztt,0
4096,1,z:ilp,nat-oop,3556,3828,69.120,1.077,3.902e-16,ztt,1
4096,1,z:ilp,nat-oop,3560,3841,69.025,1.079,3.902e-16,ztt,0
4096,1,z:ilp,nat-oop,3553,3838,69.168,1.080,3.902e-16,ztt,1
4096,1,z:ilp,nat-oop,3558,3831,69.065,1.077,3.902e-16,ztt,0
4096,1,z:ilp,nat-oop,3548,3858,69.268,1.087,3.902e-16,ztt,1
4096,1,z:ilp,nat-oop,3568,3830,68.882,1.074,3.902e-16,ztt,0
4096,1,z:ilp,nat-oop,3575,3842,68.740,1.075,3.902e-16,ztt,1
4096,1,z:ilp,nat-oop,3566,3855,68.922,1.081,3.902e-16,ztt,0
4096,1,z:ilp,nat-oop,3595,3844,68.368,1.069,3.902e-16,ztt,1
4096,1,z:ilp,nat-oop,3586,3836,68.536,1.070,3.902e-16,ztt,0
4096,1,z:ilp,nat-oop,3558,3850,69.069,1.082,3.902e-16,ztt,1
4096,1,z:ilp,nat-oop,3561,3827,69.013,1.075,3.902e-16,ztt,0
4096,1,z:ilp,nat-oop,3551,3834,69.208,1.080,3.902e-16,ztt,1
4096,1,z:ilp,nat-oop,3555,3842,69.136,1.081,3.902e-16,ztt,0
4096,1,z:ilp,nat-oop,3559,3843,69.045,1.080,3.902e-16,ztt,1
4096,1,z:ilp,nat-oop,3557,3832,69.085,1.077,3.902e-16,ztt,0
4096,1,z:ilp,nat-oop,3567,3843,68.890,1.077,3.902e-16,ztt,1
4096,1,z:ilp,nat-oop,3572,3838,68.811,1.075,3.902e-16,ztt,0
4096,1,z:ilp,nat-oop,3552,3853,69.184,1.085,3.902e-16,ztt,1
