N,K,plan,path,vfft_ns,mkl_ns,vfft_gflops,ratio_vs_mkl,rt_err
8,4,8/DIT,baked,6,104,75.955,16.405,4.503e-15
16,4,16/DIT,baked,15,129,86.864,8.736,4.750e-15
32,4,32/DIT,baked,47,189,67.912,4.001,1.121e-14
64,4,64/DIT,baked,120,336,63.955,2.801,1.250e-14
126,4,3x6x7/DIF,JIT,384,973,45.796,2.533,9.984e-15
128,4,8x16/DIT,baked,246,654,72.740,2.653,1.091e-14
250,4,10x25/DIF,JIT,736,2101,54.135,2.856,2.565e-14
256,4,16x16/DIT,baked,556,1186,73.612,2.132,1.081e-14
400,4,25x16/DIT,JIT,1244,3918,55.590,3.149,2.020e-14
512,4,8x8x8/DIF,JIT,1373,3571,67.110,2.600,1.326e-14
1024,4,64x16/DIT,baked,4000,8645,51.195,2.161,1.610e-14
2048,4,4x64x8/DIF,JIT,8401,19310,53.630,2.299,1.911e-14
4096,4,4x4x8x32/DIF,JIT,20849,35650,47.150,1.710,1.593e-14
8192,4,4x4x64x8/DIF,JIT,46474,83590,45.831,1.799,2.097e-14
16384,4,8x8x16x16/DIT,JIT,91227,188143,50.287,2.062,2.088e-14
32768,4,4x4x4x4x4x32/DIF,JIT,339933,411520,28.919,1.211,1.277e-14
65536,4,4x4x4x4x4x4x16/DIT,JIT,718900,1012525,29.172,1.408,8.194e-15
131072,4,4x4x4x32x64/DIT,baked,1647938,2514312,27.043,1.526,2.515e-14
