N,K,plan,path,vfft_ns,mkl_ns,vfft_gflops,ratio_vs_mkl,rt_err
8,4,8/DIT,baked,6,97,75.718,15.329,4.503e-15
16,4,16/DIT,baked,14,121,93.817,8.848,4.750e-15
32,4,32/DIT,baked,44,180,72.423,4.065,1.121e-14
47,4,[override],blue-JIT,840,1540,6.216,1.833,2.070e-14
59,4,[override],blue-JIT,961,2494,7.225,2.596,1.709e-14
60,4,5x12/DIF,baked,139,550,51.151,3.968,1.430e-14
64,4,64/DIT,baked,117,318,65.749,2.725,1.250e-14
8,32,8/DIF,baked,33,443,116.867,13.474,6.101e-15
83,4,[override],blue-JIT,1507,5310,7.023,3.524,3.453e-14
95,4,5x19/DIF,baked,378,1295,32.990,3.422,1.750e-14
100,4,10x10/DIF,baked,239,809,55.658,3.387,2.254e-14
107,4,[override],blue-JIT,1870,2463,7.713,1.317,3.880e-14
119,4,7x17/DIF,baked,393,1549,41.789,3.945,1.042e-14
126,4,3x6x7/DIF,baked,587,973,29.971,1.659,1.000e-14
127,4,[override],rader-JIT,1593,2564,11.140,1.609,1.899e-14
128,4,8x16/DIT,baked,249,648,71.894,2.601,1.091e-14
16,32,16/DIF,baked,82,638,124.931,7.780,5.596e-15
167,4,[override],blue-JIT,3571,5343,6.906,1.496,3.634e-14
169,4,13x13/DIT,baked,584,1657,42.798,2.835,1.777e-14
175,4,25x7/DIT,baked,508,1567,51.366,3.086,2.173e-14
179,4,[override],blue-JIT,5286,5802,5.068,1.098,2.030e-14
200,4,8x25/DIF,baked,530,1465,57.667,2.763,2.066e-14
220,4,20x11/DIF,baked,718,1726,47.658,2.403,2.034e-14
243,4,3x3x3x3x3/DIF,baked,1289,2201,29.878,1.707,9.803e-15
250,4,10x25/DIF,baked,1061,2054,37.546,1.936,2.566e-14
251,4,[override],rader-JIT,3375,5846,11.858,1.732,5.032e-14
256,4,16x16/DIT,baked,479,1190,85.532,2.485,1.081e-14
32,32,8x4/DIT,baked,244,1158,105.127,4.755,5.817e-15
257,4,[override],rader-JIT,2659,8783,15.472,3.303,3.233e-14
