N,category,roundtrip_err
8,small,1.110e-16
16,small,1.110e-16
32,small,1.804e-16
64,small,1.735e-16
128,small,3.331e-16
256,pow2,3.886e-16
512,pow2,3.331e-16
1024,pow2,2.776e-16
2048,pow2,3.886e-16
4096,pow2,3.886e-16
8192,pow2,4.441e-16
16384,pow2,6.106e-16
32768,pow2,5.933e-16
65536,pow2,5.829e-16
131072,pow2,6.661e-16
60,composite,2.359e-16
100,composite,3.282e-16
200,composite,2.719e-16
500,composite,4.707e-16
1000,composite,5.371e-16
2000,composite,5.053e-16
5000,composite,6.047e-16
10000,composite,5.836e-16
20000,composite,5.993e-16
50000,composite,7.961e-16
100000,composite,8.250e-16
243,prime_pow,7.760e-16
625,prime_pow,4.701e-16
2401,prime_pow,4.624e-16
3125,prime_pow,5.312e-16
15625,prime_pow,6.695e-16
16807,prime_pow,6.359e-16
78125,prime_pow,7.259e-16
117649,prime_pow,8.840e-16
390625,prime_pow,7.886e-16
823543,prime_pow,8.676e-16
1331,genfft,4.548e-16
14641,genfft,7.257e-16
161051,genfft,8.805e-16
2197,genfft,5.565e-16
28561,genfft,8.792e-16
175,odd_comp,4.565e-16
525,odd_comp,4.317e-16
1225,odd_comp,4.367e-16
2205,odd_comp,5.821e-16
6615,odd_comp,6.734e-16
11025,odd_comp,6.267e-16
2310,mixed_deep,5.509e-16
6930,mixed_deep,7.140e-16
30030,mixed_deep,1.173e-15
60060,mixed_deep,9.338e-16
4620,mixed_deep,5.693e-16
13860,mixed_deep,6.060e-16
