N,K,category,factors,vfft_ns,mkl_ns,vfft_gflops,mkl_gflops,ratio_vs_mkl
8,4,small,8,10,90,46.575,5.348,8.709
8,32,small,8,41,345,93.093,11.131,8.364
8,256,small,8,298,2309,103.140,13.307,7.751
16,4,small,16,16,115,81.071,11.142,7.276
16,32,small,16,100,520,101.903,19.676,5.179
16,256,small,4x4,1027,4928,79.747,16.623,4.797
32,4,small,32,36,182,89.970,17.579,5.118
32,32,small,32,250,1039,102.516,24.649,4.159
32,256,small,4x8,2886,11088,70.962,18.471,3.842
64,4,small,64,93,304,82.424,25.304,3.257
64,32,small,64,663,2043,92.682,30.077,3.081
64,256,small,4x4x4,8460,22708,58.100,21.645,2.684
128,4,small,16x8,285,657,62.856,27.267,2.305
128,32,small,4x32,2053,5569,69.841,25.740,2.713
128,256,small,4x4x8,17495,52084,65.554,22.020,2.977
256,4,pow2,16x16,618,1196,66.263,34.256,1.934
256,32,pow2,4x8x8,4757,12090,68.890,27.103,2.542
256,256,pow2,4x4x4x4,45300,101530,57.868,25.819,2.241
512,4,pow2,16x32,1301,3386,70.814,27.219,2.602
512,32,pow2,4x4x32,13802,24675,53.420,29.879,1.788
512,256,pow2,4x4x4x8,99720,266555,59.148,22.128,2.673
1024,4,pow2,4x16x16,4369,7519,46.873,27.238,1.721
1024,32,pow2,4x4x8x8,25010,57997,65.510,28.250,2.319
1024,256,pow2,4x4x4x4x4,376725,667345,34.792,19.641,1.771
2048,4,pow2,4x16x32,9766,16775,46.136,26.858,1.718
2048,32,pow2,4x4x4x32,58850,130710,61.249,27.576,2.221
2048,256,pow2,4x4x4x4x8,786235,1639110,36.676,17.592,2.085
4096,4,pow2,4x4x4x64,23187,35481,42.396,27.706,1.530
4096,32,pow2,4x4x4x4x4x4,160200,354900,49.091,22.159,2.215
4096,256,pow2,2x4x2x4x4x4x4,2334640,3931275,26.948,16.004,1.684
8192,4,pow2,4x4x4x4x32,53315,73028,39.950,29.166,1.370
8192,32,pow2,4x4x4x4x4x2x4,573505,841365,29.711,20.252,1.467
8192,256,pow2,4x4x4x16x8,6075450,8854055,22.437,15.396,1.457
16384,4,pow2,4x4x4x4x64,132500,179420,34.623,25.569,1.354
16384,32,pow2,4x4x4x4x16x4,1042365,1761710,35.209,20.832,1.690
16384,256,pow2,16x4x16x16,15595550,23643705,18.826,12.418,1.516
32768,4,pow2,4x4x4x4x4x32,312925,368900,31.415,26.648,1.179
32768,32,pow2,4x4x4x4x4x4x4x2,2674465,4120990,29.405,19.084,1.541
32768,256,pow2,4x8x8x16x8,39109335,51887185,16.087,12.125,1.327
