N,K,plan,path,vfft_ns,mkl_ns,vfft_gflops,ratio_vs_mkl,rt_err
127,4,[override],rader-JIT,2981,4739,5.955,1.590,1.899e-14
251,4,[override],rader-JIT,6166,10113,6.490,1.640,5.032e-14
257,4,[override],rader-JIT,4785,16204,8.600,3.386,3.233e-14
401,4,[override],rader-JIT,9884,21238,7.017,2.149,3.328e-14
641,4,[override],rader-JIT,16863,49210,7.089,2.918,3.491e-14
1009,4,[override],rader-JIT,27834,48860,7.235,1.755,2.177e-14
2801,4,[override],rader-JIT,92286,241047,6.951,2.612,4.443e-14
4001,4,[override],rader-JIT,158130,222462,6.055,1.407,6.403e-14
127,4,[override],rader-JIT,3554,4720,4.995,1.328,1.899e-14
251,4,[override],rader-JIT,6160,10119,6.496,1.643,5.032e-14
257,4,[override],rader-JIT,4854,16194,8.478,3.336,3.233e-14
401,4,[override],rader-JIT,9333,21035,7.431,2.254,3.328e-14
641,4,[override],rader-JIT,17065,49287,7.005,2.888,3.491e-14
1009,4,[override],rader-JIT,27862,50075,7.227,1.797,2.177e-14
2801,4,[override],rader-JIT,94081,238553,6.819,2.536,4.443e-14
4001,4,[override],rader-JIT,144502,230546,6.626,1.595,6.403e-14
