N,K,plan,path,vfft_ns,mkl_ns,vfft_gflops,ratio_vs_mkl,rt_err
127,4,[override],rader-JIT,3032,4857,5.855,1.602,1.935e-14
251,4,[override],rader-JIT,5882,10100,6.804,1.717,5.301e-14
257,4,[override],rader-JIT,5757,16416,7.147,2.851,2.707e-14
401,4,[override],rader-JIT,10978,21207,6.317,1.932,3.328e-14
641,4,[override],rader-JIT,19097,48850,6.259,2.558,3.488e-14
1009,4,[override],rader-JIT,32178,49255,6.258,1.531,2.607e-14
2801,4,[override],rader-JIT,89557,240372,7.163,2.684,4.431e-14
4001,4,[override],rader-JIT,146065,221432,6.555,1.516,5.103e-14
127,4,[override],rader-JIT,3019,4768,5.880,1.579,1.935e-14
251,4,[override],rader-JIT,6464,10104,6.191,1.563,5.301e-14
257,4,[override],rader-JIT,6591,16163,6.243,2.452,2.707e-14
401,4,[override],rader-JIT,10333,21272,6.712,2.059,3.328e-14
641,4,[override],rader-JIT,20460,48782,5.842,2.384,3.488e-14
1009,4,[override],rader-JIT,31840,48714,6.325,1.530,2.607e-14
2801,4,[override],rader-JIT,92608,241900,6.927,2.612,4.431e-14
4001,4,[override],rader-JIT,140653,217344,6.808,1.545,5.103e-14
