N,K,plan,path,vfft_ns,mkl_ns,vfft_gflops,ratio_vs_mkl,rt_err
8,4,8/DIT,baked,7,101,73.074,15.351,4.503e-15
16,4,16/DIT,baked,14,142,91.443,10.159,4.750e-15
32,4,32/DIT,baked,44,212,72.795,4.822,1.121e-14
64,4,64/DIT,baked,101,336,76.038,3.325,1.250e-14
126,4,3x6x7/DIF,JIT,391,992,44.967,2.538,9.984e-15
128,4,8x16/DIT,baked,226,669,79.215,2.956,1.091e-14
250,4,10x25/DIF,JIT,799,2000,49.867,2.504,2.565e-14
256,4,16x16/DIT,baked,497,1198,82.478,2.413,1.081e-14
400,4,25x16/DIT,JIT,1129,3560,61.229,3.152,2.020e-14
512,4,8x8x8/DIF,JIT,1390,3731,66.294,2.684,1.326e-14
2048,4,4x64x8/DIF,JIT,8306,17001,54.247,2.047,1.911e-14
4096,4,4x4x8x32/DIF,JIT,23006,36276,42.730,1.577,1.593e-14
8192,4,4x4x64x8/DIF,JIT,44902,75407,47.435,1.679,2.097e-14
32768,4,4x4x4x4x4x32/DIF,JIT,356567,393313,27.570,1.103,1.277e-14
65536,4,4x4x4x4x4x4x16/DIT,JIT,660800,927537,31.737,1.404,8.194e-15
95,4,5x19/DIF,JIT,353,1338,35.377,3.792,1.750e-14
119,4,7x17/DIF,JIT,414,1698,39.682,4.107,1.042e-14
169,4,13x13/DIT,JIT,580,1708,43.152,2.946,1.771e-14
175,4,25x7/DIT,JIT,524,1537,49.755,2.933,2.180e-14
243,4,3x3x3x3x3/DIF,JIT,1301,2063,29.599,1.585,9.803e-15
361,4,19x19/DIF,JIT,2108,7801,29.099,3.701,1.006e-14
525,4,7x5x3x5/DIF,JIT,2478,5960,38.295,2.406,2.204e-14
625,4,25x25/DIF,JIT,2648,6590,43.842,2.488,2.945e-14
1225,4,25x7x7/DIT,JIT,6024,15103,41.726,2.507,2.640e-14
1331,4,11x11x11/DIT,JIT,6811,17415,40.563,2.557,1.492e-14
2197,4,13x13x13/DIT,JIT,12886,30666,37.855,2.380,2.499e-14
2205,4,7x3x7x5x3/DIF,JIT,13415,31676,36.510,2.361,1.968e-14
