@bluestein_version 1
# VectorFFT Bluestein wisdom -- 48 entries
# N K M B best_ns
47 4 96 4 804.53
47 32 96 16 5334.07
47 256 132 32 98770.02
59 4 128 4 2628.18
59 32 200 32 13530.61
59 256 128 16 60250.73
83 4 208 4 2338.52
83 32 192 8 11266.34
83 256 176 16 95022.17
107 4 224 4 2940.50
107 32 234 32 18342.33
107 256 224 8 125240.00
127 4 126 4 6661.19
127 32 126 32 37939.59
127 256 126 64 223889.23
167 4 384 4 9392.54
167 32 380 16 35011.79
167 256 336 16 278924.41
179 4 384 4 9419.50
179 32 384 8 69968.59
179 256 384 16 558480.23
251 4 250 4 10054.56
251 32 250 32 61632.43
251 256 250 16 528976.34
257 4 256 4 7927.79
257 32 256 16 46093.53
257 256 256 16 520192.41
263 4 625 4 17679.63
263 32 640 16 119262.90
263 256 1000 32 607240.67
311 4 640 4 6054.03
311 32 640 16 44942.16
311 256 640 8 391460.97
401 4 400 4 14479.59
401 32 400 16 73864.46
401 256 400 64 784763.16
641 4 640 4 24037.58
641 32 640 32 157259.38
641 256 640 32 1346011.73
1009 4 1008 4 46606.63
1009 32 1008 8 240734.50
1009 256 1008 32 2482429.49
2801 4 2800 4 142798.31
2801 32 2800 32 852816.60
2801 256 2800 32 8162895.83
4001 4 4000 4 194801.44
4001 32 4000 32 1386218.06
4001 256 4000 32 12352880.00
