N,K,method,nf,factors,codelets,variant_codes,best_ns,use_blocked,split_stage,block_groups,use_dif_forward,dit_ns,dif_ns,variants_searched,roundtrip_err
256,4,dp+measure,2,16x16,n1/t1s,0/2,606.56,0,0,0,0,-1.00,0.00,389,3.89e-16
512,4,dp+measure,2,16x32,n1/t1s,0/2,1348.16,0,0,0,0,-1.00,0.00,591,3.33e-16
1024,4,dp+measure,3,4x32x8,n1/t1s/log3,0/2/1,4451.64,0,0,0,0,-1.00,0.00,1035,5.00e-16
2048,4,dp+measure,3,4x16x32,n1/flat/flat,0/0/0,9527.05,0,0,0,1,-1.00,0.00,1310,3.89e-16
4096,4,dp+measure,4,4x4x4x64,n1/flat/flat/log3,0/0/0/1,22752.46,0,0,0,1,-1.00,0.00,1873,3.89e-16
8192,4,dp+measure,5,4x4x4x4x32,n1/flat/flat/flat/log3,0/0/0/0/1,51750.00,0,0,0,1,-1.00,0.00,2449,4.44e-16
16384,4,dp+measure,5,4x4x4x4x64,n1/t1s/t1s/t1s/log3,0/2/2/2/1,119150.00,0,0,0,0,-1.00,0.00,5099,6.11e-16
32768,4,dp+measure,6,2x4x4x4x4x64,n1/t1s/t1s/t1s/t1s/log3,0/2/2/2/2/1,340805.00,0,0,0,0,-1.00,0.00,6031,6.66e-16
65536,4,dp+measure,7,2x4x4x4x4x4x32,n1/t1s/t1s/t1s/t1s/t1s/t1s,0/2/2/2/2/2/2,734705.00,0,0,0,0,-1.00,0.00,19945,6.11e-16
131072,4,dp+measure,8,2x4x4x4x4x4x4x16,n1/t1s/t1s/t1s/t1s/t1s/t1s/t1s,0/2/2/2/2/2/2/2,1760935.00,0,0,0,0,-1.00,0.00,51150,7.22e-16
256,32,dp+measure,3,4x8x8,n1/t1s/t1s,0/2/2,4762.30,0,0,0,0,-1.00,0.00,517,3.89e-16
512,32,dp+measure,3,4x4x32,n1/flat/log3,0/0/1,12114.75,0,0,0,1,-1.00,0.00,847,3.89e-16
1024,32,dp+measure,4,4x4x8x8,n1/t1s/t1s/t1s,0/2/2/2,25996.67,0,0,0,0,-1.00,0.00,1331,5.00e-16
2048,32,dp+measure,4,4x4x4x32,n1/t1s/t1s/t1s,0/2/2/2,60870.00,0,0,0,0,-1.00,0.00,2046,5.00e-16
4096,32,dp+measure,6,4x4x4x4x4x4,n1/t1s/t1s/t1s/t1s/t1s,0/2/2/2/2/2,168325.00,0,0,0,0,-1.00,0.00,2515,5.00e-16
8192,32,dp+measure,7,4x4x4x4x4x2x4,n1/t1s/t1s/t1s/t1s/flat/t1s,0/2/2/2/2/0/2,561815.00,0,0,0,0,-1.00,0.00,5081,5.55e-16
16384,32,dp+measure,6,4x4x4x4x16x4,n1/t1s/t1s/t1s/t1s/t1s,0/2/2/2/2/2,1128280.00,0,0,0,0,-1.00,0.00,7727,6.11e-16
