N,chain,input,vfft_l2,vfft_linf,vfft_eps,mkl_l2,mkl_eps
64,[16x4],rand,2.002e-16,1.996e-16,1.803,1.492e-16,1.344
64,[16x4],1bin,2.895e-16,1.939e-16,2.608,1.304e-16,1.175
64,[16x4],alt ,6.144e-20,2.508e-20,0.001,6.144e-20,0.001
64,[8x8],rand,2.129e-16,1.887e-16,1.917,1.492e-16,1.344
64,[8x8],1bin,1.268e-16,6.721e-17,1.142,1.304e-16,1.175
64,[8x8],alt ,6.144e-20,2.508e-20,0.001,6.144e-20,0.001
64,[4x4x4],rand,2.033e-16,2.360e-16,1.831,1.492e-16,1.344
64,[4x4x4],1bin,1.962e-16,1.547e-16,1.767,1.304e-16,1.175
64,[4x4x4],alt ,6.144e-20,2.508e-20,0.001,6.144e-20,0.001
256,[16x16],rand,2.557e-16,3.248e-16,2.303,1.883e-16,1.696
256,[16x16],1bin,2.409e-16,1.147e-16,2.170,1.665e-16,1.500
256,[16x16],alt ,7.094e-20,2.508e-20,0.001,7.094e-20,0.001
256,[8x8x4],rand,2.363e-16,2.426e-16,2.128,1.883e-16,1.696
256,[8x8x4],1bin,2.549e-16,1.282e-16,2.296,1.665e-16,1.500
256,[8x8x4],alt ,7.094e-20,2.508e-20,0.001,7.094e-20,0.001
1024,[16x16x4],rand,3.048e-16,4.131e-16,2.745,2.251e-16,2.028
1024,[16x16x4],1bin,3.540e-16,2.271e-16,3.188,1.758e-16,1.583
1024,[16x16x4],alt ,7.932e-20,2.508e-20,0.001,7.932e-20,0.001
1024,[16x8x8],rand,2.881e-16,3.543e-16,2.595,2.251e-16,2.028
1024,[16x8x8],1bin,2.765e-16,1.579e-16,2.490,1.758e-16,1.583
1024,[16x8x8],alt ,7.932e-20,2.508e-20,0.001,7.932e-20,0.001
4096,[16^3],rand,3.578e-16,4.824e-16,3.223,2.357e-16,2.123
4096,[16^3],1bin,4.384e-16,3.066e-16,3.949,2.089e-16,1.881
4096,[16^3],alt ,8.689e-20,2.508e-20,0.001,8.689e-20,0.001
4096,[8^4],rand,3.424e-16,3.951e-16,3.084,2.357e-16,2.123
4096,[8^4],1bin,3.404e-16,2.189e-16,3.066,2.089e-16,1.881
4096,[8^4],alt ,8.689e-20,2.508e-20,0.001,8.689e-20,0.001
16384,[16^3x4],rand,4.104e-16,4.465e-16,3.697,2.562e-16,2.308
16384,[16^3x4],1bin,4.816e-16,3.538e-16,4.338,2.059e-16,1.854
16384,[16^3x4],alt ,9.385e-20,2.508e-20,0.001,9.385e-20,0.001
65536,[16^4],rand,4.595e-16,5.504e-16,4.139,2.621e-16,2.361
65536,[16^4],1bin,5.500e-16,4.072e-16,4.954,2.193e-16,1.975
65536,[16^4],alt ,1.003e-19,2.508e-20,0.001,1.003e-19,0.001
60,[4x3x5],rand,3.225e-16,3.363e-16,2.905,1.931e-16,1.739
60,[4x3x5],1bin,1.801e-16,9.878e-17,1.622,1.200e-16,1.081
60,[4x3x5],alt ,2.919e-16,2.240e-16,2.630,9.182e-17,0.827
360,[8x3x3x5],rand,3.501e-16,4.062e-16,3.154,2.271e-16,2.045
360,[8x3x3x5],1bin,2.909e-16,1.452e-16,2.620,1.419e-16,1.278
360,[8x3x3x5],alt ,3.688e-16,2.750e-16,3.322,1.008e-16,0.908
1000,[8x5^3],rand,2.936e-16,4.045e-16,2.644,2.677e-16,2.411
1000,[8x5^3],1bin,3.305e-16,2.190e-16,2.977,3.309e-16,2.981
1000,[8x5^3],alt ,2.017e-16,7.527e-17,1.817,1.188e-16,1.070
3600,[16x(15)^2],rand,4.670e-16,6.963e-16,4.207,2.756e-16,2.483
3600,[16x(15)^2],1bin,3.217e-16,1.373e-16,2.897,2.379e-16,2.143
3600,[16x(15)^2],alt ,4.655e-16,3.570e-16,4.193,1.605e-16,1.446
61,prime-61,rand,4.802e-16,4.738e-16,4.326,3.301e-16,2.974
61,prime-61,1bin,5.907e-16,2.631e-16,5.320,2.620e-16,2.360
61,prime-61,alt ,4.929e-16,2.975e-16,4.440,3.071e-16,2.766
257,prime-257,rand,5.833e-16,7.291e-16,5.254,3.945e-16,3.553
257,prime-257,1bin,5.688e-16,3.062e-16,5.124,4.235e-16,3.814
257,prime-257,alt ,5.992e-16,2.269e-16,5.397,3.873e-16,3.488
conv,64,,5.541e-16,,4.991,,
conv,360,,6.343e-16,,5.713,,
conv,1024,,6.240e-16,,5.620,,
conv,61,,1.096e-15,,9.868,,
conv,997,,1.533e-15,,13.807,,
