N,chain,input,vfft_l2,vfft_linf,vfft_eps,mkl_l2,mkl_eps
64,[16x4],rand,3.174e-15,3.809e-15,28.590,1.492e-16,1.344
64,[16x4],1bin,3.745e-15,2.744e-15,33.730,1.304e-16,1.175
64,[16x4],alt ,6.144e-20,2.508e-20,0.001,6.144e-20,0.001
64,[8x8],rand,3.145e-15,3.022e-15,28.326,1.492e-16,1.344
64,[8x8],1bin,4.341e-15,3.554e-15,39.097,1.304e-16,1.175
64,[8x8],alt ,6.144e-20,2.508e-20,0.001,6.144e-20,0.001
64,[4x4x4],rand,2.033e-16,2.360e-16,1.831,1.492e-16,1.344
64,[4x4x4],1bin,1.962e-16,1.547e-16,1.767,1.304e-16,1.175
64,[4x4x4],alt ,6.144e-20,2.508e-20,0.001,6.144e-20,0.001
256,[16x16],rand,4.710e-15,5.712e-15,42.422,1.883e-16,1.696
256,[16x16],1bin,5.165e-15,3.554e-15,46.523,1.665e-16,1.500
256,[16x16],alt ,7.094e-20,2.508e-20,0.001,7.094e-20,0.001
256,[8x8x4],rand,2.890e-15,4.299e-15,26.027,1.883e-16,1.696
256,[8x8x4],1bin,4.348e-15,3.554e-15,39.165,1.665e-16,1.500
256,[8x8x4],alt ,7.094e-20,2.508e-20,0.001,7.094e-20,0.001
1024,[16x16x4],rand,4.526e-15,5.678e-15,40.770,2.251e-16,2.028
1024,[16x16x4],1bin,5.162e-15,3.556e-15,46.495,1.758e-16,1.583
1024,[16x16x4],alt ,7.932e-20,2.508e-20,0.001,7.932e-20,0.001
1024,[16x8x8],rand,4.599e-15,6.395e-15,41.425,2.251e-16,2.028
1024,[16x8x8],1bin,5.142e-15,3.555e-15,46.315,1.758e-16,1.583
1024,[16x8x8],alt ,7.932e-20,2.508e-20,0.001,7.932e-20,0.001
4096,[16^3],rand,6.027e-15,6.548e-15,54.282,2.357e-16,2.123
4096,[16^3],1bin,6.747e-15,5.333e-15,60.772,2.089e-16,1.881
4096,[16^3],alt ,8.689e-20,2.508e-20,0.001,8.689e-20,0.001
4096,[8^4],rand,4.754e-15,6.350e-15,42.818,2.357e-16,2.123
4096,[8^4],1bin,6.148e-15,5.334e-15,55.372,2.089e-16,1.881
4096,[8^4],alt ,8.689e-20,2.508e-20,0.001,8.689e-20,0.001
16384,[16^3x4],rand,5.988e-15,5.838e-15,53.937,2.562e-16,2.308
16384,[16^3x4],1bin,6.745e-15,5.336e-15,60.757,2.059e-16,1.854
16384,[16^3x4],alt ,9.385e-20,2.508e-20,0.001,9.385e-20,0.001
65536,[16^4],rand,7.377e-15,7.978e-15,66.447,2.621e-16,2.361
65536,[16^4],1bin,8.406e-15,7.111e-15,75.718,2.193e-16,1.975
65536,[16^4],alt ,1.003e-19,2.508e-20,0.001,1.003e-19,0.001
60,[4x3x5],rand,4.962e-15,5.525e-15,44.697,1.931e-16,1.739
60,[4x3x5],1bin,5.308e-15,4.184e-15,47.812,1.200e-16,1.081
60,[4x3x5],alt ,5.310e-15,4.139e-15,47.825,9.182e-17,0.827
360,[8x3x3x5],rand,4.878e-15,5.553e-15,43.933,2.271e-16,2.045
360,[8x3x3x5],1bin,5.289e-15,4.183e-15,47.641,1.419e-16,1.278
360,[8x3x3x5],alt ,5.247e-15,4.122e-15,47.262,1.008e-16,0.908
1000,[8x5^3],rand,8.801e-15,9.843e-15,79.269,2.677e-16,2.411
1000,[8x5^3],1bin,9.716e-15,4.070e-15,87.517,3.309e-16,2.981
1000,[8x5^3],alt ,1.024e-14,5.344e-15,92.235,1.188e-16,1.070
3600,[16x(15)^2],rand,7.161e-15,9.038e-15,64.497,2.756e-16,2.483
3600,[16x(15)^2],1bin,5.427e-15,4.318e-15,48.883,2.379e-16,2.143
3600,[16x(15)^2],alt ,7.571e-15,4.106e-15,68.192,1.605e-16,1.446
61,prime-61,rand,1.125e-14,9.363e-15,101.352,3.301e-16,2.974
61,prime-61,1bin,1.223e-14,7.271e-15,110.121,2.620e-16,2.360
61,prime-61,alt ,1.482e-14,1.270e-14,133.494,3.071e-16,2.766
257,prime-257,rand,1.116e-14,1.258e-14,100.515,3.945e-16,3.553
257,prime-257,1bin,1.034e-14,6.671e-15,93.153,4.235e-16,3.814
257,prime-257,alt ,1.147e-14,8.204e-15,103.288,3.873e-16,3.488
conv,64,,1.162e-14,,104.657,,
conv,360,,1.331e-14,,119.921,,
conv,1024,,1.435e-14,,129.269,,
conv,61,,2.712e-14,,244.283,,
conv,997,,4.386e-14,,395.025,,
