N1,N2,plan,path,vfft_ns,mkl_ns,vfft_gflops,ratio_vs_mkl,rt_err,route,engaged,flip
2,2,z:il2d,nat-oop,11,13,3.744,1.177,1.390e-16,csk+rb,0,0
2,2,z:il2d,nat-oop,11,13,3.783,1.212,1.390e-16,csk+rb,0,1
2,4,z:il2d,nat-oop,12,169,9.782,13.740,1.663e-16,csk+rb,0,0
2,4,z:il2d,nat-oop,12,168,9.735,13.624,1.663e-16,csk+rb,0,1
4,2,z:il2d,nat-oop,12,166,10.037,13.904,8.909e-17,csk+rb,0,0
4,2,z:il2d,nat-oop,12,165,10.110,13.927,8.909e-17,csk+rb,0,1
2,8,z:il2d,nat-oop,16,178,20.064,11.168,1.913e-16,csk+rb,0,0
2,8,z:il2d,nat-oop,16,181,20.169,11.409,1.913e-16,csk+rb,0,1
4,4,z:il2d,nat-oop,15,18,21.590,1.236,1.990e-16,csk+rb,0,0
4,4,z:il2d,nat-oop,15,18,21.456,1.223,1.990e-16,csk+rb,0,1
8,2,z:il2d,nat-oop,16,179,20.265,11.363,1.200e-16,csk+rb,0,0
8,2,z:il2d,nat-oop,16,180,20.231,11.374,1.200e-16,csk+rb,0,1
2,16,z:il2d,nat-oop,26,215,30.654,8.221,1.991e-16,csk+rb2,0,0
2,16,z:il2d,nat-oop,26,218,30.465,8.317,1.991e-16,csk+rb2,0,1
4,8,z:il2d,nat-oop,21,185,38.841,9.002,1.683e-16,csk+rb,0,0
4,8,z:il2d,nat-oop,21,186,38.413,8.939,1.683e-16,csk+rb,0,1
8,4,z:il2d,nat-oop,21,189,37.767,8.919,1.597e-16,csk+rb,0,0
8,4,z:il2d,nat-oop,21,191,37.374,8.923,1.597e-16,csk+rb,0,1
16,2,z:il2d,nat-oop,24,207,34.010,8.789,2.208e-16,csk+rb,0,0
16,2,z:il2d,nat-oop,23,206,34.144,8.804,2.208e-16,csk+rb,0,1
2,32,z:il2d,nat-oop,41,315,46.353,7.615,2.012e-16,csk+rb2,0,0
2,32,z:il2d,nat-oop,41,323,47.163,7.933,2.012e-16,csk+rb2,0,1
4,16,z:il2d,nat-oop,39,218,49.185,5.578,2.804e-16,csk+rb2,0,0
