N1,N2,N3,plan,path,vfft_ns,mkl_ns,vfft_gflops,ratio_vs_mkl,rt_err,route,flip
64,64,64,z:il3d,nat-oop,578175,810000,40.806,1.401,4.609e-16,-,0
64,64,64,z:il3d,nat-oop,578075,804088,40.813,1.391,4.609e-16,-,1
64,64,64,z:il3d,nat-oop,583263,810225,40.450,1.389,4.609e-16,-,0
64,64,64,z:il3d,nat-oop,596075,796900,39.581,1.337,4.609e-16,-,1
64,64,64,z:il3d,nat-oop,583012,813075,40.467,1.395,4.609e-16,-,0
64,64,64,z:il3d,nat-oop,583263,793825,40.450,1.361,4.609e-16,-,1
64,64,64,z:il3d,nat-oop,595650,808187,39.609,1.357,4.609e-16,-,0
64,64,64,z:il3d,nat-oop,577962,815413,40.821,1.411,4.609e-16,-,1
64,64,64,z:il3d,nat-oop,583875,809763,40.408,1.387,4.609e-16,-,0
64,64,64,z:il3d,nat-oop,576863,796200,40.899,1.380,4.609e-16,-,1
64,64,64,z:il3d,nat-oop,581350,812175,40.583,1.397,4.609e-16,-,0
64,64,64,z:il3d,nat-oop,581325,794287,40.585,1.366,4.609e-16,-,1
64,64,64,z:il3d,nat-oop,587400,810775,40.165,1.380,4.609e-16,-,0
64,64,64,z:il3d,nat-oop,578912,795162,40.754,1.374,4.609e-16,-,1
64,64,64,z:il3d,nat-oop,585913,812450,40.267,1.387,4.609e-16,-,0
64,64,64,z:il3d,nat-oop,581100,795275,40.601,1.369,4.609e-16,-,1
64,64,64,z:il3d,nat-oop,586512,813800,40.226,1.388,4.609e-16,-,0
64,64,64,z:il3d,nat-oop,588375,799363,40.099,1.359,4.609e-16,-,1
64,64,64,z:il3d,nat-oop,579712,811525,40.698,1.400,4.609e-16,-,0
64,64,64,z:il3d,nat-oop,581125,798275,40.599,1.374,4.609e-16,-,1
64,64,64,z:il3d,nat-oop,585337,819275,40.307,1.400,4.609e-16,-,0
64,64,64,z:il3d,nat-oop,585863,795463,40.270,1.358,4.609e-16,-,1
64,64,64,z:il3d,nat-oop,588200,813962,40.110,1.384,4.609e-16,-,0
64,64,64,z:il3d,nat-oop,584812,821700,40.343,1.405,4.609e-16,-,1
64,64,64,z:il3d,nat-oop,613462,813338,38.459,1.326,4.609e-16,-,0
64,64,64,z:il3d,nat-oop,598462,796725,39.423,1.331,4.609e-16,-,1
64,64,64,z:il3d,nat-oop,585588,820150,40.289,1.401,4.609e-16,-,0
64,64,64,z:il3d,nat-oop,586800,798937,40.206,1.362,4.609e-16,-,1
