N1,N2,N3,plan,path,vfft_ns,mkl_ns,vfft_gflops,ratio_vs_mkl,rt_err,route,flip
2,2,2,z:il3d,nat-oop,38,25,3.117,0.659,5.640e-17,-,0
2,2,2,z:il3d,nat-oop,39,25,3.107,0.657,5.640e-17,-,1
2,2,4,z:il3d,nat-oop,42,483,7.579,11.450,6.522e-17,-,0
2,2,4,z:il3d,nat-oop,42,483,7.584,11.448,6.522e-17,-,1
2,2,8,z:il3d,nat-oop,55,538,14.521,9.774,1.848e-16,-,0
2,2,8,z:il3d,nat-oop,55,538,14.529,9.775,1.848e-16,-,1
2,2,16,z:il3d,nat-oop,77,701,25.007,9.126,2.119e-16,-,0
2,2,16,z:il3d,nat-oop,76,700,25.146,9.166,2.119e-16,-,1
2,2,32,z:il3d,nat-oop,115,1024,39.023,8.921,1.496e-16,-,0
2,2,32,z:il3d,nat-oop,115,1025,39.098,8.950,1.496e-16,-,1
2,2,64,z:il3d,nat-oop,196,1635,52.264,8.345,2.542e-16,-,0
2,2,64,z:il3d,nat-oop,197,1629,51.873,8.250,2.542e-16,-,1
2,2,128,z:il3d,nat-oop,375,2902,61.413,7.736,2.965e-16,-,0
2,2,128,z:il3d,nat-oop,374,2900,61.619,7.757,2.965e-16,-,1
2,2,256,z:il3d,nat-oop,789,5394,64.928,6.841,2.968e-16,-,0
2,2,256,z:il3d,nat-oop,776,5419,65.957,6.981,2.968e-16,-,1
2,2,512,z:il3d,nat-oop,2337,10470,48.199,4.480,4.059e-16,-,0
2,2,512,z:il3d,nat-oop,2361,10481,47.713,4.440,4.059e-16,-,1
2,2,1024,z:il3d,nat-oop,5188,21000,47.368,4.047,3.724e-16,-,0
2,2,1024,z:il3d,nat-oop,5190,20940,47.357,4.035,3.724e-16,-,1
2,2,2048,z:il3d,nat-oop,11630,42095,45.784,3.619,3.134e-16,-,0
2,2,2048,z:il3d,nat-oop,11611,42077,45.858,3.624,3.134e-16,-,1
2,2,4096,z:il3d,nat-oop,24319,84821,47.160,3.488,3.586e-16,-,0
2,2,4096,z:il3d,nat-oop,24325,84836,47.147,3.488,3.586e-16,-,1
2,2,8192,z:il3d,nat-oop,50720,172123,48.455,3.394,5.074e-16,-,0
2,2,8192,z:il3d,nat-oop,50620,172030,48.550,3.398,5.074e-16,-,1
2,4,2,z:il3d,nat-oop,42,473,7.624,11.262,9.497e-17,-,0
2,4,2,z:il3d,nat-oop,42,473,7.593,11.212,9.497e-17,-,1
2,4,4,z:il3d,nat-oop,51,530,15.773,10.452,1.780e-16,-,0
2,4,4,z:il3d,nat-oop,51,530,15.778,10.457,1.780e-16,-,1
2,4,8,z:il3d,nat-oop,66,653,29.132,9.909,2.751e-16,-,0
2,4,8,z:il3d,nat-oop,65,656,29.321,10.014,2.751e-16,-,1
2,4,16,z:il3d,nat-oop,108,866,41.494,8.025,2.411e-16,-,0
2,4,16,z:il3d,nat-oop,108,867,41.562,8.041,2.411e-16,-,1
2,4,32,z:il3d,nat-oop,213,1363,48.103,6.404,1.645e-16,-,0
2,4,32,z:il3d,nat-oop,213,1360,48.188,6.398,1.645e-16,-,1
2,4,64,z:il3d,nat-oop,360,2283,64.077,6.349,2.993e-16,-,0
2,4,64,z:il3d,nat-oop,362,2284,63.636,6.308,2.993e-16,-,1
2,4,128,z:il3d,nat-oop,821,4260,62.381,5.191,2.735e-16,-,0
2,4,128,z:il3d,nat-oop,831,4266,61.612,5.134,2.735e-16,-,1
2,4,256,z:il3d,nat-oop,2122,8206,53.074,3.867,2.904e-16,-,0
2,4,256,z:il3d,nat-oop,2138,8204,52.684,3.837,2.904e-16,-,1
2,4,512,z:il3d,nat-oop,4800,16192,51.200,3.373,2.992e-16,-,0
2,4,512,z:il3d,nat-oop,4909,16242,50.063,3.309,2.992e-16,-,1
2,4,1024,z:il3d,nat-oop,10472,32533,50.849,3.107,4.078e-16,-,0
2,4,1024,z:il3d,nat-oop,10440,32493,51.003,3.112,4.078e-16,-,1
2,4,2048,z:il3d,nat-oop,23325,65883,49.170,2.825,3.794e-16,-,0
2,4,2048,z:il3d,nat-oop,23383,65962,49.048,2.821,3.794e-16,-,1
2,4,4096,z:il3d,nat-oop,48895,133302,50.263,2.726,3.398e-16,-,0
2,4,4096,z:il3d,nat-oop,48666,133387,50.500,2.741,3.398e-16,-,1
2,4,8192,z:il3d,nat-oop,103273,276463,50.767,2.677,4.086e-16,-,0
2,4,8192,z:il3d,nat-oop,104187,276913,50.322,2.658,4.086e-16,-,1
2,8,2,z:il3d,nat-oop,54,540,14.922,10.073,2.564e-16,-,0
2,8,2,z:il3d,nat-oop,54,539,14.890,10.036,2.564e-16,-,1
2,8,4,z:il3d,nat-oop,66,646,29.039,9.769,1.508e-16,-,0
2,8,4,z:il3d,nat-oop,66,647,29.135,9.812,1.508e-16,-,1
2,8,8,z:il3d,nat-oop,99,817,45.317,8.261,1.916e-16,-,0
2,8,8,z:il3d,nat-oop,98,817,45.684,8.332,1.916e-16,-,1
2,8,16,z:il3d,nat-oop,178,1208,57.536,6.787,2.677e-16,-,0
2,8,16,z:il3d,nat-oop,178,1209,57.536,6.793,2.677e-16,-,1
2,8,32,z:il3d,nat-oop,360,2088,63.972,5.798,2.483e-16,-,0
2,8,32,z:il3d,nat-oop,361,2084,63.890,5.780,2.483e-16,-,1
2,8,64,z:il3d,nat-oop,861,3728,59.484,4.331,2.763e-16,-,0
2,8,64,z:il3d,nat-oop,859,3738,59.597,4.351,2.763e-16,-,1
2,8,128,z:il3d,nat-oop,2127,7380,52.961,3.470,2.711e-16,-,0
2,8,128,z:il3d,nat-oop,2132,10240,52.829,4.802,2.711e-16,-,1
2,8,256,z:il3d,nat-oop,4570,14646,53.776,3.205,4.319e-16,-,0
2,8,256,z:il3d,nat-oop,4565,14644,53.841,3.208,4.319e-16,-,1
2,8,512,z:il3d,nat-oop,10043,29157,53.018,2.903,4.031e-16,-,0
2,8,512,z:il3d,nat-oop,9912,29117,53.719,2.937,4.031e-16,-,1
2,8,1024,z:il3d,nat-oop,21214,58553,54.063,2.760,4.082e-16,-,0
2,8,1024,z:il3d,nat-oop,21122,58570,54.298,2.773,4.082e-16,-,1
2,8,2048,z:il3d,nat-oop,46974,119085,52.319,2.535,3.804e-16,-,0
2,8,2048,z:il3d,nat-oop,46654,119082,52.677,2.552,3.804e-16,-,1
2,8,4096,z:il3d,nat-oop,98617,246980,53.164,2.504,4.089e-16,-,0
2,8,4096,z:il3d,nat-oop,98987,246860,52.966,2.494,4.089e-16,-,1
2,8,8192,z:il3d,nat-oop,229420,530313,48.562,2.312,6.040e-16,-,0
