N1,N2,N3,plan,path,vfft_ns,mkl_ns,vfft_gflops,ratio_vs_mkl,rt_err,route,engaged,flip
64,64,64,z:il3d,nat-oop,94325,114262,250.124,1.211,4.609e-16,-,205,0
64,64,64,z:il3d,nat-oop,91325,114950,258.341,1.259,4.609e-16,-,107,1
64,64,64,z:il3d,nat-oop,90250,117975,261.418,1.307,4.609e-16,-,205,0
64,64,64,z:il3d,nat-oop,97862,116987,241.083,1.195,4.609e-16,-,82,1
64,64,64,z:il3d,nat-oop,95037,117075,248.249,1.232,4.609e-16,-,154,0
64,64,64,z:il3d,nat-oop,97312,115188,242.445,1.184,4.609e-16,-,83,1
64,64,64,z:il3d,nat-oop,94262,117113,250.290,1.242,4.609e-16,-,132,0
64,64,64,z:il3d,nat-oop,96350,116012,244.867,1.204,4.609e-16,-,126,1
64,64,64,z:il3d,nat-oop,96237,116463,245.154,1.210,4.609e-16,-,128,0
64,64,64,z:il3d,nat-oop,93625,116575,251.994,1.245,4.609e-16,-,82,1
64,64,64,z:il3d,nat-oop,89737,116075,262.911,1.293,4.609e-16,-,141,0
64,64,64,z:il3d,nat-oop,91850,116512,256.864,1.269,4.609e-16,-,102,1
64,64,64,z:il3d,nat-oop,100512,117012,234.727,1.164,4.609e-16,-,110,0
64,64,64,z:il3d,nat-oop,90587,116675,260.444,1.288,4.609e-16,-,154,1
