N1,N2,N3,plan,path,vfft_ns,mkl_ns,vfft_gflops,ratio_vs_mkl,rt_err,route,engaged,flip
2,2,2,z:il3d,nat-oop,38,25,3.121,0.652,5.640e-17,-,0,0
2,2,2,z:il3d,nat-oop,38,25,3.132,0.651,5.640e-17,-,0,1
2,2,4,z:il3d,nat-oop,42,1114,7.647,26.614,6.522e-17,-,0,0
2,2,4,z:il3d,nat-oop,42,1025,7.667,24.569,6.522e-17,-,0,1
2,2,8,z:il3d,nat-oop,53,1146,14.995,21.489,1.848e-16,-,0,0
2,2,8,z:il3d,nat-oop,54,1059,14.886,19.711,1.848e-16,-,0,1
2,2,16,z:il3d,nat-oop,76,1311,25.309,17.284,2.119e-16,-,0,0
2,2,16,z:il3d,nat-oop,77,1274,25.018,16.596,2.119e-16,-,0,1
2,2,32,z:il3d,nat-oop,115,1512,39.096,13.197,1.496e-16,-,0,0
2,2,32,z:il3d,nat-oop,114,1412,39.433,12.427,1.496e-16,-,0,1
2,2,64,z:il3d,nat-oop,194,1938,52.794,9.992,2.542e-16,-,0,0
2,2,64,z:il3d,nat-oop,195,1784,52.537,9.155,2.542e-16,-,0,1
2,2,128,z:il3d,nat-oop,373,2654,61.806,7.120,2.965e-16,-,0,0
2,2,128,z:il3d,nat-oop,373,2550,61.704,6.830,2.965e-16,-,0,1
2,2,256,z:il3d,nat-oop,803,4514,63.726,5.618,2.968e-16,-,0,0
2,2,256,z:il3d,nat-oop,784,4161,65.301,5.308,2.968e-16,-,0,1
2,2,512,z:il3d,nat-oop,2879,8151,39.119,2.831,4.059e-16,-,0,0
2,2,512,z:il3d,nat-oop,2807,6841,40.127,2.437,4.059e-16,-,0,1
2,2,1024,z:il3d,nat-oop,5153,14384,47.688,2.791,3.724e-16,-,0,0
2,2,1024,z:il3d,nat-oop,6186,12470,39.729,2.016,3.724e-16,-,0,1
2,2,2048,z:il3d,nat-oop,12757,27636,41.739,2.166,3.134e-16,-,2900,0
2,2,2048,z:il3d,nat-oop,12682,24290,41.987,1.915,3.134e-16,-,2788,1
2,2,4096,z:il3d,nat-oop,28597,54113,40.105,1.892,3.586e-16,-,0,0
2,2,4096,z:il3d,nat-oop,28640,47715,40.044,1.666,3.586e-16,-,0,1
2,2,8192,z:il3d,nat-oop,42726,88967,57.520,2.082,5.074e-16,-,807,0
2,2,8192,z:il3d,nat-oop,43915,88957,55.963,2.026,5.074e-16,-,635,1
2,4,2,z:il3d,nat-oop,42,2479,7.661,59.342,9.497e-17,-,0,0
2,4,2,z:il3d,nat-oop,42,2288,7.671,54.847,9.497e-17,-,0,1
2,4,4,z:il3d,nat-oop,50,2557,16.072,51.360,1.780e-16,-,0,0
2,4,4,z:il3d,nat-oop,50,2423,16.077,48.701,1.780e-16,-,0,1
2,4,8,z:il3d,nat-oop,65,2591,29.708,40.083,2.751e-16,-,0,0
2,4,8,z:il3d,nat-oop,66,2422,29.272,36.933,2.751e-16,-,0,1
2,4,16,z:il3d,nat-oop,107,2725,41.925,25.506,2.411e-16,-,0,0
2,4,16,z:il3d,nat-oop,108,2959,41.591,27.467,2.411e-16,-,0,1
2,4,32,z:il3d,nat-oop,183,2844,55.894,15.526,1.645e-16,-,0,0
2,4,32,z:il3d,nat-oop,185,2856,55.501,15.478,1.645e-16,-,0,1
2,4,64,z:il3d,nat-oop,358,3678,64.375,10.276,2.993e-16,-,0,0
2,4,64,z:il3d,nat-oop,358,3452,64.431,9.653,2.993e-16,-,0,1
2,4,128,z:il3d,nat-oop,754,4872,67.902,6.461,2.735e-16,-,0,0
