N1,N2,N3,plan,path,vfft_ns,mkl_ns,vfft_gflops,ratio_vs_mkl,rt_err,route,engaged,flip
2,128,4096,z:il3d,nat-oop,1942750,1783225,53.974,0.918,3.183e-15,-,82,0
2,128,4096,z:il3d,nat-oop,1779625,1687487,58.921,0.948,3.183e-15,-,84,1
2,128,8192,z:il3d,nat-oop,5033675,4064950,43.746,0.808,5.298e-15,-,82,0
2,128,8192,z:il3d,nat-oop,4957925,4001887,44.414,0.807,5.298e-15,-,82,1
2,256,4096,z:il3d,nat-oop,4932675,3999750,44.641,0.811,5.582e-15,-,82,0
2,256,4096,z:il3d,nat-oop,4871800,4032875,45.199,0.828,5.582e-15,-,83,1
2,256,8192,z:il3d,nat-oop,11222712,9792425,41.111,0.873,6.796e-15,-,82,0
2,256,8192,z:il3d,nat-oop,11254763,9548150,40.994,0.848,6.796e-15,-,82,1
2,512,2048,z:il3d,nat-oop,4791837,4204388,45.953,0.877,5.208e-15,-,82,0
2,512,2048,z:il3d,nat-oop,4599250,4486812,47.878,0.976,5.208e-15,-,82,1
2,512,4096,z:il3d,nat-oop,11339163,9980312,40.688,0.880,6.149e-15,-,82,0
2,512,4096,z:il3d,nat-oop,11403225,9999137,40.460,0.877,6.149e-15,-,82,1
2,1024,2048,z:il3d,nat-oop,12028562,10500663,38.356,0.873,6.110e-15,-,82,0
2,1024,2048,z:il3d,nat-oop,11709775,10544413,39.401,0.900,6.110e-15,-,82,1
2,2048,512,z:il3d,nat-oop,5707900,4928487,38.578,0.863,5.278e-15,-,82,0
2,2048,512,z:il3d,nat-oop,5291925,4878275,41.611,0.922,5.278e-15,-,83,1
2,4096,256,z:il3d,nat-oop,5627975,4961300,39.126,0.882,5.619e-15,-,83,0
2,4096,256,z:il3d,nat-oop,5567950,5001913,39.548,0.898,5.619e-15,-,82,1
2,8192,64,z:il3d,nat-oop,2488938,2303212,42.129,0.925,2.996e-15,-,83,0
2,8192,64,z:il3d,nat-oop,2470288,2345887,42.448,0.950,2.996e-15,-,84,1
2,8192,128,z:il3d,nat-oop,6079538,5488025,36.220,0.903,5.129e-15,-,82,0
2,8192,128,z:il3d,nat-oop,6124600,5555913,35.954,0.907,5.129e-15,-,82,1
4,32,8192,z:il3d,nat-oop,843387,802937,124.329,0.952,2.551e-15,-,85,0
4,32,8192,z:il3d,nat-oop,809775,787437,129.490,0.972,2.551e-15,-,88,1
4,64,8192,z:il3d,nat-oop,3344788,2055137,65.834,0.614,2.908e-15,-,85,0
4,64,8192,z:il3d,nat-oop,3347113,2150700,65.788,0.643,2.908e-15,-,83,1
4,128,2048,z:il3d,nat-oop,988488,839725,106.079,0.850,2.423e-15,-,91,0
4,128,2048,z:il3d,nat-oop,975612,842038,107.479,0.863,2.423e-15,-,89,1
4,128,4096,z:il3d,nat-oop,3671950,2028688,59.968,0.552,2.583e-15,-,83,0
4,128,4096,z:il3d,nat-oop,3714213,2124162,59.286,0.572,2.583e-15,-,83,1
4,128,8192,z:il3d,nat-oop,9316975,5652888,49.520,0.607,7.487e-15,-,82,0
4,128,8192,z:il3d,nat-oop,9264925,5661612,49.798,0.611,7.487e-15,-,82,1
4,256,2048,z:il3d,nat-oop,3546800,2212250,62.084,0.624,2.452e-15,-,83,0
4,256,2048,z:il3d,nat-oop,3554588,2060350,61.948,0.580,2.452e-15,-,82,1
4,256,4096,z:il3d,nat-oop,9283762,5726325,49.697,0.617,7.435e-15,-,82,0
4,256,4096,z:il3d,nat-oop,9266050,6865400,49.792,0.741,7.435e-15,-,82,1
4,512,512,z:il3d,nat-oop,1003412,944650,104.501,0.941,2.392e-15,-,85,0
4,512,512,z:il3d,nat-oop,971838,931863,107.896,0.959,2.392e-15,-,83,1
4,512,1024,z:il3d,nat-oop,3368187,2217500,65.377,0.658,2.693e-15,-,83,0
4,512,1024,z:il3d,nat-oop,3342925,2258937,65.871,0.676,2.693e-15,-,83,1
4,512,2048,z:il3d,nat-oop,9332188,6202313,49.439,0.665,6.621e-15,-,82,0
