N1,N2,N3,plan,path,vfft_ns,mkl_ns,vfft_gflops,ratio_vs_mkl,rt_err,route,engaged,flip
2,2,2,z:il3d,nat-oop,38,25,3.131,0.658,5.640e-17,-,0,0
2,2,2,z:il3d,nat-oop,38,25,3.148,0.660,5.640e-17,-,0,1
2,16,2048,z:il3d,nat-oop,78543,95607,66.751,1.217,4.114e-16,-,364,0
2,16,2048,z:il3d,nat-oop,100623,95233,52.104,0.946,4.114e-16,-,344,1
2,32,512,z:il3d,nat-oop,45131,51285,54.455,1.136,3.581e-16,-,879,0
2,32,512,z:il3d,nat-oop,45439,49731,54.085,1.094,3.581e-16,-,631,1
2,64,512,z:il3d,nat-oop,76380,95713,68.642,1.253,4.426e-16,-,357,0
2,64,512,z:il3d,nat-oop,100760,94390,52.033,0.937,4.426e-16,-,302,1
2,128,4096,z:il3d,nat-oop,1699825,1634838,61.687,0.962,3.183e-15,-,88,0
2,128,4096,z:il3d,nat-oop,1666800,1625988,62.910,0.976,3.183e-15,-,84,1
2,128,8192,z:il3d,nat-oop,5387625,3825575,40.872,0.710,5.298e-15,-,82,0
2,128,8192,z:il3d,nat-oop,5452763,3900087,40.383,0.715,5.298e-15,-,82,1
2,256,128,z:il3d,nat-oop,91063,104203,57.574,1.144,4.659e-16,-,356,0
2,256,128,z:il3d,nat-oop,91720,95427,57.162,1.040,4.659e-16,-,398,1
2,256,2048,z:il3d,nat-oop,1728637,1653462,60.659,0.957,3.586e-15,-,88,0
2,256,2048,z:il3d,nat-oop,1716638,1762513,61.083,1.027,3.586e-15,-,84,1
2,256,4096,z:il3d,nat-oop,5264138,4009913,41.830,0.762,5.582e-15,-,82,0
2,256,4096,z:il3d,nat-oop,5393725,3908900,40.825,0.725,5.582e-15,-,82,1
2,256,8192,z:il3d,nat-oop,11472337,9371250,40.216,0.817,6.796e-15,-,82,0
2,256,8192,z:il3d,nat-oop,11320138,9431800,40.757,0.833,6.796e-15,-,82,1
2,512,2048,z:il3d,nat-oop,5192475,4283212,42.408,0.825,5.208e-15,-,82,0
2,512,2048,z:il3d,nat-oop,5197388,4133912,42.368,0.795,5.208e-15,-,82,1
2,512,4096,z:il3d,nat-oop,12632525,9806263,36.523,0.776,6.149e-15,-,82,0
2,512,4096,z:il3d,nat-oop,12658613,9813063,36.447,0.775,6.149e-15,-,82,1
2,1024,32,z:il3d,nat-oop,102773,101607,51.014,0.989,3.868e-16,-,342,0
2,1024,32,z:il3d,nat-oop,119180,103403,43.991,0.868,3.868e-16,-,306,1
2,1024,2048,z:il3d,nat-oop,14180712,10400400,32.535,0.733,6.110e-15,-,82,0
2,1024,2048,z:il3d,nat-oop,14222562,10340363,32.440,0.727,6.110e-15,-,82,1
2,2048,128,z:il3d,nat-oop,888088,1001075,56.084,1.127,2.374e-15,-,88,0
