N1,N2,N3,plan,path,vfft_ns,mkl_ns,vfft_gflops,ratio_vs_mkl,rt_err,route,engaged,flip
2,2,2,z:il3d,nat-oop,38,25,3.147,0.662,5.640e-17,-,0,0
2,2,2,z:il3d,nat-oop,38,24,3.139,0.640,5.640e-17,-,0,1
2,16,2048,z:il3d,nat-oop,99840,96227,52.513,0.964,4.114e-16,-,393,0
2,16,2048,z:il3d,nat-oop,99913,98323,52.474,0.984,4.114e-16,-,347,1
2,32,512,z:il3d,nat-oop,51564,53195,47.661,1.032,4.775e-16,-,819,0
2,32,512,z:il3d,nat-oop,50156,50695,48.999,1.011,4.775e-16,-,612,1
2,64,512,z:il3d,nat-oop,75510,95777,69.433,1.268,5.311e-16,-,354,0
2,64,512,z:il3d,nat-oop,96623,98833,54.261,1.023,5.311e-16,-,405,1
2,128,4096,z:il3d,nat-oop,1688987,1702338,62.083,1.008,3.183e-15,-,84,0
2,128,4096,z:il3d,nat-oop,1735238,1693925,60.428,0.976,3.183e-15,-,82,1
2,128,8192,z:il3d,nat-oop,5415963,3861800,40.658,0.713,5.298e-15,-,83,0
2,128,8192,z:il3d,nat-oop,5521188,3889875,39.883,0.705,5.298e-15,-,82,1
2,256,128,z:il3d,nat-oop,72040,102453,72.777,1.422,4.659e-16,-,370,0
2,256,128,z:il3d,nat-oop,92747,93493,56.529,1.008,4.659e-16,-,325,1
2,256,2048,z:il3d,nat-oop,1783813,1684525,58.783,0.944,3.586e-15,-,84,0
2,256,2048,z:il3d,nat-oop,1726575,1695687,60.732,0.982,3.586e-15,-,82,1
2,256,4096,z:il3d,nat-oop,5425062,4046550,40.590,0.746,5.582e-15,-,83,0
2,256,4096,z:il3d,nat-oop,5301725,3967675,41.534,0.748,5.582e-15,-,82,1
2,256,8192,z:il3d,nat-oop,12812350,9833750,36.010,0.768,6.796e-15,-,82,0
2,256,8192,z:il3d,nat-oop,12735525,9455925,36.227,0.742,6.796e-15,-,82,1
2,512,2048,z:il3d,nat-oop,5214725,4192812,42.227,0.804,5.208e-15,-,83,0
2,512,2048,z:il3d,nat-oop,5216925,4135087,42.209,0.793,5.208e-15,-,83,1
2,512,4096,z:il3d,nat-oop,10907063,9804838,42.300,0.899,6.149e-15,-,82,0
2,512,4096,z:il3d,nat-oop,10908175,9772825,42.296,0.896,6.149e-15,-,82,1
2,1024,32,z:il3d,nat-oop,113317,101687,46.268,0.897,3.868e-16,-,381,0
2,1024,32,z:il3d,nat-oop,92987,100790,56.383,1.084,3.868e-16,-,362,1
2,1024,2048,z:il3d,nat-oop,14085887,11732475,32.754,0.833,6.110e-15,-,82,0
2,1024,2048,z:il3d,nat-oop,14332012,10458100,32.192,0.730,6.110e-15,-,82,1
2,2048,128,z:il3d,nat-oop,918988,1004425,54.198,1.093,2.374e-15,-,92,0
2,2048,128,z:il3d,nat-oop,921750,995113,54.036,1.080,2.374e-15,-,93,1
2,2048,512,z:il3d,nat-oop,5389587,4854512,40.857,0.901,5.278e-15,-,82,0
2,2048,512,z:il3d,nat-oop,4936313,4812025,44.608,0.975,5.278e-15,-,83,1
