N1,N2,N3,plan,path,vfft_ns,mkl_ns,vfft_gflops,ratio_vs_mkl,rt_err,route,engaged,flip
2,2,2,z:il3d,nat-oop,38,25,3.140,0.653,5.640e-17,-,0,0
2,2,2,z:il3d,nat-oop,38,25,3.146,0.653,5.640e-17,-,0,1
2,128,8192,z:il3d,nat-oop,4795887,3846262,45.915,0.802,5.298e-15,-,82,0
2,128,8192,z:il3d,nat-oop,4830450,3880662,45.586,0.803,5.298e-15,-,82,1
2,256,4096,z:il3d,nat-oop,4681988,3863187,47.032,0.825,5.582e-15,-,82,0
2,256,4096,z:il3d,nat-oop,4624100,3937837,47.620,0.852,5.582e-15,-,82,1
2,512,4096,z:il3d,nat-oop,11084200,9856663,41.624,0.889,6.149e-15,-,82,0
2,512,4096,z:il3d,nat-oop,11022888,10009087,41.856,0.908,6.149e-15,-,82,1
2,1024,2048,z:il3d,nat-oop,11403087,11964663,40.460,1.049,6.110e-15,-,82,0
2,1024,2048,z:il3d,nat-oop,11437025,10356125,40.340,0.905,6.110e-15,-,82,1
2,8192,128,z:il3d,nat-oop,5296562,5564887,41.574,1.051,5.129e-15,-,82,0
2,8192,128,z:il3d,nat-oop,5474025,5496638,40.227,1.004,5.129e-15,-,82,1
2,8192,256,z:il3d,nat-oop,12145613,12447687,37.987,1.025,6.542e-15,-,82,0
2,8192,256,z:il3d,nat-oop,12213613,12409563,37.775,1.016,6.542e-15,-,82,1
4,64,8192,z:il3d,nat-oop,3141450,1873750,70.095,0.596,2.908e-15,-,83,0
4,64,8192,z:il3d,nat-oop,3264550,1898338,67.452,0.582,2.908e-15,-,83,1
4,128,4096,z:il3d,nat-oop,3499875,1971300,62.917,0.563,2.583e-15,-,83,0
4,128,4096,z:il3d,nat-oop,3502000,1929100,62.879,0.551,2.583e-15,-,82,1
4,128,8192,z:il3d,nat-oop,8979975,5439250,51.378,0.606,7.487e-15,-,82,0
4,128,8192,z:il3d,nat-oop,8959025,6040425,51.498,0.674,7.487e-15,-,82,1
