N1,N2,N3,plan,path,vfft_ns,mkl_ns,vfft_gflops,ratio_vs_mkl,rt_err,route,engaged,flip
64,64,64,z:il3d,nat-oop,78475,115200,300.643,1.468,4.609e-16,-,142,0
64,64,64,z:il3d,nat-oop,80300,115412,293.810,1.437,4.609e-16,-,135,1
64,64,64,z:il3d,nat-oop,77688,115663,303.691,1.489,4.609e-16,-,139,0
64,64,64,z:il3d,nat-oop,78962,116100,298.787,1.470,4.609e-16,-,93,1
64,64,64,z:il3d,nat-oop,78675,116588,299.879,1.482,4.609e-16,-,138,0
64,64,64,z:il3d,nat-oop,80950,114837,291.451,1.419,4.609e-16,-,256,1
64,64,64,z:il3d,nat-oop,77325,116475,305.114,1.506,4.609e-16,-,261,0
64,64,64,z:il3d,nat-oop,76950,113137,306.601,1.470,4.609e-16,-,114,1
64,64,64,z:il3d,nat-oop,82038,117937,287.587,1.438,4.609e-16,-,149,0
64,64,64,z:il3d,nat-oop,82000,116663,287.719,1.423,4.609e-16,-,96,1
64,64,64,z:il3d,nat-oop,79125,115463,298.173,1.459,4.609e-16,-,137,0
64,64,64,z:il3d,nat-oop,83088,114863,283.953,1.382,4.609e-16,-,84,1
64,64,64,z:il3d,nat-oop,79075,123488,298.362,1.562,4.609e-16,-,129,0
64,64,64,z:il3d,nat-oop,85888,115975,274.696,1.350,4.609e-16,-,124,1
