N1,N2,N3,plan,path,vfft_ns,mkl_ns,vfft_gflops,ratio_vs_mkl,rt_err,route,engaged,flip
2,2,2,z:il3d,nat-oop,38,25,3.145,0.659,5.640e-17,-,0,0
2,2,2,z:il3d,nat-oop,38,25,3.142,0.650,5.640e-17,-,0,1
2,16,2048,z:il3d,nat-oop,80033,97530,65.509,1.219,4.114e-16,-,432,0
2,16,2048,z:il3d,nat-oop,79947,95627,65.580,1.196,4.114e-16,-,309,1
2,32,512,z:il3d,nat-oop,46243,47789,53.146,1.033,3.581e-16,-,870,0
2,32,512,z:il3d,nat-oop,46239,51448,53.150,1.113,3.581e-16,-,896,1
2,64,512,z:il3d,nat-oop,100603,96747,52.114,0.962,4.426e-16,-,390,0
2,64,512,z:il3d,nat-oop,100870,88933,51.977,0.882,4.426e-16,-,430,1
2,128,4096,z:il3d,nat-oop,1675950,1650787,62.566,0.985,3.183e-15,-,84,0
2,128,4096,z:il3d,nat-oop,1710975,1658450,61.285,0.969,3.183e-15,-,85,1
2,128,8192,z:il3d,nat-oop,4742925,3911588,46.427,0.825,5.298e-15,-,82,0
2,128,8192,z:il3d,nat-oop,4945087,3900262,44.529,0.789,5.298e-15,-,82,1
2,256,128,z:il3d,nat-oop,90250,100367,58.093,1.112,4.659e-16,-,360,0
2,256,128,z:il3d,nat-oop,92857,99230,56.462,1.069,4.659e-16,-,302,1
2,256,2048,z:il3d,nat-oop,1651475,1768012,63.493,1.071,3.586e-15,-,86,0
2,256,2048,z:il3d,nat-oop,1650050,1790175,63.548,1.085,3.586e-15,-,84,1
2,256,4096,z:il3d,nat-oop,4586688,4035975,48.009,0.880,5.582e-15,-,82,0
2,256,4096,z:il3d,nat-oop,4525325,3985175,48.660,0.881,5.582e-15,-,82,1
2,256,8192,z:il3d,nat-oop,11167438,9594925,41.314,0.859,6.796e-15,-,82,0
2,256,8192,z:il3d,nat-oop,11173187,9736113,41.293,0.871,6.796e-15,-,82,1
2,512,2048,z:il3d,nat-oop,4682588,4092700,47.025,0.874,5.208e-15,-,83,0
2,512,2048,z:il3d,nat-oop,4591500,4131725,47.958,0.900,5.208e-15,-,82,1
2,512,4096,z:il3d,nat-oop,11167075,9922375,41.316,0.889,6.149e-15,-,82,0
2,512,4096,z:il3d,nat-oop,11116950,9847725,41.502,0.886,6.149e-15,-,82,1
2,1024,32,z:il3d,nat-oop,70550,104057,74.314,1.475,4.254e-16,-,489,0
2,1024,32,z:il3d,nat-oop,71007,101077,73.836,1.423,4.254e-16,-,421,1
2,1024,2048,z:il3d,nat-oop,11367262,10390450,40.588,0.914,6.110e-15,-,82,0
2,1024,2048,z:il3d,nat-oop,11442212,10360962,40.322,0.906,6.110e-15,-,82,1
2,2048,128,z:il3d,nat-oop,847525,1006550,58.768,1.188,2.374e-15,-,86,0
2,2048,128,z:il3d,nat-oop,848650,1001250,58.690,1.180,2.374e-15,-,82,1
2,2048,512,z:il3d,nat-oop,4749875,4775863,46.359,1.005,5.278e-15,-,82,0
2,2048,512,z:il3d,nat-oop,5132188,5005400,42.906,0.975,5.278e-15,-,82,1
2,2048,1024,z:il3d,nat-oop,11437600,12418250,40.338,1.086,6.707e-15,-,82,0
2,2048,1024,z:il3d,nat-oop,11965437,12038200,38.559,1.006,6.707e-15,-,82,1
2,4096,16,z:il3d,nat-oop,167827,219813,66.385,1.310,5.210e-16,-,179,0
2,4096,16,z:il3d,nat-oop,177487,194040,62.772,1.093,5.210e-16,-,156,1
2,4096,128,z:il3d,nat-oop,2115675,2256950,49.562,1.067,3.247e-15,-,85,0
2,4096,128,z:il3d,nat-oop,2075113,2260350,50.531,1.089,3.247e-15,-,82,1
2,4096,256,z:il3d,nat-oop,5750637,5229387,38.292,0.909,5.619e-15,-,82,0
2,4096,256,z:il3d,nat-oop,5472650,4895150,40.237,0.894,5.619e-15,-,82,1
2,8192,16,z:il3d,nat-oop,430350,476362,54.823,1.107,1.024e-15,-,93,0
