N1,N2,N3,plan,path,vfft_ns,mkl_ns,vfft_gflops,ratio_vs_mkl,rt_err,route,engaged,flip
2,128,4096,z:il3d,nat-oop,2934375,1892087,35.734,0.645,3.183e-15,-,85,0
2,128,4096,z:il3d,nat-oop,2018075,1855163,51.959,0.919,3.183e-15,-,85,1
2,128,8192,z:il3d,nat-oop,5777975,4414450,38.110,0.764,5.298e-15,-,82,0
2,128,8192,z:il3d,nat-oop,5234937,4517013,42.064,0.863,5.298e-15,-,82,1
2,256,4096,z:il3d,nat-oop,7695375,4543650,28.615,0.590,5.582e-15,-,82,0
2,256,4096,z:il3d,nat-oop,5581712,4517150,39.450,0.809,5.582e-15,-,82,1
2,256,8192,z:il3d,nat-oop,16402525,13855962,28.128,0.845,6.796e-15,-,82,0
2,256,8192,z:il3d,nat-oop,11978837,11023387,38.516,0.920,6.796e-15,-,82,1
2,512,2048,z:il3d,nat-oop,4886538,4552887,45.063,0.932,5.208e-15,-,82,0
2,512,2048,z:il3d,nat-oop,5004662,4450275,43.999,0.889,5.208e-15,-,82,1
2,512,4096,z:il3d,nat-oop,12128313,10518162,38.041,0.867,6.149e-15,-,82,0
2,512,4096,z:il3d,nat-oop,12560462,10694937,36.732,0.851,6.149e-15,-,82,1
2,1024,2048,z:il3d,nat-oop,12023050,11364438,38.374,0.945,6.110e-15,-,82,0
2,1024,2048,z:il3d,nat-oop,11627762,12131038,39.679,1.043,6.110e-15,-,82,1
2,2048,512,z:il3d,nat-oop,5224675,5001775,42.146,0.957,5.278e-15,-,83,0
2,2048,512,z:il3d,nat-oop,7971262,5038813,27.624,0.632,5.278e-15,-,82,1
2,4096,256,z:il3d,nat-oop,6963138,5107500,31.624,0.734,5.619e-15,-,82,0
2,4096,256,z:il3d,nat-oop,5736900,5283238,38.383,0.921,5.619e-15,-,82,1
2,8192,64,z:il3d,nat-oop,2593575,2362413,40.430,0.911,2.996e-15,-,85,0
2,8192,64,z:il3d,nat-oop,3540975,2529887,29.613,0.714,2.996e-15,-,85,1
2,8192,128,z:il3d,nat-oop,6526912,5597675,33.737,0.858,5.129e-15,-,82,0
2,8192,128,z:il3d,nat-oop,6301987,5484175,34.942,0.870,5.129e-15,-,82,1
4,32,8192,z:il3d,nat-oop,924012,801275,113.481,0.867,2.551e-15,-,94,0
4,32,8192,z:il3d,nat-oop,956975,792538,109.572,0.828,2.551e-15,-,83,1
4,64,8192,z:il3d,nat-oop,3214688,1882325,68.498,0.586,2.908e-15,-,83,0
4,64,8192,z:il3d,nat-oop,3218687,2031588,68.413,0.631,2.908e-15,-,84,1
4,128,2048,z:il3d,nat-oop,928138,817162,112.976,0.880,2.423e-15,-,86,0
4,128,2048,z:il3d,nat-oop,1067937,884988,98.187,0.829,2.423e-15,-,84,1
4,128,4096,z:il3d,nat-oop,4601138,2249150,47.858,0.489,2.583e-15,-,82,0
4,128,4096,z:il3d,nat-oop,4348713,2066163,50.636,0.475,2.583e-15,-,82,1
4,128,8192,z:il3d,nat-oop,9624875,6728337,47.936,0.699,7.487e-15,-,82,0
4,128,8192,z:il3d,nat-oop,9483812,5855250,48.649,0.617,7.487e-15,-,82,1
4,256,2048,z:il3d,nat-oop,4015725,2042862,54.835,0.509,2.452e-15,-,82,0
4,256,2048,z:il3d,nat-oop,3435787,2372862,64.090,0.691,2.452e-15,-,82,1
4,256,4096,z:il3d,nat-oop,9574713,6577337,48.187,0.687,7.435e-15,-,82,0
4,256,4096,z:il3d,nat-oop,10714000,6891825,43.063,0.643,7.435e-15,-,82,1
4,512,512,z:il3d,nat-oop,1052637,957812,99.614,0.910,2.392e-15,-,85,0
