N1,N2,N3,plan,path,vfft_ns,mkl_ns,vfft_gflops,ratio_vs_mkl,rt_err,route,flip
2,2,4096,z:il3d,nat-oop,24279,84787,47.238,3.492,3.586e-16,-,0
2,2,4096,z:il3d,nat-oop,24386,84970,47.030,3.484,3.586e-16,-,1
8,8,8,z:il3d,nat-oop,393,366,58.646,0.933,2.354e-16,-,0
8,8,8,z:il3d,nat-oop,390,366,59.039,0.938,2.354e-16,-,1
16,16,16,z:il3d,nat-oop,4976,6951,49.393,1.397,3.469e-16,-,0
16,16,16,z:il3d,nat-oop,4960,6999,49.546,1.411,3.469e-16,-,1
64,64,64,z:il3d,nat-oop,584100,795025,40.392,1.361,4.813e-16,-,0
64,64,64,z:il3d,nat-oop,583650,800950,40.423,1.372,4.813e-16,-,1
256,256,16,z:il3d,nat-oop,3084012,4185437,34.000,1.357,9.862e-16,-,0
256,256,16,z:il3d,nat-oop,3114250,4063425,33.670,1.305,9.862e-16,-,1
