N,K,plan,path,vfft_ns,mkl_ns,vfft_gflops,ratio_vs_mkl,rt_err,route,flip
4096,1,z:ilp,nat-ip,3988,3947,61.623,0.990,3.902e-16,ztt,0
4096,1,z:ilp,nat-ip,3818,4076,64.361,1.068,3.902e-16,ztt,1
4096,1,z:ilp,nat-ip,3965,3959,61.983,0.999,3.902e-16,ztt,0
4096,1,z:ilp,nat-ip,4146,3959,59.278,0.955,3.902e-16,ztt,1
4096,1,z:ilp,nat-ip,3971,3956,61.890,0.996,3.902e-16,ztt,0
4096,1,z:ilp,nat-ip,3833,3960,64.120,1.033,3.902e-16,ztt,1
4096,1,z:ilp,nat-ip,3821,3969,64.316,1.039,3.902e-16,ztt,0
4096,1,z:ilp,nat-ip,3969,4068,61.925,1.025,3.902e-16,ztt,1
4096,1,z:ilp,nat-ip,3850,3954,63.841,1.027,3.902e-16,ztt,0
4096,1,z:ilp,nat-ip,3970,4084,61.900,1.029,3.902e-16,ztt,1
4096,1,z:ilp,nat-ip,3970,3969,61.909,1.000,3.902e-16,ztt,0
4096,1,z:ilp,nat-ip,3985,3954,61.674,0.992,3.902e-16,ztt,1
4096,1,z:ilp,nat-ip,3812,3966,64.462,1.040,3.902e-16,ztt,0
4096,1,z:ilp,nat-ip,3983,4088,61.709,1.027,3.902e-16,ztt,1
