N,K,plan,path,vfft_ns,mkl_ns,vfft_gflops,ratio_vs_mkl,rt_err,route,flip,engaged
2,1,z:ilp,nat-oop,4,11,2.665,3.010,0.000e+00,mono,1,0
3,1,z:ilp,nat-oop,4,12,5.409,2.638,1.485e-16,mono,1,0
4,1,z:ilp,nat-oop,5,11,8.739,2.384,0.000e+00,mono,1,0
5,1,z:ilp,nat-oop,6,12,9.574,1.993,7.549e-17,mono,1,0
6,1,z:ilp,nat-oop,7,12,11.859,1.853,1.865e-16,mono,1,0
7,1,z:ilp,nat-oop,7,12,13.103,1.619,2.584e-16,mono,1,0
8,1,z:ilp,nat-oop,7,12,17.143,1.679,7.430e-17,mono,1,0
9,1,z:ilp,nat-oop,9,13,16.106,1.509,7.314e-16,mono,1,0
10,1,z:ilp,nat-oop,9,13,18.449,1.444,1.836e-16,mono,1,0
11,1,z:ilp,nat-oop,12,13,16.508,1.142,3.556e-16,mono,1,0
12,1,z:ilp,nat-oop,10,13,20.542,1.229,2.826e-16,2p,1,0
13,1,z:ilp,nat-oop,15,15,16.368,0.992,1.095e-15,mono,1,0
14,1,z:ilp,nat-oop,13,14,20.994,1.088,2.036e-16,mono,1,0
15,1,z:ilp,nat-oop,16,15,18.438,0.949,3.324e-16,2p,1,0
16,1,z:ilp,nat-oop,10,13,31.268,1.246,7.549e-17,ztt,1,0
17,1,z:ilp,nat-oop,23,41,14.906,1.751,6.516e-16,mono,1,0
18,1,z:ilp,nat-oop,14,24,25.975,1.638,3.826e-16,2p,1,0
19,1,z:ilp,nat-oop,30,45,13.666,1.532,9.263e-16,mono,1,0
20,1,z:ilp,nat-oop,14,23,30.067,1.605,2.176e-16,2p,1,0
21,1,z:ilp,nat-oop,18,24,26.009,1.381,3.308e-16,2p,1,0
22,1,z:ilp,nat-oop,25,31,19.866,1.236,4.757e-16,mono,1,0
23,1,z:ilp,nat-oop,42,66,12.495,1.585,1.169e-15,mono,1,0
24,1,z:ilp,nat-oop,18,28,31.148,1.573,2.480e-16,2p,1,0
25,1,z:ilp,nat-oop,20,26,29.441,1.339,2.710e-16,2p,1,0
26,1,z:ilp,nat-oop,30,36,20.227,1.175,7.348e-16,mono,1,0
27,1,z:ilp,nat-oop,29,32,22.146,1.098,6.381e-16,flat,1,0
28,1,z:ilp,nat-oop,19,30,35.073,1.566,2.091e-16,2p,1,0
29,1,z:ilp,nat-oop,81,106,8.661,1.307,7.372e-16,prime,1,0
30,1,z:ilp,nat-oop,20,31,36.660,1.523,3.019e-16,2p,1,0
31,1,z:ilp,nat-oop,76,121,10.073,1.590,6.577e-16,prime,1,0
32,1,z:ilp,nat-oop,17,16,47.915,0.968,1.738e-16,2p,1,0
33,1,z:ilp,nat-oop,26,36,31.734,1.360,6.591e-16,2p,1,0
34,1,z:ilp,nat-oop,50,75,17.234,1.498,8.373e-16,flat,1,0
35,1,z:ilp,nat-oop,25,35,35.292,1.391,3.914e-16,2p,1,0
36,1,z:ilp,nat-oop,21,41,44.284,1.967,3.939e-16,2p,1,0
37,1,z:ilp,nat-oop,93,185,10.392,1.992,7.209e-16,prime,1,0
38,1,z:ilp,nat-oop,65,88,15.361,1.354,7.867e-16,flat,1,0
39,1,z:ilp,nat-oop,33,44,30.934,1.319,9.559e-16,2p,1,0
40,1,z:ilp,nat-oop,23,40,47.248,1.791,1.440e-16,2p,1,0
41,1,z:ilp,nat-oop,93,242,11.831,2.605,3.770e-16,prime,1,0
42,1,z:ilp,nat-oop,27,41,41.784,1.514,3.212e-16,2p,1,0
43,1,z:ilp,nat-oop,107,266,10.901,2.485,6.224e-16,prime,1,0
44,1,z:ilp,nat-oop,29,43,41.438,1.493,7.936e-16,2p,1,0
45,1,z:ilp,nat-oop,64,49,19.214,0.755,7.427e-16,2p,1,0
46,1,z:ilp,nat-oop,83,120,15.260,1.444,2.153e-15,flat,1,0
47,1,z:ilp,nat-oop,195,329,6.697,1.686,6.167e-16,prime,1,0
48,1,z:ilp,nat-oop,28,44,48.683,1.593,3.666e-16,2p,1,0
49,1,z:ilp,nat-oop,35,47,39.709,1.348,4.807e-16,2p,1,0
50,1,z:ilp,nat-oop,33,53,42.497,1.599,3.610e-16,2p,1,0
51,1,z:ilp,nat-oop,55,114,26.445,2.077,6.545e-16,2p,1,0
52,1,z:ilp,nat-oop,36,50,40.607,1.378,1.145e-15,2p,1,0
53,1,z:ilp,nat-oop,130,437,11.660,3.360,1.556e-15,prime,1,0
54,1,z:ilp,nat-oop,34,58,45.518,1.698,6.344e-16,2p,1,0
55,1,z:ilp,nat-oop,42,54,38.149,1.291,5.932e-16,2p,1,0
56,1,z:ilp,nat-oop,33,55,49.371,1.667,2.453e-16,2p,1,0
57,1,z:ilp,nat-oop,66,136,25.015,2.046,1.053e-15,2p,1,0
58,1,z:ilp,nat-oop,203,185,8.360,0.911,1.042e-15,prime,1,0
59,1,z:ilp,nat-oop,201,552,8.625,2.744,5.100e-16,prime,1,0
60,1,z:ilp,nat-oop,36,61,49.501,1.713,5.509e-16,2p,1,0
61,1,z:ilp,nat-oop,143,602,12.623,4.198,6.148e-16,prime,1,0
62,1,z:ilp,nat-oop,202,207,9.121,1.023,4.431e-16,prime,1,0
