N,K,plan,path,vfft_ns,mkl_ns,vfft_gflops,ratio_vs_mkl,rt_err,route,flip
2049,1,z:ilp,nat-oop,31576,22094,3.569,0.700,8.652e-16,prime,0
2049,1,z:ilp,nat-oop,22421,22027,5.027,0.982,8.652e-16,prime,1
2050,1,z:ilp,nat-oop,9607,10653,11.738,1.109,1.801e-15,chain3,0
2050,1,z:ilp,nat-oop,9758,10660,11.557,1.093,1.801e-15,chain3,1
2051,1,z:ilp,nat-oop,22837,22010,4.941,0.964,8.602e-16,prime,0
2051,1,z:ilp,nat-oop,23393,21960,4.823,0.939,8.602e-16,prime,1
2052,1,z:ilp,nat-oop,3095,5991,36.469,1.935,1.152e-15,chain3,0
2052,1,z:ilp,nat-oop,3706,6000,30.462,1.619,1.152e-15,chain3,1
2053,1,z:ilp,nat-oop,15146,22094,7.457,1.459,3.077e-15,prime,0
2053,1,z:ilp,nat-oop,18984,22102,5.950,1.164,3.077e-15,prime,1
2054,1,z:ilp,nat-oop,22041,23163,5.128,1.051,7.667e-16,prime,0
2054,1,z:ilp,nat-oop,22051,23175,5.125,1.051,7.667e-16,prime,1
2055,1,z:ilp,nat-oop,22042,22000,5.130,0.998,8.322e-16,prime,0
2055,1,z:ilp,nat-oop,22492,21951,5.027,0.976,8.322e-16,prime,1
2056,1,z:ilp,nat-oop,22524,21961,5.023,0.975,9.108e-16,prime,0
2056,1,z:ilp,nat-oop,22111,21850,5.117,0.988,9.108e-16,prime,1
2057,1,z:ilp,nat-oop,4571,6015,24.767,1.316,1.487e-15,flat,0
2057,1,z:ilp,nat-oop,4473,5977,25.307,1.336,1.487e-15,flat,1
2058,1,z:ilp,nat-oop,3870,3400,29.264,0.878,6.260e-16,flat,0
2058,1,z:ilp,nat-oop,3886,3413,29.146,0.878,6.260e-16,flat,1
2059,1,z:ilp,nat-oop,22979,31975,4.932,1.391,7.262e-16,prime,0
2059,1,z:ilp,nat-oop,22598,31960,5.015,1.414,7.262e-16,prime,1
2060,1,z:ilp,nat-oop,22400,30605,5.062,1.366,6.748e-16,prime,0
2060,1,z:ilp,nat-oop,22878,30629,4.956,1.339,6.748e-16,prime,1
2061,1,z:ilp,nat-oop,22094,22106,5.135,1.001,9.729e-16,prime,0
2061,1,z:ilp,nat-oop,22604,22107,5.019,0.978,9.729e-16,prime,1
2062,1,z:ilp,nat-oop,23023,22101,4.930,0.960,7.902e-16,prime,0
