library,N,l2_error,max_error,rt_error
VectorFFT,2049,5.640e-16,6.146e-16,1.443e-15
MKL,2049,4.565e-16,4.492e-16,1.473e-15
VectorFFT,2050,4.303e-16,4.725e-16,1.034e-15
MKL,2050,3.191e-16,3.348e-16,8.812e-16
VectorFFT,2051,5.757e-16,6.364e-16,1.378e-15
MKL,2051,4.640e-16,4.614e-16,1.802e-15
VectorFFT,2052,5.495e-16,6.622e-16,1.403e-15
MKL,2052,2.669e-16,3.454e-16,8.915e-16
VectorFFT,2053,9.322e-16,8.342e-16,2.754e-15
MKL,2053,4.568e-16,4.676e-16,1.411e-15
VectorFFT,2054,5.657e-16,7.094e-16,1.267e-15
MKL,2054,3.281e-16,3.706e-16,1.013e-15
VectorFFT,2055,5.550e-16,7.300e-16,1.378e-15
MKL,2055,4.791e-16,4.678e-16,1.553e-15
VectorFFT,2056,5.630e-16,7.112e-16,1.271e-15
MKL,2056,4.619e-16,4.426e-16,1.417e-15
VectorFFT,2057,7.130e-16,9.674e-16,2.213e-15
MKL,2057,3.400e-16,3.613e-16,1.158e-15
VectorFFT,2058,4.924e-16,5.647e-16,1.921e-15
MKL,2058,2.776e-16,2.714e-16,8.587e-16
VectorFFT,2059,5.583e-16,6.858e-16,1.206e-15
MKL,2059,4.288e-16,4.134e-16,1.644e-15
VectorFFT,2060,5.577e-16,6.841e-16,1.258e-15
MKL,2060,3.170e-16,3.775e-16,1.079e-15
VectorFFT,2061,5.655e-16,7.278e-16,1.428e-15
MKL,2061,4.565e-16,4.763e-16,1.621e-15
VectorFFT,2062,5.636e-16,7.725e-16,1.286e-15
MKL,2062,4.582e-16,4.857e-16,1.581e-15
VectorFFT,2063,5.617e-16,7.608e-16,1.320e-15
MKL,2063,4.631e-16,5.277e-16,1.470e-15
VectorFFT,2064,5.124e-16,5.477e-16,1.678e-15
MKL,2064,2.702e-16,3.188e-16,7.931e-16
VectorFFT,2065,5.535e-16,6.494e-16,1.220e-15
MKL,2065,3.214e-16,3.450e-16,9.307e-16
VectorFFT,2066,5.635e-16,8.102e-16,1.404e-15
MKL,2066,4.559e-16,4.953e-16,1.535e-15
VectorFFT,2067,5.416e-16,6.431e-16,1.201e-15
MKL,2067,3.138e-16,2.930e-16,1.001e-15
VectorFFT,2068,4.522e-16,5.577e-16,1.087e-15
MKL,2068,2.768e-16,3.325e-16,8.050e-16
VectorFFT,2069,5.642e-16,8.261e-16,1.475e-15
MKL,2069,4.598e-16,4.515e-16,1.554e-15
VectorFFT,2070,5.100e-16,4.478e-16,1.492e-15
MKL,2070,3.097e-16,2.996e-16,9.423e-16
VectorFFT,2071,5.522e-16,6.929e-16,1.238e-15
MKL,2071,4.624e-16,6.453e-16,1.510e-15
VectorFFT,2072,4.026e-16,4.818e-16,1.090e-15
MKL,2072,2.629e-16,3.500e-16,7.632e-16
VectorFFT,2073,5.509e-16,6.500e-16,1.233e-15
MKL,2073,4.618e-16,5.259e-16,1.470e-15
VectorFFT,2074,5.722e-16,9.975e-16,1.278e-15
MKL,2074,2.906e-16,2.819e-16,1.001e-15
VectorFFT,2075,5.566e-16,7.564e-16,1.244e-15
MKL,2075,4.247e-16,4.702e-16,1.305e-15
VectorFFT,2076,5.675e-16,9.108e-16,1.376e-15
MKL,2076,4.562e-16,4.782e-16,1.601e-15
VectorFFT,2077,5.706e-16,7.000e-16,1.355e-15
MKL,2077,3.236e-16,3.437e-16,9.779e-16
VectorFFT,2078,5.551e-16,7.045e-16,1.816e-15
MKL,2078,4.552e-16,5.289e-16,1.396e-15
VectorFFT,2079,4.893e-16,5.156e-16,1.159e-15
MKL,2079,4.308e-16,5.130e-16,1.150e-15
VectorFFT,2080,5.015e-16,6.294e-16,1.309e-15
MKL,2080,2.598e-16,2.329e-16,9.059e-16
VectorFFT,2081,8.856e-16,7.421e-16,2.482e-15
MKL,2081,4.683e-16,4.048e-16,1.558e-15
VectorFFT,2082,5.619e-16,7.170e-16,1.327e-15
MKL,2082,4.620e-16,4.255e-16,1.567e-15
VectorFFT,2083,5.697e-16,7.423e-16,1.236e-15
MKL,2083,4.554e-16,3.761e-16,1.546e-15
VectorFFT,2084,5.542e-16,9.008e-16,1.267e-15
MKL,2084,4.607e-16,4.051e-16,1.733e-15
VectorFFT,2085,5.592e-16,7.785e-16,1.292e-15
MKL,2085,4.806e-16,5.600e-16,1.403e-15
VectorFFT,2086,5.585e-16,7.111e-16,1.293e-15
MKL,2086,3.569e-16,4.087e-16,1.141e-15
VectorFFT,2087,5.563e-16,7.624e-16,1.275e-15
MKL,2087,4.670e-16,4.331e-16,1.557e-15
VectorFFT,2088,5.785e-16,6.144e-16,1.788e-15
MKL,2088,2.639e-16,2.775e-16,7.974e-16
VectorFFT,2089,9.011e-16,8.313e-16,2.190e-15
MKL,2089,4.697e-16,5.129e-16,1.693e-15
VectorFFT,2090,4.636e-16,5.756e-16,1.181e-15
MKL,2090,2.872e-16,3.557e-16,1.054e-15
VectorFFT,2091,5.382e-16,5.681e-16,1.325e-15
MKL,2091,3.133e-16,3.332e-16,9.488e-16
VectorFFT,2092,5.406e-16,8.722e-16,1.249e-15
MKL,2092,4.635e-16,4.698e-16,1.459e-15
VectorFFT,2093,5.783e-16,6.629e-16,2.136e-15
MKL,2093,2.947e-16,3.573e-16,8.315e-16
VectorFFT,2094,5.542e-16,4.984e-16,1.358e-15
MKL,2094,4.672e-16,3.621e-16,2.004e-15
VectorFFT,2095,5.724e-16,8.926e-16,1.361e-15
MKL,2095,4.661e-16,4.373e-16,1.453e-15
VectorFFT,2096,5.582e-16,9.518e-16,1.444e-15
MKL,2096,3.203e-16,5.107e-16,1.256e-15
VectorFFT,2097,5.647e-16,6.630e-16,1.250e-15
MKL,2097,4.552e-16,4.925e-16,1.425e-15
VectorFFT,2098,5.577e-16,8.489e-16,1.260e-15
MKL,2098,4.588e-16,6.287e-16,1.857e-15
VectorFFT,2099,5.705e-16,5.759e-16,1.318e-15
MKL,2099,4.787e-16,4.273e-16,1.586e-15
VectorFFT,2100,4.413e-16,4.811e-16,1.117e-15
MKL,2100,2.838e-16,2.585e-16,9.590e-16
VectorFFT,2101,5.213e-16,7.714e-16,1.353e-15
MKL,2101,4.838e-16,5.409e-16,1.499e-15
VectorFFT,2102,5.651e-16,6.722e-16,1.519e-15
MKL,2102,4.566e-16,4.361e-16,1.377e-15
VectorFFT,2103,5.689e-16,6.438e-16,1.539e-15
MKL,2103,4.740e-16,5.934e-16,1.474e-15
VectorFFT,2104,5.406e-16,6.996e-16,1.227e-15
MKL,2104,4.606e-16,5.333e-16,1.412e-15
VectorFFT,2105,5.626e-16,6.670e-16,1.413e-15
MKL,2105,4.698e-16,4.408e-16,1.531e-15
VectorFFT,2106,6.163e-16,8.011e-16,1.635e-15
MKL,2106,3.041e-16,3.532e-16,1.050e-15
VectorFFT,2107,4.511e-16,5.315e-16,1.106e-15
MKL,2107,3.026e-16,2.957e-16,8.590e-16
