N,K,plan,path,vfft_ns,mkl_ns,vfft_gflops,ratio_vs_mkl,rt_err,route,flip
4096,1,z:ilp,nat-oop,3607,3864,68.143,1.071,3.902e-16,ztt,0
4096,1,z:ilp,nat-oop,3584,3879,68.571,1.082,3.902e-16,ztt,1
4096,1,z:ilp,nat-oop,3551,3844,69.212,1.083,3.902e-16,ztt,0
4096,1,z:ilp,nat-oop,3569,3845,68.859,1.077,3.902e-16,ztt,1
4096,1,z:ilp,nat-oop,3553,3836,69.172,1.080,3.902e-16,ztt,0
4096,1,z:ilp,nat-oop,3562,3844,68.989,1.079,3.902e-16,ztt,1
4096,1,z:ilp,nat-oop,3559,3860,69.049,1.085,3.902e-16,ztt,0
4096,1,z:ilp,nat-oop,3572,3845,68.811,1.077,3.902e-16,ztt,1
4096,1,z:ilp,nat-oop,3567,3862,68.902,1.083,3.902e-16,ztt,0
4096,1,z:ilp,nat-oop,3551,3842,69.208,1.082,3.902e-16,ztt,1
4096,1,z:ilp,nat-oop,3573,3853,68.776,1.078,3.902e-16,ztt,0
4096,1,z:ilp,nat-oop,3576,3842,68.716,1.074,3.902e-16,ztt,1
4096,1,z:ilp,nat-oop,3585,3866,68.548,1.078,3.902e-16,ztt,0
4096,1,z:ilp,nat-oop,3643,3882,67.468,1.066,3.902e-16,ztt,1
4096,1,z:ilp,nat-oop,3559,3850,69.061,1.082,3.902e-16,ztt,0
4096,1,z:ilp,nat-oop,3552,3850,69.188,1.084,3.902e-16,ztt,1
4096,1,z:ilp,nat-oop,3602,3833,68.232,1.064,3.902e-16,ztt,0
4096,1,z:ilp,nat-oop,3568,3893,68.882,1.091,3.902e-16,ztt,1
4096,1,z:ilp,nat-oop,3565,3842,68.946,1.078,3.902e-16,ztt,0
4096,1,z:ilp,nat-oop,3592,3846,68.422,1.071,3.902e-16,ztt,1
4096,1,z:ilp,nat-oop,3569,3847,68.866,1.078,3.902e-16,ztt,0
4096,1,z:ilp,nat-oop,3561,3848,69.013,1.081,3.902e-16,ztt,1
4096,1,z:ilp,nat-oop,3584,3846,68.579,1.073,3.902e-16,ztt,0
4096,1,z:ilp,nat-oop,3551,3821,69.204,1.076,3.902e-16,ztt,1
4096,1,z:ilp,nat-oop,3578,3846,68.689,1.075,3.902e-16,ztt,0
4096,1,z:ilp,nat-oop,3568,3845,68.886,1.078,3.902e-16,ztt,1
4096,1,z:ilp,nat-oop,3558,3845,69.065,1.081,3.902e-16,ztt,0
4096,1,z:ilp,nat-oop,3581,3862,68.634,1.078,3.902e-16,ztt,1
4096,1,z:ilp,nat-oop,3570,3846,68.831,1.077,3.902e-16,ztt,0
4096,1,z:ilp,nat-oop,3556,3842,69.105,1.080,3.902e-16,ztt,1
4096,1,z:ilp,nat-oop,3566,3861,68.918,1.083,3.902e-16,ztt,0
4096,1,z:ilp,nat-oop,3553,3847,69.168,1.083,3.902e-16,ztt,1
4096,1,z:ilp,nat-oop,3566,3848,68.914,1.079,3.902e-16,ztt,0
4096,1,z:ilp,nat-oop,3574,3845,68.756,1.076,3.902e-16,ztt,1
4096,1,z:ilp,nat-oop,3547,3839,69.284,1.082,3.902e-16,ztt,0
4096,1,z:ilp,nat-oop,3565,3845,68.942,1.079,3.902e-16,ztt,1
4096,1,z:ilp,nat-oop,3571,3834,68.827,1.074,3.902e-16,ztt,0
4096,1,z:ilp,nat-oop,3562,3842,68.989,1.079,3.902e-16,ztt,1
4096,1,z:ilp,nat-oop,3556,3851,69.120,1.083,3.902e-16,ztt,0
4096,1,z:ilp,nat-oop,3551,3845,69.204,1.083,3.902e-16,ztt,1
4096,1,z:ilp,nat-oop,3571,3823,68.827,1.071,3.902e-16,ztt,0
4096,1,z:ilp,nat-oop,3575,3847,68.744,1.076,3.902e-16,ztt,1
4096,1,z:ilp,nat-oop,3554,3847,69.144,1.082,3.902e-16,ztt,0
4096,1,z:ilp,nat-oop,3560,3847,69.037,1.081,3.902e-16,ztt,1
4096,1,z:ilp,nat-oop,3556,3829,69.105,1.077,3.902e-16,ztt,0
4096,1,z:ilp,nat-oop,3575,3843,68.744,1.075,3.902e-16,ztt,1
