N,K,plan,path,vfft_ns,mkl_ns,vfft_gflops,ratio_vs_mkl,rt_err,route,flip
2,1,z:ilp,nat-oop,4,11,2.633,2.828,0.000e+00,mono,0
2,1,z:ilp,nat-oop,4,11,2.642,2.834,0.000e+00,mono,1
3,1,z:ilp,nat-oop,4,11,5.343,2.446,1.485e-16,mono,0
3,1,z:ilp,nat-oop,4,11,5.334,2.411,1.485e-16,mono,1
4,1,z:ilp,nat-oop,5,11,8.494,2.354,0.000e+00,mono,0
4,1,z:ilp,nat-oop,5,11,8.567,2.344,0.000e+00,mono,1
5,1,z:ilp,nat-oop,6,12,9.282,1.883,7.549e-17,mono,0
5,1,z:ilp,nat-oop,6,12,9.300,1.888,7.549e-17,mono,1
6,1,z:ilp,nat-oop,7,12,11.670,1.769,1.865e-16,mono,0
6,1,z:ilp,nat-oop,7,12,11.716,1.780,1.865e-16,mono,1
7,1,z:ilp,nat-oop,7,12,13.184,1.583,2.584e-16,mono,0
7,1,z:ilp,nat-oop,8,12,13.031,1.568,2.584e-16,mono,1
8,1,z:ilp,nat-oop,7,12,16.570,1.590,7.430e-17,mono,0
8,1,z:ilp,nat-oop,7,12,16.662,1.606,7.430e-17,mono,1
9,1,z:ilp,nat-oop,9,13,15.864,1.397,4.179e-16,mono,0
9,1,z:ilp,nat-oop,9,13,15.778,1.388,4.179e-16,mono,1
10,1,z:ilp,nat-oop,9,12,17.894,1.343,1.836e-16,mono,0
10,1,z:ilp,nat-oop,9,12,18.151,1.360,1.836e-16,mono,1
11,1,z:ilp,nat-oop,12,14,16.335,1.166,1.185e-16,mono,0
11,1,z:ilp,nat-oop,12,13,16.525,1.156,1.185e-16,mono,1
12,1,z:ilp,nat-oop,11,13,19.946,1.183,2.826e-16,2p,0
12,1,z:ilp,nat-oop,11,13,19.963,1.185,2.826e-16,2p,1
13,1,z:ilp,nat-oop,15,15,15.973,0.970,4.977e-16,mono,0
13,1,z:ilp,nat-oop,15,15,15.968,0.968,4.977e-16,mono,1
14,1,z:ilp,nat-oop,13,14,20.396,1.046,2.036e-16,mono,0
14,1,z:ilp,nat-oop,14,14,18.879,0.970,2.036e-16,mono,1
15,1,z:ilp,nat-oop,16,14,18.333,0.889,3.324e-16,2p,0
15,1,z:ilp,nat-oop,27,14,10.741,0.521,3.324e-16,2p,1
16,1,z:ilp,nat-oop,10,12,31.911,1.222,7.549e-17,ztt,0
16,1,z:ilp,nat-oop,10,12,32.006,1.234,7.549e-17,ztt,1
17,1,z:ilp,nat-oop,23,41,14.791,1.751,2.036e-16,mono,0
