N1,N2,plan,path,vfft_ns,mkl_ns,vfft_gflops,ratio_vs_mkl,rt_err,route,flip
5,5,z:il2d,nat-oop,60,25,9.628,0.416,3.461e-16,chain,0
5,5,z:il2d,nat-oop,59,25,9.816,0.424,3.461e-16,chain,1
5,64,z:il2d,nat-oop,218,539,61.206,2.479,3.428e-16,chain,0
5,64,z:il2d,nat-oop,216,540,61.707,2.501,3.428e-16,chain,1
6,6,z:il2d,nat-oop,66,28,14.005,0.416,2.795e-16,chain,0
6,6,z:il2d,nat-oop,66,28,14.032,0.417,2.795e-16,chain,1
6,64,z:il2d,nat-oop,266,591,61.913,2.219,3.940e-16,chain,0
6,64,z:il2d,nat-oop,266,589,62.021,2.218,3.940e-16,chain,1
9,9,z:il2d,nat-oop,135,69,18.986,0.511,4.629e-16,chain,0
9,9,z:il2d,nat-oop,135,69,19.011,0.511,4.629e-16,chain,1
9,64,z:il2d,nat-oop,433,868,61.031,2.005,4.552e-16,chain,0
9,64,z:il2d,nat-oop,434,862,60.910,1.989,4.552e-16,chain,1
10,10,z:il2d,nat-oop,146,66,22.676,0.453,3.668e-16,chain,0
10,10,z:il2d,nat-oop,146,66,22.789,0.455,3.668e-16,chain,1
10,64,z:il2d,nat-oop,470,894,63.512,1.904,2.499e-16,chain,0
10,64,z:il2d,nat-oop,468,892,63.742,1.906,2.499e-16,chain,1
12,12,z:il2d,nat-oop,239,90,21.585,0.377,4.052e-16,chain,0
12,12,z:il2d,nat-oop,238,91,21.654,0.383,4.052e-16,chain,1
12,64,z:il2d,nat-oop,585,936,62.921,1.601,3.988e-16,chain,0
12,64,z:il2d,nat-oop,586,937,62.846,1.599,3.988e-16,chain,1
15,15,z:il2d,nat-oop,405,183,21.698,0.452,4.514e-16,chain,0
15,15,z:il2d,nat-oop,409,183,21.502,0.449,4.514e-16,chain,1
15,64,z:il2d,nat-oop,1143,1345,41.596,1.177,3.953e-16,chain,0
15,64,z:il2d,nat-oop,1090,1355,43.646,1.243,3.953e-16,chain,1
18,18,z:il2d,nat-oop,508,446,26.586,0.878,4.345e-16,chain,0
18,18,z:il2d,nat-oop,516,447,26.166,0.865,4.345e-16,chain,1
18,64,z:il2d,nat-oop,1682,942,34.833,0.560,4.234e-16,chain,0
18,64,z:il2d,nat-oop,1413,906,41.458,0.641,4.234e-16,chain,1
20,20,z:il2d,nat-oop,502,594,34.446,1.183,2.325e-16,chain,0
20,20,z:il2d,nat-oop,501,592,34.484,1.181,2.325e-16,chain,1
20,64,z:il2d,nat-oop,1497,1622,44.140,1.084,3.421e-16,chain,0
20,64,z:il2d,nat-oop,1842,1650,35.862,0.896,3.421e-16,chain,1
24,24,z:il2d,nat-oop,654,920,40.363,1.407,4.096e-16,chain,0
