N1,N2,plan,path,vfft_ns,mkl_ns,vfft_gflops,ratio_vs_mkl,rt_err,route,flip
2,64,z:il2d,nat-oop,86,467,52.323,5.451,2.222e-16,chain,0
2,64,z:il2d,nat-oop,86,467,52.284,5.446,2.222e-16,chain,1
2,128,z:il2d,nat-oop,166,830,61.625,4.995,3.653e-16,chain,0
2,128,z:il2d,nat-oop,163,829,63.014,5.103,3.653e-16,chain,1
2,256,z:il2d,nat-oop,323,1534,71.306,4.747,3.866e-16,chain,0
2,256,z:il2d,nat-oop,342,1533,67.273,4.476,3.866e-16,chain,1
2,512,z:il2d,nat-oop,1079,2989,47.432,2.769,4.524e-16,chain,0
2,512,z:il2d,nat-oop,1104,2965,46.383,2.686,4.524e-16,chain,1
3,64,z:il2d,nat-oop,125,407,58.196,3.256,3.058e-16,chain,0
3,64,z:il2d,nat-oop,125,414,58.228,3.313,3.058e-16,chain,1
3,128,z:il2d,nat-oop,246,738,66.974,2.997,3.791e-16,chain,0
3,128,z:il2d,nat-oop,247,731,66.776,2.963,3.791e-16,chain,1
3,256,z:il2d,nat-oop,490,1344,75.050,2.741,3.870e-16,chain,0
3,256,z:il2d,nat-oop,490,1346,75.109,2.746,3.870e-16,chain,1
3,512,z:il2d,nat-oop,1523,2636,53.369,1.731,3.928e-16,chain,0
3,512,z:il2d,nat-oop,1560,2656,52.117,1.703,3.928e-16,chain,1
5,64,z:il2d,nat-oop,216,539,61.753,2.500,3.428e-16,chain,0
5,64,z:il2d,nat-oop,216,539,61.533,2.493,3.428e-16,chain,1
5,128,z:il2d,nat-oop,430,1033,69.341,2.400,2.624e-16,chain,0
5,128,z:il2d,nat-oop,429,1033,69.601,2.411,2.624e-16,chain,1
5,256,z:il2d,nat-oop,1093,2008,60.446,1.837,4.868e-16,chain,0
5,256,z:il2d,nat-oop,1082,2005,61.032,1.853,4.868e-16,chain,1
5,512,z:il2d,nat-oop,2630,4081,55.103,1.552,5.142e-16,chain,0
5,512,z:il2d,nat-oop,2628,4054,55.146,1.543,5.142e-16,chain,1
6,64,z:il2d,nat-oop,265,589,62.246,2.226,3.940e-16,chain,0
6,64,z:il2d,nat-oop,265,589,62.305,2.227,3.940e-16,chain,1
6,128,z:il2d,nat-oop,526,1148,69.964,2.181,3.673e-16,chain,0
6,128,z:il2d,nat-oop,528,1148,69.699,2.174,3.673e-16,chain,1
6,256,z:il2d,nat-oop,1368,2273,59.407,1.661,4.742e-16,chain,0
6,256,z:il2d,nat-oop,1390,2242,58.464,1.612,4.742e-16,chain,1
6,512,z:il2d,nat-oop,3270,4664,54.412,1.426,4.788e-16,chain,0
6,512,z:il2d,nat-oop,3238,4668,54.947,1.441,4.788e-16,chain,1
7,64,z:il2d,nat-oop,318,699,62.108,2.200,2.349e-16,chain,0
7,64,z:il2d,nat-oop,319,731,61.937,2.294,2.349e-16,chain,1
7,128,z:il2d,nat-oop,643,1402,68.367,2.182,5.018e-16,chain,0
7,128,z:il2d,nat-oop,649,1391,67.705,2.143,5.018e-16,chain,1
7,256,z:il2d,nat-oop,1909,2792,50.714,1.462,4.618e-16,chain,0
7,256,z:il2d,nat-oop,1671,2792,57.958,1.671,4.618e-16,chain,1
7,512,z:il2d,nat-oop,4005,5814,52.828,1.452,5.477e-16,chain,0
7,512,z:il2d,nat-oop,4161,5786,50.850,1.391,5.477e-16,chain,1
9,64,z:il2d,nat-oop,433,871,60.958,2.010,4.552e-16,chain,0
9,64,z:il2d,nat-oop,433,865,61.003,1.998,4.552e-16,chain,1
9,128,z:il2d,nat-oop,874,1786,67.055,2.044,4.081e-16,chain,0
9,128,z:il2d,nat-oop,873,1775,67.073,2.032,4.081e-16,chain,1
9,256,z:il2d,nat-oop,2527,3710,50.924,1.468,5.371e-16,chain,0
9,256,z:il2d,nat-oop,2558,3707,50.301,1.449,5.371e-16,chain,1
9,512,z:il2d,nat-oop,5611,7641,49.970,1.362,4.612e-16,chain,0
9,512,z:il2d,nat-oop,5522,7704,50.774,1.395,4.612e-16,chain,1
10,64,z:il2d,nat-oop,469,892,63.616,1.903,2.499e-16,chain,0
10,64,z:il2d,nat-oop,469,892,63.633,1.904,2.499e-16,chain,1
10,128,z:il2d,nat-oop,992,1860,66.611,1.876,5.041e-16,chain,0
10,128,z:il2d,nat-oop,980,1861,67.386,1.898,5.041e-16,chain,1
10,256,z:il2d,nat-oop,2897,4022,50.028,1.388,3.479e-16,chain,0
10,256,z:il2d,nat-oop,2919,4001,49.643,1.371,3.479e-16,chain,1
10,512,z:il2d,nat-oop,6224,8191,50.685,1.316,5.064e-16,chain,0
10,512,z:il2d,nat-oop,6339,8207,49.764,1.295,5.064e-16,chain,1
11,64,z:il2d,nat-oop,567,1092,58.733,1.926,2.669e-16,chain,0
11,64,z:il2d,nat-oop,569,1100,58.471,1.932,2.669e-16,chain,1
11,128,z:il2d,nat-oop,1169,2314,62.974,1.979,3.858e-16,chain,0
11,128,z:il2d,nat-oop,1228,2291,59.964,1.866,3.858e-16,chain,1
11,256,z:il2d,nat-oop,3481,5169,46.354,1.485,4.468e-16,chain,0
11,256,z:il2d,nat-oop,3508,5144,45.996,1.466,4.468e-16,chain,1
11,512,z:il2d,nat-oop,7519,10459,46.662,1.391,5.321e-16,chain,0
11,512,z:il2d,nat-oop,7646,10460,45.890,1.368,5.321e-16,chain,1
12,64,z:il2d,nat-oop,584,938,62.975,1.604,3.988e-16,chain,0
12,64,z:il2d,nat-oop,602,937,61.101,1.555,3.988e-16,chain,1
12,128,z:il2d,nat-oop,1244,2027,65.349,1.629,4.139e-16,chain,0
12,128,z:il2d,nat-oop,1236,2029,65.760,1.641,4.139e-16,chain,1
12,256,z:il2d,nat-oop,3873,4533,45.940,1.170,5.411e-16,chain,0
12,256,z:il2d,nat-oop,3879,4522,45.869,1.166,5.411e-16,chain,1
12,512,z:il2d,nat-oop,8330,9151,46.411,1.099,5.151e-16,chain,0
12,512,z:il2d,nat-oop,8254,9100,46.838,1.102,5.151e-16,chain,1
13,64,z:il2d,nat-oop,710,1401,56.853,1.974,5.501e-16,chain,0
13,64,z:il2d,nat-oop,710,1380,56.850,1.944,5.501e-16,chain,1
13,128,z:il2d,nat-oop,1501,2976,59.322,1.983,6.780e-16,chain,0
13,128,z:il2d,nat-oop,1498,2964,59.441,1.979,6.780e-16,chain,1
13,256,z:il2d,nat-oop,5115,6925,38.060,1.354,6.897e-16,chain,0
13,256,z:il2d,nat-oop,5132,6897,37.934,1.344,6.897e-16,chain,1
13,512,z:il2d,nat-oop,10879,13834,38.852,1.272,7.602e-16,chain,0
13,512,z:il2d,nat-oop,10624,13842,39.785,1.303,7.602e-16,chain,1
14,64,z:il2d,nat-oop,706,1255,62.268,1.778,3.878e-16,chain,0
14,64,z:il2d,nat-oop,707,1252,62.134,1.770,3.878e-16,chain,1
14,128,z:il2d,nat-oop,1903,2728,50.888,1.434,4.198e-16,chain,0
14,128,z:il2d,nat-oop,1581,2727,61.246,1.725,4.198e-16,chain,1
14,256,z:il2d,nat-oop,5174,6428,40.893,1.242,4.603e-16,chain,0
14,256,z:il2d,nat-oop,5203,6588,40.663,1.266,4.603e-16,chain,1
14,512,z:il2d,nat-oop,9964,13142,46.069,1.319,5.726e-16,chain,0
14,512,z:il2d,nat-oop,11666,13194,39.346,1.131,5.726e-16,chain,1
15,64,z:il2d,nat-oop,1027,1348,46.320,1.313,3.459e-16,chain,0
15,64,z:il2d,nat-oop,1052,1346,45.190,1.279,3.459e-16,chain,1
15,128,z:il2d,nat-oop,1847,2954,56.699,1.600,4.559e-16,chain,0
15,128,z:il2d,nat-oop,1956,2965,53.528,1.516,4.559e-16,chain,1
15,256,z:il2d,nat-oop,5938,7159,38.498,1.206,4.204e-16,chain,0
15,256,z:il2d,nat-oop,5797,7115,39.439,1.227,4.204e-16,chain,1
15,512,z:il2d,nat-oop,14163,14230,34.993,1.005,5.028e-16,chain,0
15,512,z:il2d,nat-oop,13575,14252,36.510,1.050,5.028e-16,chain,1
17,64,z:il2d,nat-oop,1038,1833,52.885,1.767,5.525e-16,chain,0
17,64,z:il2d,nat-oop,1192,1856,46.031,1.557,5.525e-16,chain,1
17,128,z:il2d,nat-oop,2441,4067,49.413,1.666,5.833e-16,chain,0
17,128,z:il2d,nat-oop,2413,4039,49.993,1.674,5.833e-16,chain,1
17,256,z:il2d,nat-oop,6912,9036,38.053,1.307,6.503e-16,chain,0
17,256,z:il2d,nat-oop,6832,9022,38.497,1.320,6.503e-16,chain,1
17,512,z:il2d,nat-oop,14363,18352,39.654,1.278,7.722e-16,chain,0
17,512,z:il2d,nat-oop,14390,18379,39.580,1.277,7.722e-16,chain,1
19,64,z:il2d,nat-oop,1250,2297,49.850,1.838,5.153e-16,chain,0
19,64,z:il2d,nat-oop,1256,2288,49.618,1.822,5.153e-16,chain,1
19,128,z:il2d,nat-oop,3042,4991,44.961,1.641,6.597e-16,chain,0
19,128,z:il2d,nat-oop,3114,5006,43.923,1.608,6.597e-16,chain,1
19,256,z:il2d,nat-oop,7907,11003,37.673,1.392,6.307e-16,chain,0
19,256,z:il2d,nat-oop,7641,10964,38.984,1.435,6.307e-16,chain,1
19,512,z:il2d,nat-oop,15802,22195,40.778,1.405,6.582e-16,chain,0
19,512,z:il2d,nat-oop,16140,22185,39.923,1.374,6.582e-16,chain,1
21,64,z:il2d,nat-oop,1468,2018,47.569,1.375,3.977e-16,chain,0
21,64,z:il2d,nat-oop,1397,2031,49.977,1.454,3.977e-16,chain,1
21,128,z:il2d,nat-oop,3679,4615,41.613,1.254,5.070e-16,chain,0
21,128,z:il2d,nat-oop,3690,4475,41.492,1.213,5.070e-16,chain,1
21,256,z:il2d,nat-oop,8265,9726,40.301,1.177,4.917e-16,chain,0
21,256,z:il2d,nat-oop,8335,9632,39.966,1.156,4.917e-16,chain,1
21,512,z:il2d,nat-oop,18042,19559,39.906,1.084,4.775e-16,chain,0
21,512,z:il2d,nat-oop,17223,19579,41.804,1.137,4.775e-16,chain,1
22,64,z:il2d,nat-oop,1371,1260,53.702,0.919,3.712e-16,chain,0
22,64,z:il2d,nat-oop,1370,1239,53.762,0.904,3.712e-16,chain,1
22,128,z:il2d,nat-oop,3955,3084,40.792,0.780,4.578e-16,chain,0
22,128,z:il2d,nat-oop,3840,3073,42.016,0.800,4.578e-16,chain,1
22,256,z:il2d,nat-oop,8454,11469,41.503,1.357,4.664e-16,chain,0
22,256,z:il2d,nat-oop,8408,11479,41.730,1.365,4.664e-16,chain,1
22,512,z:il2d,nat-oop,17780,23740,42.634,1.335,4.476e-16,chain,0
22,512,z:il2d,nat-oop,17828,23798,42.519,1.335,4.476e-16,chain,1
23,64,z:il2d,nat-oop,1907,3419,40.611,1.793,1.146e-15,chain,0
23,64,z:il2d,nat-oop,1814,3420,42.694,1.885,1.146e-15,chain,1
23,128,z:il2d,nat-oop,4637,7459,36.578,1.608,7.541e-16,chain,0
23,128,z:il2d,nat-oop,4513,7456,37.583,1.652,7.541e-16,chain,1
23,256,z:il2d,nat-oop,9846,15417,37.446,1.566,8.236e-16,chain,0
23,256,z:il2d,nat-oop,10635,15422,34.668,1.450,8.236e-16,chain,1
23,512,z:il2d,nat-oop,21576,31123,36.906,1.443,8.374e-16,chain,0
23,512,z:il2d,nat-oop,20718,31176,38.433,1.505,8.374e-16,chain,1
25,64,z:il2d,nat-oop,2228,1553,38.218,0.697,3.794e-16,chain,0
25,64,z:il2d,nat-oop,2254,1559,37.778,0.691,3.794e-16,chain,1
25,128,z:il2d,nat-oop,5418,4921,34.388,0.908,4.823e-16,chain,0
