N1,N2,plan,path,vfft_ns,mkl_ns,vfft_gflops,ratio_vs_mkl,rt_err,route,flip
8,8,z:il2d,nat-oop,94,36,20.530,0.390,1.474e-16,chain,0
8,8,z:il2d,nat-oop,94,36,20.341,0.386,1.474e-16,chain,1
16,16,z:il2d,nat-oop,263,146,38.982,0.556,2.481e-16,chain,0
16,16,z:il2d,nat-oop,259,146,39.473,0.561,2.481e-16,chain,1
32,32,z:il2d,nat-oop,918,720,55.780,0.785,2.408e-16,chain,0
32,32,z:il2d,nat-oop,917,720,55.824,0.785,2.408e-16,chain,1
64,64,z:il2d,nat-oop,5835,7085,42.116,1.214,3.838e-16,chain,0
64,64,z:il2d,nat-oop,5548,7126,44.299,1.284,3.838e-16,chain,1
128,128,z:il2d,nat-oop,25930,30062,44.229,1.159,4.330e-16,chain,0
128,128,z:il2d,nat-oop,26389,30170,43.460,1.143,4.330e-16,chain,1
256,256,z:il2d,nat-oop,122037,127757,42.962,1.047,5.798e-16,chain,0
256,256,z:il2d,nat-oop,114863,127690,45.645,1.112,5.798e-16,chain,1
512,512,z:il2d,nat-oop,588900,846687,40.063,1.438,5.388e-16,chain,0
512,512,z:il2d,nat-oop,577337,858450,40.865,1.487,5.388e-16,chain,1
1024,1024,z:il2d,nat-oop,3027975,4982387,34.630,1.645,1.335e-15,chain,0
1024,1024,z:il2d,nat-oop,2896987,4991437,36.195,1.723,1.335e-15,chain,1
16,4096,z:il2d,nat-oop,131947,133497,39.735,1.012,3.065e-16,chain,0
16,4096,z:il2d,nat-oop,130317,133233,40.232,1.022,3.065e-16,chain,1
4096,16,z:il2d,nat-oop,202117,144910,25.940,0.717,4.387e-16,chain,0
4096,16,z:il2d,nat-oop,201413,144540,26.030,0.718,4.387e-16,chain,1
32,1024,z:il2d,nat-oop,55948,68638,43.927,1.227,3.535e-16,chain,0
32,1024,z:il2d,nat-oop,56725,67423,43.325,1.189,3.535e-16,chain,1
1024,32,z:il2d,nat-oop,74920,76452,32.803,1.020,4.713e-16,chain,0
1024,32,z:il2d,nat-oop,88493,76343,27.772,0.863,4.713e-16,chain,1
64,256,z:il2d,nat-oop,27922,32432,41.074,1.162,3.821e-16,chain,0
64,256,z:il2d,nat-oop,27561,32496,41.613,1.179,3.821e-16,chain,1
256,64,z:il2d,nat-oop,23036,31030,49.786,1.347,4.810e-16,chain,0
256,64,z:il2d,nat-oop,23325,31202,49.170,1.338,4.810e-16,chain,1
4096,64,z:il2d,nat-oop,852737,827662,27.667,0.971,6.281e-16,chain,0
4096,64,z:il2d,nat-oop,828362,825825,28.481,0.997,6.281e-16,chain,1
8192,64,z:il2d,nat-oop,1866475,1926962,26.685,1.032,9.914e-16,chain,0
8192,64,z:il2d,nat-oop,2125100,1931600,23.438,0.909,1.341e-15,chain,1
16384,64,z:il2d,nat-oop,4230412,5052563,24.787,1.194,1.128e-15,chain,0
16384,64,z:il2d,nat-oop,4203537,4968375,24.945,1.182,1.287e-15,chain,1
32768,64,z:il2d,nat-oop,9471212,15464025,23.250,1.633,1.615e-15,chain,0
32768,64,z:il2d,nat-oop,10033650,15611412,21.946,1.556,1.615e-15,chain,1
