N1,N2,plan,path,vfft_ns,mkl_ns,vfft_gflops,ratio_vs_mkl,rt_err,route,flip
2,2,z:il2d,nat-oop,13,13,3.041,0.964,1.390e-16,chain+rb,0
2,2,z:il2d,nat-oop,13,13,3.022,0.955,1.390e-16,chain+rb,1
2,4,z:il2d,nat-oop,15,157,7.883,10.325,1.663e-16,chain+rb,0
2,4,z:il2d,nat-oop,15,157,7.889,10.335,1.663e-16,chain+rb,1
2,8,z:il2d,nat-oop,19,168,16.746,8.768,1.913e-16,chain+rb,0
2,8,z:il2d,nat-oop,19,168,16.641,8.722,1.913e-16,chain+rb,1
2,16,z:il2d,nat-oop,35,205,22.875,5.848,1.991e-16,chain+rb,0
2,16,z:il2d,nat-oop,35,205,22.707,5.816,1.991e-16,chain+rb,1
2,32,z:il2d,nat-oop,53,306,36.564,5.818,2.012e-16,chain,0
2,32,z:il2d,nat-oop,53,305,36.451,5.795,2.012e-16,chain,1
2,64,z:il2d,nat-oop,87,469,51.665,5.405,2.222e-16,chain,0
2,64,z:il2d,nat-oop,86,467,51.905,5.406,2.222e-16,chain,1
2,128,z:il2d,nat-oop,164,830,62.271,5.049,3.653e-16,chain,0
2,128,z:il2d,nat-oop,165,831,62.120,5.041,3.653e-16,chain,1
2,256,z:il2d,nat-oop,326,1535,70.633,4.705,3.866e-16,chain,0
2,256,z:il2d,nat-oop,326,1536,70.655,4.711,3.866e-16,chain,1
2,512,z:il2d,nat-oop,1070,2968,47.857,2.775,4.524e-16,chain,0
2,512,z:il2d,nat-oop,999,2965,51.260,2.969,4.524e-16,chain,1
2,1024,z:il2d,nat-oop,2623,6098,42.941,2.325,3.978e-16,chain,0
2,1024,z:il2d,nat-oop,2854,6044,39.462,2.118,3.978e-16,chain,1
2,2048,z:il2d,nat-oop,5190,12293,47.355,2.369,2.666e-16,chain,0
2,2048,z:il2d,nat-oop,5186,12280,47.392,2.368,2.666e-16,chain,1
2,4096,z:il2d,nat-oop,10843,25201,49.106,2.324,3.243e-16,chain,0
2,4096,z:il2d,nat-oop,10843,25338,49.106,2.337,3.243e-16,chain,1
2,8192,z:il2d,nat-oop,22857,51676,50.175,2.261,3.353e-16,chain,0
2,8192,z:il2d,nat-oop,23020,51461,49.822,2.236,3.353e-16,chain,1
4,2,z:il2d,nat-oop,15,155,8.021,10.370,8.909e-17,chain+rb,0
4,2,z:il2d,nat-oop,15,155,8.014,10.346,8.909e-17,chain+rb,1
4,4,z:il2d,nat-oop,18,19,17.686,1.026,1.990e-16,chain+rb,0
4,4,z:il2d,nat-oop,18,19,17.675,1.024,1.990e-16,chain+rb,1
4,8,z:il2d,nat-oop,25,175,32.360,7.094,1.683e-16,chain+rb,0
4,8,z:il2d,nat-oop,25,175,32.231,7.044,1.683e-16,chain+rb,1
4,16,z:il2d,nat-oop,48,213,40.232,4.459,2.804e-16,chain+rb,0
4,16,z:il2d,nat-oop,48,212,40.177,4.441,2.804e-16,chain+rb,1
4,32,z:il2d,nat-oop,96,317,46.830,3.317,1.653e-16,chain,0
4,32,z:il2d,nat-oop,95,317,47.250,3.344,1.653e-16,chain,1
4,64,z:il2d,nat-oop,167,504,61.350,3.022,2.879e-16,chain,0
4,64,z:il2d,nat-oop,167,505,61.407,3.031,2.879e-16,chain,1
4,128,z:il2d,nat-oop,330,948,69.853,2.876,3.727e-16,chain,0
4,128,z:il2d,nat-oop,339,951,68.002,2.806,3.727e-16,chain,1
4,256,z:il2d,nat-oop,694,1803,73.748,2.597,3.702e-16,chain,0
4,256,z:il2d,nat-oop,705,1796,72.653,2.549,3.702e-16,chain,1
4,512,z:il2d,nat-oop,1984,3612,56.780,1.821,4.579e-16,chain,0
4,512,z:il2d,nat-oop,1974,3618,57.054,1.833,4.579e-16,chain,1
4,1024,z:il2d,nat-oop,4438,7501,55.372,1.690,3.701e-16,chain,0
4,1024,z:il2d,nat-oop,4498,7486,54.641,1.664,3.701e-16,chain,1
4,2048,z:il2d,nat-oop,9888,15419,53.851,1.559,3.554e-16,chain,0
4,2048,z:il2d,nat-oop,10067,15455,52.892,1.535,3.554e-16,chain,1
4,4096,z:il2d,nat-oop,21375,32126,53.654,1.503,3.149e-16,chain,0
4,4096,z:il2d,nat-oop,21171,32138,54.171,1.518,3.149e-16,chain,1
4,8192,z:il2d,nat-oop,44730,66949,54.944,1.497,3.610e-16,chain,0
4,8192,z:il2d,nat-oop,44731,67039,54.942,1.499,3.610e-16,chain,1
8,2,z:il2d,nat-oop,19,166,16.847,8.760,1.200e-16,chain+rb,0
8,2,z:il2d,nat-oop,19,167,16.786,8.759,1.200e-16,chain+rb,1
8,4,z:il2d,nat-oop,26,179,31.176,6.989,1.597e-16,chain+rb,0
8,4,z:il2d,nat-oop,25,179,31.465,7.049,1.597e-16,chain+rb,1
8,8,z:il2d,nat-oop,39,37,49.799,0.947,1.474e-16,chain+rb,0
8,8,z:il2d,nat-oop,39,37,49.682,0.950,1.474e-16,chain+rb,1
8,16,z:il2d,nat-oop,82,247,54.537,3.002,2.816e-16,chain+rb,0
8,16,z:il2d,nat-oop,83,246,54.007,2.966,2.816e-16,chain+rb,1
8,32,z:il2d,nat-oop,193,403,52.949,2.086,2.632e-16,chain,0
8,32,z:il2d,nat-oop,193,405,52.938,2.093,2.632e-16,chain,1
8,64,z:il2d,nat-oop,353,689,65.331,1.952,3.042e-16,chain,0
8,64,z:il2d,nat-oop,354,687,65.056,1.941,3.042e-16,chain,1
8,128,z:il2d,nat-oop,736,1402,69.562,1.905,3.338e-16,chain,0
8,128,z:il2d,nat-oop,718,1403,71.356,1.955,3.338e-16,chain,1
8,256,z:il2d,nat-oop,1923,2862,58.586,1.489,3.507e-16,chain,0
8,256,z:il2d,nat-oop,2222,2851,50.699,1.283,3.507e-16,chain,1
8,512,z:il2d,nat-oop,4935,5814,49.801,1.178,4.569e-16,chain,0
8,512,z:il2d,nat-oop,4928,5772,49.865,1.171,4.569e-16,chain,1
8,1024,z:il2d,nat-oop,10358,11860,51.407,1.145,3.823e-16,chain,0
8,1024,z:il2d,nat-oop,10420,11902,51.099,1.142,3.823e-16,chain,1
8,2048,z:il2d,nat-oop,23128,24953,49.589,1.079,3.840e-16,chain,0
