N1,N2,plan,path,vfft_ns,mkl_ns,vfft_gflops,ratio_vs_mkl,rt_err,route,flip
2,2,z:il2d,nat-oop,13,13,2.993,0.941,1.390e-16,chain+rb,0
2,2,z:il2d,nat-oop,13,13,3.008,0.948,1.390e-16,chain+rb,1
2,4,z:il2d,nat-oop,15,158,7.838,10.301,1.663e-16,chain+rb,0
2,4,z:il2d,nat-oop,15,158,7.843,10.323,1.663e-16,chain+rb,1
2,8,z:il2d,nat-oop,19,168,16.716,8.769,1.913e-16,chain+rb,0
2,8,z:il2d,nat-oop,19,168,16.711,8.767,1.913e-16,chain+rb,1
2,16,z:il2d,nat-oop,31,206,26.101,6.719,1.991e-16,chain+rb2,0
2,16,z:il2d,nat-oop,31,206,26.059,6.707,1.991e-16,chain+rb2,1
2,32,z:il2d,nat-oop,45,308,42.270,6.777,2.012e-16,chain+rb2,0
2,32,z:il2d,nat-oop,45,307,42.361,6.779,2.012e-16,chain+rb2,1
2,64,z:il2d,nat-oop,84,468,53.385,5.581,2.222e-16,chain+rb2,0
2,64,z:il2d,nat-oop,85,469,52.965,5.542,2.222e-16,chain+rb2,1
2,128,z:il2d,nat-oop,165,832,62.198,5.054,3.653e-16,chain,0
2,128,z:il2d,nat-oop,167,832,61.327,4.986,3.653e-16,chain,1
2,256,z:il2d,nat-oop,325,1537,70.845,4.725,3.866e-16,chain,0
2,256,z:il2d,nat-oop,325,1539,70.862,4.733,3.866e-16,chain,1
2,512,z:il2d,nat-oop,1101,2976,46.506,2.703,4.524e-16,chain,0
2,512,z:il2d,nat-oop,1014,2967,50.481,2.926,4.524e-16,chain,1
2,1024,z:il2d,nat-oop,2325,6067,48.447,2.610,3.978e-16,chain,0
2,1024,z:il2d,nat-oop,2292,6036,49.149,2.634,3.978e-16,chain,1
2,2048,z:il2d,nat-oop,5144,12270,47.779,2.385,2.666e-16,chain,0
2,2048,z:il2d,nat-oop,5195,12278,47.308,2.363,2.666e-16,chain,1
2,4096,z:il2d,nat-oop,10871,25113,48.980,2.310,3.243e-16,chain,0
2,4096,z:il2d,nat-oop,10877,25103,48.953,2.308,3.243e-16,chain,1
2,8192,z:il2d,nat-oop,23348,51424,49.120,2.202,3.353e-16,chain,0
2,8192,z:il2d,nat-oop,23203,51661,49.427,2.226,3.353e-16,chain,1
4,2,z:il2d,nat-oop,15,155,7.903,10.177,8.909e-17,chain+rb,0
4,2,z:il2d,nat-oop,15,155,7.886,10.191,8.909e-17,chain+rb,1
4,4,z:il2d,nat-oop,18,19,17.787,1.031,1.990e-16,chain+rb,0
4,4,z:il2d,nat-oop,18,18,17.520,1.001,1.990e-16,chain+rb,1
4,8,z:il2d,nat-oop,25,175,31.714,6.935,1.683e-16,chain+rb,0
4,8,z:il2d,nat-oop,25,175,31.592,6.921,1.683e-16,chain+rb,1
4,16,z:il2d,nat-oop,43,212,45.114,4.986,2.804e-16,chain+rb2,0
