N1,N2,plan,path,vfft_ns,mkl_ns,vfft_gflops,ratio_vs_mkl,rt_err,route,flip
2,2,z:il2d,nat-oop,22,13,1.816,0.575,1.390e-16,chain,0
2,2,z:il2d,nat-oop,22,13,1.812,0.573,1.390e-16,chain,1
2,3,z:il2d,nat-oop,24,159,3.267,6.697,9.633e-17,chain,0
2,3,z:il2d,nat-oop,24,159,3.272,6.708,9.633e-17,chain,1
2,4,z:il2d,nat-oop,24,158,4.915,6.474,1.663e-16,chain,0
2,4,z:il2d,nat-oop,24,158,4.950,6.517,1.663e-16,chain,1
2,5,z:il2d,nat-oop,28,173,6.008,6.271,1.968e-16,chain,0
2,5,z:il2d,nat-oop,28,173,6.024,6.280,1.968e-16,chain,1
2,6,z:il2d,nat-oop,28,169,7.691,6.050,2.279e-16,chain,0
2,6,z:il2d,nat-oop,28,169,7.723,6.085,2.279e-16,chain,1
2,7,z:il2d,nat-oop,31,188,8.703,6.148,2.113e-16,chain,0
2,7,z:il2d,nat-oop,30,188,8.753,6.175,2.113e-16,chain,1
2,8,z:il2d,nat-oop,30,168,10.767,5.667,1.913e-16,chain,0
2,8,z:il2d,nat-oop,30,168,10.775,5.666,1.913e-16,chain,1
2,9,z:il2d,nat-oop,34,189,11.141,5.625,3.555e-16,chain,0
2,9,z:il2d,nat-oop,34,188,11.097,5.566,3.555e-16,chain,1
2,10,z:il2d,nat-oop,33,186,12.969,5.569,1.978e-16,chain,0
2,10,z:il2d,nat-oop,33,184,13.137,5.579,1.978e-16,chain,1
2,11,z:il2d,nat-oop,38,205,12.816,5.358,2.194e-16,chain,0
2,11,z:il2d,nat-oop,38,204,12.928,5.370,2.194e-16,chain,1
2,12,z:il2d,nat-oop,37,198,14.774,5.306,4.109e-16,chain,0
2,12,z:il2d,nat-oop,37,197,14.696,5.260,4.109e-16,chain,1
2,13,z:il2d,nat-oop,44,226,13.810,5.103,6.640e-16,chain,0
2,13,z:il2d,nat-oop,44,225,13.820,5.098,6.640e-16,chain,1
2,14,z:il2d,nat-oop,46,216,14.601,4.690,9.471e-17,chain,0
2,14,z:il2d,nat-oop,46,213,14.538,4.594,9.471e-17,chain,1
2,15,z:il2d,nat-oop,52,233,14.180,4.479,2.284e-16,chain,0
2,15,z:il2d,nat-oop,55,233,13.446,4.256,2.284e-16,chain,1
2,16,z:il2d,nat-oop,36,205,22.278,5.700,1.991e-16,chain,0
2,16,z:il2d,nat-oop,36,205,22.346,5.719,1.991e-16,chain,1
2,17,z:il2d,nat-oop,62,239,13.866,3.838,5.144e-16,chain,0
2,17,z:il2d,nat-oop,63,239,13.820,3.823,5.144e-16,chain,1
2,18,z:il2d,nat-oop,47,227,19.961,4.859,4.207e-16,chain,0
2,18,z:il2d,nat-oop,47,226,19.944,4.852,4.207e-16,chain,1
2,19,z:il2d,nat-oop,71,270,14.100,3.824,5.207e-16,chain,0
2,19,z:il2d,nat-oop,71,269,14.068,3.797,5.207e-16,chain,1
2,20,z:il2d,nat-oop,45,252,23.711,5.610,1.772e-16,chain,0
2,20,z:il2d,nat-oop,45,244,23.688,5.426,1.772e-16,chain,1
2,21,z:il2d,nat-oop,52,269,21.761,5.175,2.413e-16,chain,0
2,21,z:il2d,nat-oop,51,269,22.069,5.251,2.413e-16,chain,1
2,22,z:il2d,nat-oop,72,265,16.602,3.668,2.444e-16,chain,0
2,22,z:il2d,nat-oop,73,266,16.560,3.661,2.444e-16,chain,1
2,23,z:il2d,nat-oop,95,322,13.343,3.381,5.954e-16,chain,0
2,23,z:il2d,nat-oop,95,320,13.374,3.374,5.954e-16,chain,1
2,24,z:il2d,nat-oop,46,257,29.321,5.613,3.151e-16,chain,0
2,24,z:il2d,nat-oop,46,256,28.867,5.505,3.151e-16,chain,1
2,25,z:il2d,nat-oop,57,295,24.769,5.176,3.960e-16,chain,0
2,25,z:il2d,nat-oop,56,293,25.054,5.209,3.960e-16,chain,1
2,26,z:il2d,nat-oop,85,299,17.423,3.511,4.098e-16,chain,0
2,26,z:il2d,nat-oop,86,295,17.296,3.444,4.098e-16,chain,1
2,27,z:il2d,nat-oop,60,307,25.708,5.079,3.651e-16,chain,0
2,27,z:il2d,nat-oop,62,307,25.103,4.963,3.651e-16,chain,1
2,28,z:il2d,nat-oop,52,300,31.247,5.760,3.393e-16,chain,0
2,28,z:il2d,nat-oop,52,300,31.207,5.763,3.393e-16,chain,1
2,29,z:il2d,nat-oop,152,352,11.182,2.318,4.981e-16,chain,0
2,29,z:il2d,nat-oop,152,352,11.190,2.321,4.981e-16,chain,1
2,30,z:il2d,nat-oop,60,317,29.453,5.271,4.208e-16,chain,0
2,30,z:il2d,nat-oop,60,316,29.591,5.283,4.208e-16,chain,1
2,31,z:il2d,nat-oop,160,369,11.523,2.301,4.537e-16,chain,0
2,31,z:il2d,nat-oop,160,368,11.506,2.295,4.537e-16,chain,1
2,32,z:il2d,nat-oop,50,305,38.446,6.110,2.012e-16,chain,0
2,32,z:il2d,nat-oop,50,305,38.567,6.126,2.012e-16,chain,1
2,33,z:il2d,nat-oop,72,341,27.669,4.729,4.152e-16,chain,0
2,33,z:il2d,nat-oop,72,342,27.760,4.755,4.152e-16,chain,1
2,34,z:il2d,nat-oop,117,345,17.660,2.947,6.738e-16,chain,0
2,34,z:il2d,nat-oop,118,346,17.565,2.934,6.738e-16,chain,1
2,35,z:il2d,nat-oop,69,356,30.891,5.123,3.476e-16,chain,0
2,35,z:il2d,nat-oop,69,356,31.055,5.160,3.476e-16,chain,1
2,36,z:il2d,nat-oop,65,343,34.330,5.305,3.477e-16,chain,0
2,36,z:il2d,nat-oop,65,342,34.307,5.283,3.477e-16,chain,1
2,37,z:il2d,nat-oop,207,408,11.096,1.971,7.208e-16,chain,0
2,37,z:il2d,nat-oop,206,409,11.142,1.985,7.208e-16,chain,1
2,38,z:il2d,nat-oop,139,391,17.071,2.812,4.206e-16,chain,0
2,38,z:il2d,nat-oop,132,391,18.008,2.968,4.206e-16,chain,1
2,39,z:il2d,nat-oop,87,401,28.286,4.629,4.907e-16,chain,0
2,39,z:il2d,nat-oop,86,401,28.442,4.654,4.907e-16,chain,1
2,40,z:il2d,nat-oop,67,351,37.543,5.213,3.158e-16,chain,0
2,40,z:il2d,nat-oop,65,351,39.124,5.429,3.158e-16,chain,1
2,41,z:il2d,nat-oop,217,425,12.026,1.962,4.666e-16,chain,0
2,41,z:il2d,nat-oop,198,426,13.159,2.149,4.666e-16,chain,1
2,42,z:il2d,nat-oop,75,376,35.597,4.983,4.336e-16,chain,0
2,42,z:il2d,nat-oop,75,376,35.575,4.985,4.336e-16,chain,1
2,43,z:il2d,nat-oop,237,454,11.666,1.915,6.971e-16,chain,0
