N,K,plan,path,vfft_ns,mkl_ns,vfft_gflops,ratio_vs_mkl,rt_err,route,flip
2,1,z:ilp,nat-oop,4,11,2.703,2.887,0.000e+00,mono,0
2,1,z:ilp,nat-oop,4,11,2.736,2.940,0.000e+00,mono,1
4,1,z:ilp,nat-oop,5,11,8.652,2.372,0.000e+00,mono,0
4,1,z:ilp,nat-oop,5,11,8.613,2.349,0.000e+00,mono,1
8,1,z:ilp,nat-oop,7,12,16.816,1.614,7.430e-17,mono,0
8,1,z:ilp,nat-oop,7,12,16.715,1.610,7.430e-17,mono,1
16,1,z:ilp,nat-oop,10,12,30.704,1.195,7.549e-17,ztt,0
16,1,z:ilp,nat-oop,10,12,31.053,1.201,7.549e-17,ztt,1
32,1,z:ilp,nat-oop,17,16,48.071,0.982,1.738e-16,2p,0
32,1,z:ilp,nat-oop,17,16,47.418,0.966,1.738e-16,2p,1
64,1,z:ilp,nat-oop,31,31,61.314,0.984,3.061e-16,2p,0
64,1,z:ilp,nat-oop,31,31,61.074,0.979,3.061e-16,2p,1
128,1,z:ilp,nat-oop,67,69,67.365,1.033,4.284e-16,2p,0
128,1,z:ilp,nat-oop,66,69,68.326,1.058,4.284e-16,2p,1
256,1,z:ilp,nat-oop,135,138,75.763,1.018,3.135e-16,2p,0
256,1,z:ilp,nat-oop,135,137,75.871,1.012,3.135e-16,2p,1
512,1,z:ilp,nat-oop,314,293,73.470,0.935,3.080e-16,2p,0
512,1,z:ilp,nat-oop,348,335,66.153,0.961,3.080e-16,2p,1
1024,1,z:ilp,nat-oop,756,841,67.714,1.112,4.013e-16,ztt,0
1024,1,z:ilp,nat-oop,720,844,71.122,1.173,4.013e-16,ztt,1
2048,1,z:ilp,nat-oop,1620,2032,69.514,1.254,3.059e-16,ztt,0
2048,1,z:ilp,nat-oop,1625,2048,69.304,1.260,3.059e-16,ztt,1
4096,1,z:ilp,nat-oop,3611,3846,68.065,1.065,3.902e-16,ztt,0
4096,1,z:ilp,nat-oop,3593,3829,68.407,1.066,3.902e-16,ztt,1
8192,1,z:ilp,nat-oop,8055,8477,66.103,1.052,4.111e-16,ztt,0
8192,1,z:ilp,nat-oop,8048,8494,66.160,1.055,4.111e-16,ztt,1
16384,1,z:ilp,nat-oop,17278,19177,66.379,1.110,3.625e-16,ztt,0
16384,1,z:ilp,nat-oop,17189,18948,66.724,1.102,3.625e-16,ztt,1
32768,1,z:ilp,nat-oop,38546,36893,63.758,0.957,4.514e-16,ztt,0
32768,1,z:ilp,nat-oop,38721,36907,63.469,0.953,4.514e-16,ztt,1
65536,1,z:ilp,nat-oop,89773,109473,58.401,1.219,4.010e-16,ztt,0
65536,1,z:ilp,nat-oop,89247,107960,58.746,1.210,4.010e-16,ztt,1
131072,1,z:ilp,nat-oop,222413,259253,50.092,1.166,4.644e-16,ztt,0
131072,1,z:ilp,nat-oop,223387,262480,49.874,1.175,4.644e-16,ztt,1
262144,1,z:ilp,nat-oop,541962,710563,43.532,1.311,3.327e-16,ztt,0
262144,1,z:ilp,nat-oop,541912,717050,43.536,1.323,3.327e-16,ztt,1
524288,1,z:ilp,nat-oop,1425513,1484350,34.940,1.041,5.648e-16,fs,0
524288,1,z:ilp,nat-oop,1374012,1537625,36.250,1.119,5.648e-16,fs,1
1048576,1,z:ilp,nat-oop,3269987,4175437,32.067,1.277,5.322e-16,fs,0
1048576,1,z:ilp,nat-oop,3167088,4129100,33.109,1.304,5.322e-16,fs,1
2097152,1,z:ilp,nat-oop,8349688,10632675,26.372,1.273,7.902e-16,fs,0
2097152,1,z:ilp,nat-oop,8241637,10625088,26.718,1.289,7.902e-16,fs,1
4194304,1,z:ilp,nat-oop,18851825,24110238,24.474,1.279,1.007e-15,fs,0
4194304,1,z:ilp,nat-oop,19028713,24586638,24.246,1.292,1.007e-15,fs,1
