N,K,plan,path,vfft_ns,mkl_ns,vfft_gflops,ratio_vs_mkl,rt_err,route,flip,engaged
2,1,z:ilp,nat-oop,4,11,2.702,2.844,0.000e+00,mono,1,0
4,1,z:ilp,nat-oop,4,11,8.897,2.531,0.000e+00,mono,1,0
8,1,z:ilp,nat-oop,7,12,17.002,1.709,7.430e-17,mono,1,0
16,1,z:ilp,nat-oop,10,13,31.552,1.270,7.549e-17,ztt,1,0
32,1,z:ilp,nat-oop,17,17,48.287,0.999,1.738e-16,2p,1,0
64,1,z:ilp,nat-oop,31,31,61.346,0.981,3.061e-16,2p,1,0
128,1,z:ilp,nat-oop,66,68,68.138,1.037,4.284e-16,2p,1,0
256,1,z:ilp,nat-oop,135,137,76.045,1.014,3.135e-16,2p,1,0
512,1,z:ilp,nat-oop,297,291,77.704,0.981,3.080e-16,2p,1,0
1024,1,z:ilp,nat-oop,713,848,71.833,1.190,4.013e-16,ztt,1,0
2048,1,z:ilp,nat-oop,1652,2162,68.199,1.309,3.059e-16,ztt,1,0
4096,1,z:ilp,nat-oop,3679,3825,66.806,1.040,3.902e-16,ztt,1,0
8192,1,z:ilp,nat-oop,4911,8352,108.415,1.701,3.426e-16,ztt,0,3949
8192,1,z:ilp,nat-oop,4783,8623,111.323,1.803,3.426e-16,ztt,1,4056
16384,1,z:ilp,nat-oop,10804,14645,106.152,1.356,3.625e-16,ztt,0,1661
16384,1,z:ilp,nat-oop,13098,15072,87.565,1.151,3.625e-16,ztt,1,1665
32768,1,z:ilp,nat-oop,20893,21434,117.625,1.026,3.456e-16,ztt,0,1229
32768,1,z:ilp,nat-oop,20289,19813,121.133,0.977,3.456e-16,ztt,1,865
65536,1,z:ilp,nat-oop,26527,42267,197.646,1.593,4.010e-16,ztt,0,487
65536,1,z:ilp,nat-oop,25213,38750,207.941,1.537,4.010e-16,ztt,1,302
131072,1,z:ilp,nat-oop,53313,80993,208.974,1.519,4.644e-16,ztt,0,255
131072,1,z:ilp,nat-oop,51707,77100,215.468,1.491,4.644e-16,ztt,1,233
262144,1,z:ilp,nat-oop,103363,185388,228.255,1.794,4.325e-16,ztt,0,220
262144,1,z:ilp,nat-oop,108075,164325,218.302,1.520,4.325e-16,ztt,1,139
524288,1,z:ilp,nat-oop,271150,363462,183.689,1.340,5.648e-16,fs,1,0
1048576,1,z:ilp,nat-oop,578787,893788,181.168,1.544,1.064e-15,fs,1,0
2097152,1,z:ilp,nat-oop,1726562,2589850,127.537,1.500,2.842e-15,fs,1,0
4194304,1,z:ilp,nat-oop,6328113,6966025,72.909,1.101,9.541e-16,fs,1,0
