N,K,route,vfft_ns,vfft_gflops,mkl_ns,mkl_gflops,mkl_over_vfft
2,1,mono,4,2.500,11,0.909,2.750
4,1,mono,5,8.000,11,3.636,2.200
8,1,mono,7,17.143,12,10.000,1.714
16,1,ztt,10,32.000,12,26.667,1.200
32,1,2p,17,47.059,16,50.000,0.941
64,1,2p,31,61.935,31,61.935,1.000
128,1,2p,66,67.879,69,64.928,1.045
256,1,2p,135,75.852,137,74.745,1.015
512,1,2p,314,73.376,293,78.635,0.933
1024,1,ztt,720,71.111,841,60.880,1.168
2048,1,ztt,1620,69.531,2032,55.433,1.254
4096,1,ztt,3593,68.400,3829,64.184,1.066
8192,1,ztt,8048,66.163,8477,62.815,1.053
16384,1,ztt,17189,66.722,18948,60.528,1.102
32768,1,ztt,38546,63.758,36893,66.614,0.957
65536,1,ztt,89247,58.746,107960,48.563,1.210
131072,1,ztt,222413,50.092,259253,42.974,1.166
262144,1,ztt,541912,43.537,710563,33.203,1.311
524288,1,fs,1374012,36.250,1484350,33.555,1.080
1048576,1,fs,3167088,33.109,4129100,25.395,1.304
2097152,1,fs,8241637,26.718,10625088,20.725,1.289
4194304,1,fs,18851825,24.474,24110238,19.136,1.279
